plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_75_2878_32_2022_2073_本科批,75_2878,75,2878,江苏,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,1,八年,6500,,首选物理，再选化学
plan_75_2878_32_2022_2073_本科批,75_2878,75,2878,江苏,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,1,八年,6500,,首选物理，再选化学
plan_75_2878_36_2022_1_本科一批,75_2878,75,2878,江西,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批,理科,2,-,6500,（本博连读）（八年医）（国家--流本科、卓越医学创新人才计划;含美国等国家临床实践交流项目）,
plan_75_2878_36_2022_1_本科一批,75_2878,75,2878,江西,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批,理科,1,-,6500,"（本博连读口腔方向）（八年医）（国家--流本科、卓越医学创新人才计划;含波士顿大学,卡罗林斯卡大学交流项目）",
plan_75_2878_44_2022_2073_本科批,75_2878,75,2878,广东,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,8,五年,19500,（英语班；卓越医学创新人才计划；具体培养模式请查看学校网站）（医学院）,首选物理，再选化学
plan_75_2878_44_2022_2073_本科批,75_2878,75,2878,广东,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,8,五年,19500,（英语班；卓越医学创新人才计划；具体培养模式请查看学校网站）（医学院）,首选物理，再选化学
plan_75_2878_12_2023_3_本科批A段,75_2878,75,2878,天津,2023,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,2,八年,8140,（八年制本博连读）（国家一流本科、卓越医学创新人才计划；含美国等国家临床实践交流项目）（医学院）（国家一流本科、卓越医学创新人才计划；含美国等国家临床实践交流项目）,物理、化学(2科必选)
plan_75_2878_12_2023_3_本科批A段,75_2878,75,2878,天津,2023,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,1,八年,8140,"（八年制本博连读,口腔方向）（国家一流本科、卓越医学创新人才计划；含卡罗林斯卡大学等交流项目）（医学院）（国家一流本科、卓越医学创新人才计划；含卡罗林斯卡大学等交流项目）",物理、化学(2科必选)
plan_75_2878_12_2023_3_本科批A段,75_2878,75,2878,天津,2023,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,1,八年,10000,"（八年制本博连读,法语班）（国家一流本科、卓越医学创新人才计划；第一年全体赴法语言培训2个月；第七年选拔优秀学生赴法进行为期一年的法国外籍住院医师培训或科研培训）（医学院）（国家一流本科、卓越医学创新人才计划；第一年全体赴法语言培训2个月；第七年选拔优秀学生赴法进行为期一年的法国外籍住院医师培训或科研培训）",物理、化学(2科必选)
plan_75_2873_12_2023_3_本科批A段,75_2873,75,2873,天津,2023,口腔医学,本科 (1),医学 (12),口腔医学类 (103),普通类,本科批A段,综合,3,五年,8140,（5+3一体化）（国家一流本科、卓越医学创新人才计划；含卡罗林斯卡大学等交流项目；“5+3”一体化培养）（医学院）（国家一流本科、卓越医学创新人才计划；含卡罗林斯卡大学等交流项目；“5+3”一体化培养）,物理、化学(2科必选)
plan_75_2878_12_2023_3_本科批A段,75_2878,75,2878,天津,2023,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,3,五年,19500,"（五年制,英语班）（不报不录；国家一流本科、卓越医学创新人才计划；中加联合办学项目）（医学院）（不报不录；国家一流本科、卓越医学创新人才计划；中加联合办学项目）",物理、化学(2科必选)
plan_75_2878_12_2023_3_本科批A段,75_2878,75,2878,天津,2023,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,2,八年,8140,（八年制本博连读）（国家一流本科、卓越医学创新人才计划；含美国等国家临床实践交流项目）（医学院）（国家一流本科、卓越医学创新人才计划；含美国等国家临床实践交流项目）,物理、化学(2科必选)
plan_75_2878_12_2023_3_本科批A段,75_2878,75,2878,天津,2023,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,1,八年,8140,"（八年制本博连读,口腔方向）（国家一流本科、卓越医学创新人才计划；含卡罗林斯卡大学等交流项目）（医学院）（国家一流本科、卓越医学创新人才计划；含卡罗林斯卡大学等交流项目）",物理、化学(2科必选)
