plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_76_2905_32_2022_2074_本科批,76_2905,76,2905,江苏,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,4,四年,5000,,首选历史，再选不限
plan_76_2906_32_2022_2074_本科批,76_2906,76,2906,江苏,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,3,四年,5000,,首选历史，再选不限
plan_76_2905_32_2022_2074_本科批,76_2905,76,2905,江苏,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,4,四年,5000,,首选历史，再选不限
plan_76_2906_32_2022_2074_本科批,76_2906,76,2906,江苏,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,3,四年,5000,,首选历史，再选不限
plan_76_2939_32_2022_2073_本科批,76_2939,76,2939,江苏,2022,信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,10,四年,25000,,首选物理，再选不限
plan_76_2908_32_2022_2073_本科批,76_2908,76,2908,江苏,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,7,四年,30000,,首选物理，再选不限
plan_76_2896_32_2022_2073_本科批,76_2896,76,2896,江苏,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,6,四年,30000,,首选物理，再选不限
plan_76_2886_32_2022_2073_本科批,76_2886,76,2886,江苏,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,物理类,4,四年,30000,,首选物理，再选不限
plan_76_2919_32_2022_2073_本科批,76_2919,76,2919,江苏,2022,机械工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,4,四年,25000,,首选物理，再选不限
plan_76_2902_32_2022_2073_本科批,76_2902,76,2902,江苏,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,3,四年,30000,,首选物理，再选不限
plan_76_2924_32_2022_2073_本科批,76_2924,76,2924,江苏,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,3,四年,30000,,首选物理，再选不限
plan_76_2934_32_2022_2073_本科批,76_2934,76,2934,江苏,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,3,四年,30000,,首选物理，再选不限
plan_76_2939_32_2022_2073_本科批,76_2939,76,2939,江苏,2022,信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,10,四年,25000,,首选物理，再选不限
plan_76_2908_32_2022_2073_本科批,76_2908,76,2908,江苏,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,7,四年,30000,,首选物理，再选不限
plan_76_2896_32_2022_2073_本科批,76_2896,76,2896,江苏,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,6,四年,30000,,首选物理，再选不限
