plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_130_1864681_11_2022_3_本科批,130_1864681,130,1864681,北京,2022,财务管理,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,3,四年,5000,,不限
plan_130_6675_11_2022_3_本科批,130_6675,130,6675,北京,2022,国际经济与贸易,本科(普通) (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,2,四年,5000,,不限
plan_130_6682_11_2022_3_本科批,130_6682,130,6682,北京,2022,商务英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,2,四年,5000,,不限
plan_130_6701_11_2022_3_本科批,130_6701,130,6701,北京,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,2,四年,5000,,不限
plan_130_1864681_11_2022_3_本科批,130_1864681,130,1864681,北京,2022,财务管理,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,3,四年,5000,,不限
plan_130_6675_11_2022_3_本科批,130_6675,130,6675,北京,2022,国际经济与贸易,本科(普通) (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,2,四年,5000,,不限
plan_130_6682_11_2022_3_本科批,130_6682,130,6682,北京,2022,商务英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,2,四年,5000,,不限
plan_130_6701_11_2022_3_本科批,130_6701,130,6701,北京,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,2,四年,5000,,不限
plan_130_90006_11_2022_3_本科批,130_90006,130,90006,北京,2022,数据科学与大数据技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,2,四年,5000,,物理必选
plan_130_90006_11_2022_3_本科批,130_90006,130,90006,北京,2022,数据科学与大数据技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,2,四年,5000,,物理必选
plan_130_6693_13_2022_2074_本科批,130_6693,130,6693,河北,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,历史类,1,四年,5000,,
plan_130_6688_13_2022_2073_本科批,130_6688,130,6688,河北,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,物理类,4,四年,5000,,
