plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_109_563988_13_2022_2073_本科批,109_563988,109,563988,河北,2022,生物医学工程,本科 (1),工学 (10),生物医学工程类 (88),普通类,本科批,物理类,6,四年,6380,,
plan_109_5101_32_2022_2074_本科批,109_5101,109,5101,江苏,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,4,四年,5200,,首选历史，再选不限
plan_109_5101_32_2022_2074_本科批,109_5101,109,5101,江苏,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,4,四年,5200,,首选历史，再选不限
plan_109_5089_32_2022_2073_本科批,109_5089,109,5089,江苏,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,物理类,5,四年,5200,,首选物理，再选不限
plan_109_5136_32_2022_2073_本科批,109_5136,109,5136,江苏,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,81,五年,7480,,首选物理，再选化学/生物(2选1)
plan_109_205235_32_2022_2073_本科批,109_205235,109,205235,江苏,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,物理类,12,五年,7480,,首选物理，再选化学/生物(2选1)
plan_109_5089_32_2022_2073_本科批,109_5089,109,5089,江苏,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,物理类,5,四年,5200,,首选物理，再选不限
plan_109_5136_32_2022_2073_本科批,109_5136,109,5136,江苏,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,81,五年,7480,,首选物理，再选化学/生物(2选1)
plan_109_205235_32_2022_2073_本科批,109_205235,109,205235,江苏,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,物理类,12,五年,7480,,首选物理，再选化学/生物(2选1)
plan_109_5094_34_2022_2_本科一批,109_5094,109,5094,安徽,2022,政治学与行政学,本科 (1),法学 (5),政治学类 (40),普通类,本科一批,文科,2,-,5720,,
plan_109_5089_36_2022_2_本科一批,109_5089,109,5089,江西,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,文科,2,-,5200,,
plan_109_5089_41_2022_2_本科一批,109_5089,109,5089,河南,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,文科,3,四年,5200,,
plan_109_5094_41_2022_2_本科一批,109_5094,109,5094,河南,2022,政治学与行政学,本科 (1),法学 (5),政治学类 (40),普通类,本科一批,文科,2,四年,5720,,
plan_109_5101_43_2022_2074_本科批,109_5101,109,5101,湖南,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,2,四年,5200,（国家专项计划）,首选历史，再选不限
plan_109_5101_43_2022_2074_本科批,109_5101,109,5101,湖南,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,2,四年,5200,（国家专项计划）,首选历史，再选不限
plan_109_5089_44_2022_2074_本科批,109_5089,109,5089,广东,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,2,4,5200,,首选历史，再选不限
plan_109_5101_44_2022_2074_本科批,109_5101,109,5101,广东,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,1,4,5200,,首选历史，再选不限
plan_109_5089_44_2022_2074_本科批,109_5089,109,5089,广东,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,2,4,5200,,首选历史，再选不限
plan_109_5101_44_2022_2074_本科批,109_5101,109,5101,广东,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,1,4,5200,,首选历史，再选不限
plan_109_5094_45_2022_2_本科一批,109_5094,109,5094,广西,2022,政治学与行政学,本科 (1),法学 (5),政治学类 (40),普通类,本科一批,文科,2,四年,5720,,
plan_109_5094_51_2022_2_本科一批,109_5094,109,5094,四川,2022,政治学与行政学,本科 (1),法学 (5),政治学类 (40),普通类,本科一批,文科,2,四年,5720,,
plan_109_5101_51_2022_2_本科提前批,109_5101,109,5101,四川,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批,文科,2,4,5200,（备注：认同四川省少数民族地区加分项目，但分值最高20分。）（国家专项）,
plan_109_5089_53_2022_2_本科一批,109_5089,109,5089,云南,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,文科,2,四年,5200,,
plan_109_205235_61_2022_1_本科一批,109_205235,109,205235,陕西,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科一批,理科,3,五年,7480,（医学类）,
plan_109_98477_64_2022_1_本科一批,109_98477,109,98477,宁夏,2022,劳动与社会保障,本科 (1),管理学 (13),公共管理类 (115),普通类,本科一批,理科,3,-,,,
plan_109_205235_64_2022_1_本科一批,109_205235,109,205235,宁夏,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科一批,理科,3,-,,,
plan_109_5136_64_2022_1_本科一批,109_5136,109,5136,宁夏,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批,理科,2,-,,,
plan_109_563988_14_2023_1_本科一批A段,109_563988,109,563988,山西,2023,生物医学工程,本科 (1),工学 (10),生物医学工程类 (88),普通类,本科一批A段,理科,6,-,6380,（学制七年本硕连读）,
plan_109_205235_32_2023_2073_本科批,109_205235,109,205235,江苏,2023,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,物理类,9,五年,7480,,首选物理，再选化学/生物(2选1)
plan_109_205235_32_2023_2073_本科批,109_205235,109,205235,江苏,2023,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,物理类,9,五年,7480,,首选物理，再选化学/生物(2选1)
plan_109_5091_32_2023_2073_本科提前批,109_5091,109,5091,江苏,2023,电子科学与技术,本科 (1),工学 (10),电子信息类 (69),普通类,本科提前批,物理类,30,4,6380,"（集成电路）（第三、四学年在无锡培养）
（按特殊类型招生控制线录取；只招收该校测试合格的考生）",首选物理，再选不限
plan_109_5091_32_2023_2073_本科提前批,109_5091,109,5091,江苏,2023,电子科学与技术,本科 (1),工学 (10),电子信息类 (69),普通类,本科提前批,物理类,30,4,6380,"（集成电路）（第三、四学年在无锡培养）
（按特殊类型招生控制线录取；只招收该校测试合格的考生）",首选物理，再选不限
