plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_123_6045_13_2022_2073_本科批,123_6045,123,6045,河北,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,12,四年,8950,,
plan_123_6036_13_2022_2073_本科批,123_6036,123,6036,河北,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,10,四年,37000,,
plan_123_6044_13_2022_2073_本科批,123_6044,123,6044,河北,2022,材料科学与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,6,四年,37000,,
plan_123_6039_13_2022_2073_本科提前批B段,123_6039,123,6039,河北,2022,工程力学,本科 (1),工学 (10),力学类 (63),普通类,本科提前批B段,物理类,2,4,6500,（国家专项计划）,
plan_123_858247_13_2022_2073_本科提前批B段,123_858247,123,858247,河北,2022,地球物理学,本科 (1),理学 (9),地球物理学类 (58),普通类,本科提前批B段,物理类,2,4,3600,（国家专项计划）,
plan_123_618318_13_2022_2073_本科提前批C段,123_618318,123,618318,河北,2022,资源勘查工程,本科 (1),工学 (10),地质类 (76),普通类,本科提前批C段,物理类,3,4,3600,（高校专项计划）,
plan_123_304868_13_2022_2073_本科提前批C段,123_304868,123,304868,河北,2022,地理信息科学,本科 (1),理学 (9),地理科学类 (55),普通类,本科提前批C段,物理类,2,4,5300,（高校专项计划）,
plan_123_709109_13_2022_2073_本科提前批C段,123_709109,123,709109,河北,2022,安全工程,本科 (1),工学 (10),安全科学与工程类 (91),普通类,本科提前批C段,物理类,2,4,6500,（高校专项计划）,
plan_123_858247_13_2022_2073_本科提前批C段,123_858247,123,858247,河北,2022,地球物理学,本科 (1),理学 (9),地球物理学类 (58),普通类,本科提前批C段,物理类,2,4,3600,（高校专项计划）,
plan_123_6058_13_2022_2074_本科提前批B段,123_6058,123,6058,河北,2022,数字出版,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科提前批B段,历史类,2,4,6000,（国家专项计划）,
plan_123_6049_13_2022_2074_本科提前批C段,123_6049,123,6049,河北,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批C段,历史类,2,4,5300,（高校专项计划）,
plan_123_6045_14_2022_1_本科一批A段,123_6045,123,6045,山西,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,5,-,8950,,
plan_123_709130_14_2022_2_提前一批本科,123_709130,123,709130,山西,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,提前一批本科,文科,2,4,5300,（国家专项计划院校）,
plan_123_6109_14_2022_1_提前一批本科,123_6109,123,6109,山西,2022,采矿工程,本科 (1),工学 (10),矿业类 (77),普通类,提前一批本科,理科,2,4,3600,（国家专项计划院校）,
plan_123_304868_14_2022_1_提前一批本科,123_304868,123,304868,山西,2022,地理信息科学,本科 (1),理学 (9),地理科学类 (55),普通类,提前一批本科,理科,2,4,5300,（国家专项计划院校）,
plan_123_709109_14_2022_1_提前一批本科,123_709109,123,709109,山西,2022,安全工程,本科 (1),工学 (10),安全科学与工程类 (91),普通类,提前一批本科,理科,1,4,6500,（国家专项计划院校）,
plan_123_709114_14_2022_1_提前一批本科,123_709114,123,709114,山西,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,提前一批本科,理科,1,4,5500,（国家专项计划院校）,
plan_123_6045_15_2022_1_本科一批,123_6045,123,6045,内蒙古,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科一批,理科,4,四年,8950,（校本部）,
plan_123_660555_15_2022_2_本科提前批A段,123_660555,123,660555,内蒙古,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科提前批A段,文科,1,4,5300,（文化课成绩须达到本科一批录取最低控制分数线）,
plan_123_709130_15_2022_2_本科提前批A段,123_709130,123,709130,内蒙古,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,文科,1,4,5300,（文化课成绩须达到本科一批录取最低控制分数线）,
plan_123_6070_15_2022_2_本科提前批B段,123_6070,123,6070,内蒙古,2022,行政管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科提前批B段,文科,2,4,5500,,
plan_123_6112_15_2022_1_本科提前批A段,123_6112,123,6112,内蒙古,2022,矿物加工工程,本科 (1),工学 (10),矿业类 (77),普通类,本科提前批A段,理科,1,4,3600,（文化课成绩须达到本科一批录取最低控制分数线）,
plan_123_618318_15_2022_1_本科提前批A段,123_618318,123,618318,内蒙古,2022,资源勘查工程,本科 (1),工学 (10),地质类 (76),普通类,本科提前批A段,理科,1,4,3600,（文化课成绩须达到本科一批录取最低控制分数线）,
plan_123_709099_15_2022_1_本科提前批A段,123_709099,123,709099,内蒙古,2022,生物科学,本科 (1),理学 (9),生物科学类 (60),普通类,本科提前批A段,理科,1,4,5300,（文化课成绩须达到本科一批录取最低控制分数线）,
plan_123_6080_15_2022_1_本科提前批B段,123_6080,123,6080,内蒙古,2022,应用物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科提前批B段,理科,2,4,5300,,
plan_123_709114_15_2022_1_本科提前批B段,123_709114,123,709114,内蒙古,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科提前批B段,理科,1,4,5500,,
plan_123_6045_21_2022_2073_本科批,123_6045,123,6045,辽宁,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,6,四年,8950,,
plan_123_6045_22_2022_1_本科一批A段,123_6045,123,6045,吉林,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,3,-,8950,,
plan_123_6045_23_2022_1_本科一批A段,123_6045,123,6045,黑龙江,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,2,四年,8950,,
plan_123_6112_23_2022_1_本科提前批,123_6112,123,6112,黑龙江,2022,矿物加工工程,本科 (1),工学 (10),矿业类 (77),普通类,本科提前批,理科,1,4,3600,(该计划为贫困地区专项计划，在省普通本科一批录取控制分数线上招生。),
plan_123_709114_23_2022_1_本科提前批,123_709114,123,709114,黑龙江,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科提前批,理科,1,4,5500,(该计划为贫困地区专项计划，在省普通本科一批录取控制分数线上招生。),
plan_123_6070_23_2022_2_本科提前批,123_6070,123,6070,黑龙江,2022,行政管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科提前批,文科,1,4,5500,(该计划为贫困地区专项计划，在省普通本科一批录取控制分数线上招生。),
plan_123_6036_32_2022_2073_本科批,123_6036,123,6036,江苏,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,6,四年,69000,,首选物理，再选不限
plan_123_6045_32_2022_2073_本科批,123_6045,123,6045,江苏,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,6,四年,8950,,首选物理，再选不限
plan_123_6092_32_2022_2073_本科批,123_6092,123,6092,江苏,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,4,四年,69000,,首选物理，再选不限
plan_123_660551_32_2022_2073_本科批,123_660551,123,660551,江苏,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,物理类,3,四年,69000,,首选物理，再选不限
plan_123_660558_32_2022_2073_本科批,123_660558,123,660558,江苏,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,3,四年,69000,,首选物理，再选不限
plan_123_6045_32_2022_2073_本科批,123_6045,123,6045,江苏,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,6,四年,8950,,首选物理，再选不限
plan_123_6036_32_2022_2073_本科批,123_6036,123,6036,江苏,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,6,四年,69000,,首选物理，再选不限
plan_123_6092_32_2022_2073_本科批,123_6092,123,6092,江苏,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,4,四年,69000,,首选物理，再选不限
plan_123_660551_32_2022_2073_本科批,123_660551,123,660551,江苏,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,物理类,3,四年,69000,,首选物理，再选不限
plan_123_660558_32_2022_2073_本科批,123_660558,123,660558,江苏,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,3,四年,69000,,首选物理，再选不限
plan_123_6045_33_2022_3_普通类平行录取,123_6045,123,6045,浙江,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,普通类平行录取,综合,7,四年,8950,,
plan_123_6045_34_2022_1_本科一批,123_6045,123,6045,安徽,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科一批,理科,5,-,8950,,
plan_123_6045_35_2022_2073_本科批,123_6045,123,6045,福建,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,7,四年,8950,,首选物理，再选不限
plan_123_6045_35_2022_2073_本科批,123_6045,123,6045,福建,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,7,四年,8950,,首选物理，再选不限
plan_123_6045_36_2022_1_本科一批,123_6045,123,6045,江西,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科一批,理科,9,-,8950,,
plan_123_6036_36_2022_1_本科一批,123_6036,123,6036,江西,2022,土木工程,本科 (1),工学 (10),土木类 (72),中外合作办学,本科一批,理科,5,-,69000,（中外合作办学）（中南大学邓迪国际学院）（以_上专业只招英语语种考生）,
plan_123_6092_36_2022_1_本科一批,123_6092,123,6092,江西,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),中外合作办学,本科一批,理科,3,-,69000,（中外合作办学）（中南大学邓迪国际学院）,
