plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_121_5914_11_2022_3_本科批,121_5914,121,5914,北京,2022,广播电视学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,1,四年,4500,,不限
plan_121_146710_11_2022_3_本科批,121_146710,121,146710,北京,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,1,四年,5850,,不限
plan_121_5960_11_2022_3_本科批,121_5960,121,5960,北京,2022,宝石及材料工艺学,本科 (1),工学 (10),材料类 (66),普通类,本科批,综合,3,四年,5850,,化学必选
plan_121_146714_11_2022_3_本科批,121_146714,121,146714,北京,2022,大气科学,本科 (1),理学 (9),大气科学类 (56),普通类,本科批,综合,2,四年,4500,,物理必选
plan_121_5914_11_2022_3_本科批,121_5914,121,5914,北京,2022,广播电视学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,1,四年,4500,,不限
plan_121_5918_11_2022_3_本科批,121_5918,121,5918,北京,2022,物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科批,综合,1,四年,4500,,物理必选
plan_121_146710_11_2022_3_本科批,121_146710,121,146710,北京,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,1,四年,5850,,不限
plan_121_146714_11_2022_3_本科批,121_146714,121,146714,北京,2022,大气科学,本科 (1),理学 (9),大气科学类 (56),普通类,本科批,综合,2,四年,4500,,物理必选
plan_121_5918_11_2022_3_本科批,121_5918,121,5918,北京,2022,物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科批,综合,1,四年,4500,,物理必选
plan_121_5960_11_2022_3_本科批,121_5960,121,5960,北京,2022,宝石及材料工艺学,本科 (1),工学 (10),材料类 (66),普通类,本科批,综合,3,四年,5850,,化学必选
plan_121_5914_13_2022_2074_本科批,121_5914,121,5914,河北,2022,广播电视学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,1,四年,4500,,
plan_121_146709_13_2022_2074_本科批,121_146709,121,146709,河北,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科批,历史类,1,四年,4500,,
plan_121_146710_13_2022_2074_本科批,121_146710,121,146710,河北,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,1,四年,5850,,
plan_121_5918_13_2022_2073_本科批,121_5918,121,5918,河北,2022,物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科批,物理类,5,四年,4500,,
