plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_61_2014_11_2022_3_本科批,61_2014,61,2014,北京,2022,日语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,2,四年,5000,,不限
plan_61_95636_11_2022_3_本科批,61_95636,61,95636,北京,2022,国际经济与贸易,本科(普通) (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,2,四年,5800,,不限
plan_61_1375755_11_2022_3_本科批,61_1375755,61,1375755,北京,2022,数学与应用数学,本科(普通) (1),理学 (9),数学类 (51),中外合作办学,本科批,综合,3,四年,60000,,物理必选
plan_61_2014_11_2022_3_本科批,61_2014,61,2014,北京,2022,日语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,2,四年,5000,,不限
plan_61_2021_11_2022_3_本科批,61_2021,61,2021,北京,2022,水产养殖学,本科(普通) (1),农学 (11),水产类 (99),普通类,本科批,综合,2,四年,6200,,化学/生物(2选1)
plan_61_2029_11_2022_3_本科批,61_2029,61,2029,北京,2022,海洋科学,本科(普通) (1),理学 (9),海洋科学类 (57),普通类,本科批,综合,2,四年,6300,,物理必选
plan_61_2039_11_2022_3_本科批,61_2039,61,2039,北京,2022,海洋科学,本科(普通) (1),理学 (9),海洋科学类 (57),中外合作办学,本科批,综合,2,四年,52000,,物理必选
plan_61_95636_11_2022_3_本科批,61_95636,61,95636,北京,2022,国际经济与贸易,本科(普通) (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,2,四年,5800,,不限
plan_61_196550_11_2022_3_本科批,61_196550,61,196550,北京,2022,法学,本科(普通) (1),法学 (5),法学类 (39),中外合作办学,本科批,综合,2,四年,70000,,不限
plan_61_1375756_11_2022_3_本科批,61_1375756,61,1375756,北京,2022,生物技术,本科(普通) (1),理学 (9),生物科学类 (60),中外合作办学,本科批,综合,2,四年,60000,,物/化/生(3选1)
plan_61_2029_11_2022_3_本科批,61_2029,61,2029,北京,2022,海洋科学,本科(普通) (1),理学 (9),海洋科学类 (57),普通类,本科批,综合,2,四年,6300,,物理必选
plan_61_2021_11_2022_3_本科批,61_2021,61,2021,北京,2022,水产养殖学,本科(普通) (1),农学 (11),水产类 (99),普通类,本科批,综合,2,四年,6200,,化学/生物(2选1)
plan_61_196550_11_2022_3_本科批,61_196550,61,196550,北京,2022,法学,本科(普通) (1),法学 (5),法学类 (39),中外合作办学,本科批,综合,2,四年,70000,,不限
plan_61_1375755_11_2022_3_本科批,61_1375755,61,1375755,北京,2022,数学与应用数学,本科(普通) (1),理学 (9),数学类 (51),中外合作办学,本科批,综合,3,四年,60000,,物理必选
plan_61_2039_11_2022_3_本科批,61_2039,61,2039,北京,2022,海洋科学,本科(普通) (1),理学 (9),海洋科学类 (57),中外合作办学,本科批,综合,2,四年,52000,,物理必选
plan_61_1375756_11_2022_3_本科批,61_1375756,61,1375756,北京,2022,生物技术,本科(普通) (1),理学 (9),生物科学类 (60),中外合作办学,本科批,综合,2,四年,60000,,物/化/生(3选1)
plan_61_95630_13_2022_2074_本科批,61_95630,61,95630,河北,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,5,四年,70000,,
plan_61_2015_13_2022_2074_本科批,61_2015,61,2015,河北,2022,朝鲜语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,3,四年,5000,,
plan_61_2013_13_2022_2074_本科批,61_2013,61,2013,河北,2022,法语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,2,四年,5000,,
plan_61_2014_13_2022_2074_本科批,61_2014,61,2014,河北,2022,日语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,2,四年,5000,,
plan_61_2040_13_2022_2074_本科批,61_2040,61,2040,河北,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,2,四年,5000,,
plan_61_95631_13_2022_2074_本科批,61_95631,61,95631,河北,2022,政治学与行政学,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科批,历史类,2,四年,5000,,
plan_61_95632_13_2022_2074_本科批,61_95632,61,95632,河北,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,2,四年,5000,,
plan_61_95636_13_2022_2074_本科批,61_95636,61,95636,河北,2022,国际经济与贸易,本科(普通) (1),经济学 (4),经济与贸易类 (38),普通类,本科批,历史类,2,四年,5800,,
plan_61_95645_13_2022_2074_本科批,61_95645,61,95645,河北,2022,旅游管理,本科(普通) (1),管理学 (13),旅游管理类 (120),普通类,本科批,历史类,2,四年,5800,,
plan_61_2025_13_2022_2073_本科批,61_2025,61,2025,河北,2022,数学与应用数学,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批,物理类,7,四年,60000,,
plan_61_2017_13_2022_2073_本科批,61_2017,61,2017,河北,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,物理类,5,四年,70000,,
plan_61_2039_13_2022_2073_本科批,61_2039,61,2039,河北,2022,海洋科学,本科(普通) (1),理学 (9),海洋科学类 (57),中外合作办学,本科批,物理类,5,四年,52000,,
plan_61_2044_13_2022_2073_本科批,61_2044,61,2044,河北,2022,生物技术,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,5,四年,60000,,
plan_61_2020_13_2022_2073_本科批,61_2020,61,2020,河北,2022,食品科学与工程,本科(普通) (1),工学 (10),食品科学与工程类 (89),普通类,本科批,物理类,4,四年,60000,,
plan_61_2027_13_2022_2073_本科批,61_2027,61,2027,河北,2022,物理学,本科(普通) (1),理学 (9),物理学类 (52),普通类,本科批,物理类,4,四年,5800,,
plan_61_196550_13_2022_2073_本科批,61_196550,61,196550,河北,2022,法学,本科(普通) (1),法学 (5),法学类 (39),中外合作办学,本科批,物理类,4,四年,70000,,
plan_61_2029_13_2022_2073_本科批,61_2029,61,2029,河北,2022,海洋科学,本科(普通) (1),理学 (9),海洋科学类 (57),普通类,本科批,物理类,3,四年,6300,,
plan_61_2030_13_2022_2073_本科批,61_2030,61,2030,河北,2022,海洋技术,本科(普通) (1),理学 (9),海洋科学类 (57),普通类,本科批,物理类,3,四年,6300,,
plan_61_2038_13_2022_2073_本科批,61_2038,61,2038,河北,2022,大气科学,本科(普通) (1),理学 (9),大气科学类 (56),普通类,本科批,物理类,3,四年,5800,,
plan_61_2045_13_2022_2073_本科批,61_2045,61,2045,河北,2022,光电信息科学与工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,3,四年,5800,,
plan_61_95637_13_2022_2073_本科批,61_95637,61,95637,河北,2022,化学,本科(普通) (1),理学 (9),化学类 (53),普通类,本科批,物理类,3,四年,6300,,
plan_61_2018_13_2022_2073_本科批,61_2018,61,2018,河北,2022,环境工程,本科(普通) (1),工学 (10),环境科学与工程类 (87),普通类,本科批,物理类,2,四年,6200,,
plan_61_2019_13_2022_2073_本科批,61_2019,61,2019,河北,2022,化学工程与工艺,本科(普通) (1),工学 (10),化工与制药类 (75),普通类,本科批,物理类,2,四年,5800,,
plan_61_2021_13_2022_2073_本科批,61_2021,61,2021,河北,2022,水产养殖学,本科(普通) (1),农学 (11),水产类 (99),普通类,本科批,物理类,2,四年,6200,,
plan_61_2024_13_2022_2073_本科批,61_2024,61,2024,河北,2022,地质学,本科(普通) (1),理学 (9),地质学类 (59),普通类,本科批,物理类,2,四年,5800,,
plan_61_2028_13_2022_2073_本科批,61_2028,61,2028,河北,2022,地球信息科学与技术,本科(普通) (1),理学 (9),地质学类 (59),普通类,本科批,物理类,2,四年,5800,,
plan_61_2034_13_2022_2073_本科批,61_2034,61,2034,河北,2022,勘查技术与工程,本科(普通) (1),工学 (10),地质类 (76),普通类,本科批,物理类,2,四年,5800,,
plan_61_2040_13_2022_2073_本科批,61_2040,61,2040,河北,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,物理类,2,四年,5000,,
plan_61_2042_13_2022_2073_本科批,61_2042,61,2042,河北,2022,海洋资源与环境,本科(普通) (1),理学 (9),海洋科学类 (57),普通类,本科批,物理类,2,四年,5800,,
plan_61_95630_13_2022_2073_本科批,61_95630,61,95630,河北,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,物理类,2,四年,5000,,
plan_61_95633_13_2022_2073_本科批,61_95633,61,95633,河北,2022,财务管理,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,2,四年,5800,,
plan_61_95636_13_2022_2073_本科批,61_95636,61,95636,河北,2022,国际经济与贸易,本科(普通) (1),经济学 (4),经济与贸易类 (38),普通类,本科批,物理类,2,四年,5800,,
plan_61_95638_13_2022_2073_本科批,61_95638,61,95638,河北,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,物理类,2,四年,5800,,
plan_61_95639_13_2022_2073_本科批,61_95639,61,95639,河北,2022,自动化,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,物理类,2,四年,5800,,
plan_61_95641_13_2022_2073_本科批,61_95641,61,95641,河北,2022,船舶与海洋工程,本科(普通) (1),工学 (10),海洋工程类 (81),普通类,本科批,物理类,2,四年,5800,,
plan_61_95644_13_2022_2073_本科批,61_95644,61,95644,河北,2022,物流管理,本科(普通) (1),管理学 (13),物流管理与工程类 (117),普通类,本科批,物理类,2,四年,5300,,
plan_61_95651_13_2022_2073_本科批,61_95651,61,95651,河北,2022,港口航道与海岸工程,本科(普通) (1),工学 (10),水利类 (73),普通类,本科批,物理类,2,四年,6300,,
plan_61_95652_13_2022_2073_本科批,61_95652,61,95652,河北,2022,轮机工程,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批,物理类,2,四年,5800,,
plan_61_2022_13_2022_2073_本科批,61_2022,61,2022,河北,2022,药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科批,物理类,1,四年,7000,,
plan_61_2021_13_2022_2073_本科提前批B段,61_2021,61,2021,河北,2022,水产养殖学,本科(普通) (1),农学 (11),水产类 (99),普通类,本科提前批B段,物理类,3,4,6200,（青岛市）（国家专项计划）,
plan_61_2022_13_2022_2073_本科提前批B段,61_2022,61,2022,河北,2022,药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科提前批B段,物理类,3,4,7000,（青岛市）（国家专项计划）,
plan_61_2041_13_2022_2073_本科提前批B段,61_2041,61,2041,河北,2022,海洋渔业科学与技术,本科(普通) (1),农学 (11),水产类 (99),普通类,本科提前批B段,物理类,2,4,5800,（青岛市）（国家专项计划）,
plan_61_2030_13_2022_2073_本科提前批C段,61_2030,61,2030,河北,2022,海洋技术,本科(普通) (1),理学 (9),海洋科学类 (57),普通类,本科提前批C段,物理类,1,4,6300,（高校专项计划）,
plan_61_95652_13_2022_2073_本科提前批C段,61_95652,61,95652,河北,2022,轮机工程,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批C段,物理类,1,4,5800,（高校专项计划）,
