plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_120_5859_11_2022_3_本科批,120_5859,120,5859,北京,2022,石油工程,本科(普通) (1),工学 (10),矿业类 (77),普通类,本科批,综合,3,四年,6000,,物理必选
plan_120_5867_11_2022_3_本科批,120_5867,120,5867,北京,2022,过程装备与控制工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,2,四年,6000,,物理必选
plan_120_5878_11_2022_3_本科批,120_5878,120,5878,北京,2022,油气储运工程,本科(普通) (1),工学 (10),矿业类 (77),普通类,本科批,综合,2,四年,6000,,物理必选
plan_120_5881_11_2022_3_本科批,120_5881,120,5881,北京,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批,综合,2,四年,6000,,物理必选
plan_120_5886_11_2022_3_本科批,120_5886,120,5886,北京,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,2,四年,6000,,物理必选
plan_120_5892_11_2022_3_本科批,120_5892,120,5892,北京,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,2,四年,12000,,物理必选
plan_120_1511753_11_2022_3_本科批,120_1511753,120,1511753,北京,2022,智能感知工程,本科(普通) (1),工学 (10),仪器类 (65),普通类,本科批,综合,2,四年,6000,,物理必选
plan_120_5859_11_2022_3_本科批,120_5859,120,5859,北京,2022,石油工程,本科(普通) (1),工学 (10),矿业类 (77),普通类,本科批,综合,3,四年,6000,,物理必选
plan_120_5867_11_2022_3_本科批,120_5867,120,5867,北京,2022,过程装备与控制工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,2,四年,6000,,物理必选
plan_120_5877_11_2022_3_本科批,120_5877,120,5877,北京,2022,化学工程与工艺,本科(普通) (1),工学 (10),化工与制药类 (75),普通类,本科批,综合,2,四年,6000,,物理、化学(2科必选)
plan_120_5878_11_2022_3_本科批,120_5878,120,5878,北京,2022,油气储运工程,本科(普通) (1),工学 (10),矿业类 (77),普通类,本科批,综合,2,四年,6000,,物理必选
plan_120_5881_11_2022_3_本科批,120_5881,120,5881,北京,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批,综合,2,四年,6000,,物理必选
plan_120_5886_11_2022_3_本科批,120_5886,120,5886,北京,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,2,四年,6000,,物理必选
