plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_110_857193_11_2022_3_本科批,110_857193,110,857193,北京,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,2,四年,5200,,不限
plan_110_857193_11_2022_3_本科批,110_857193,110,857193,北京,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,2,四年,5200,,不限
plan_110_1129644_11_2022_3_本科批,110_1129644,110,1129644,北京,2022,新能源材料与器件,本科 (1),工学 (10),材料类 (66),普通类,本科批,综合,2,四年,5800,,物理必选
plan_110_1129645_11_2022_3_本科批,110_1129645,110,1129645,北京,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,2,四年,5800,,物理必选
plan_110_1129647_11_2022_3_本科批,110_1129647,110,1129647,北京,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,2,四年,5200,,物理必选
plan_110_1497994_11_2022_3_本科批,110_1497994,110,1497994,北京,2022,遥感科学与技术,本科 (1),工学 (10),测绘类 (74),普通类,本科批,综合,2,四年,5500,,物理必选
plan_110_1800270_11_2022_3_本科批,110_1800270,110,1800270,北京,2022,应急管理,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,2,四年,5200,,物理必选
plan_110_1129644_11_2022_3_本科批,110_1129644,110,1129644,北京,2022,新能源材料与器件,本科 (1),工学 (10),材料类 (66),普通类,本科批,综合,2,四年,5800,,物理必选
plan_110_1129645_11_2022_3_本科批,110_1129645,110,1129645,北京,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,2,四年,5800,,物理必选
plan_110_1129647_11_2022_3_本科批,110_1129647,110,1129647,北京,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,2,四年,5200,,物理必选
plan_110_1497994_11_2022_3_本科批,110_1497994,110,1497994,北京,2022,遥感科学与技术,本科 (1),工学 (10),测绘类 (74),普通类,本科批,综合,2,四年,5500,,物理必选
plan_110_1800270_11_2022_3_本科批,110_1800270,110,1800270,北京,2022,应急管理,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,2,四年,5200,,物理必选
plan_110_857193_13_2022_2074_本科批,110_857193,110,857193,河北,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,历史类,3,四年,5200,,
plan_110_1129645_13_2022_2073_本科批,110_1129645,110,1129645,河北,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,12,四年,5800,,
plan_110_1024470_13_2022_2073_本科批,110_1024470,110,1024470,河北,2022,机器人工程,本科 (1),工学 (10),自动化类 (70),普通类,本科批,物理类,8,四年,5800,,
plan_110_1129647_13_2022_2073_本科批,110_1129647,110,1129647,河北,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,5,四年,5200,,
plan_110_1129644_13_2022_2073_本科批,110_1129644,110,1129644,河北,2022,新能源材料与器件,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,4,四年,5800,,
plan_110_1497994_13_2022_2073_本科批,110_1497994,110,1497994,河北,2022,遥感科学与技术,本科 (1),工学 (10),测绘类 (74),普通类,本科批,物理类,4,四年,5500,,
plan_110_1797425_13_2022_2073_本科批,110_1797425,110,1797425,河北,2022,地球信息科学与技术,本科 (1),理学 (9),地质学类 (59),普通类,本科批,物理类,4,四年,5800,,
plan_110_1800270_13_2022_2073_本科批,110_1800270,110,1800270,河北,2022,应急管理,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,4,四年,5200,,
plan_110_857193_13_2022_2073_本科批,110_857193,110,857193,河北,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,2,四年,5200,,
plan_110_857162_13_2022_2073_本科提前批C段,110_857162,110,857162,河北,2022,土地资源管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科提前批C段,物理类,2,4,5800,（高校专项计划）,
plan_110_1129645_14_2022_1_本科一批A段,110_1129645,110,1129645,山西,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,12,-,5800,,
plan_110_1024470_14_2022_1_本科一批A段,110_1024470,110,1024470,山西,2022,机器人工程,本科 (1),工学 (10),自动化类 (70),普通类,本科一批A段,理科,5,-,5800,,
