plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_66_97446_13_2022_2073_本科提前批B段,66_97446,66,97446,河北,2022,化学类,本科 (1),理学 (9),化学类 (53),普通类,本科提前批B段,物理类,1,4,4800,（国家专项计划）（含化学专业）,
plan_66_97449_13_2022_2073_本科提前批B段,66_97449,66,97449,河北,2022,材料类,本科 (1),工学 (10),材料类 (66),普通类,本科提前批B段,物理类,1,4,4800,（国家专项计划）（含材料物理、材料化学、高分子材料与工程专业）,
plan_66_97454_13_2022_2073_本科提前批B段,66_97454,66,97454,河北,2022,生物科学类,本科 (1),理学 (9),生物科学类 (60),普通类,本科提前批B段,物理类,1,4,4800,（国家专项计划）（含生物科学、生物技术、临床医学专业）,
plan_66_713882_13_2022_2073_本科提前批B段,66_713882,66,713882,河北,2022,核工程类,本科 (1),工学 (10),核工程类 (84),普通类,本科提前批B段,物理类,1,4,4800,（等离子体物理、医学物理、先进光源方向）（国家专项计划）（含核工程与核技术、、工程物理专业）,
plan_66_1800349_14_2022_1_本科一批A段,66_1800349,66,1800349,山西,2022,空间科学与技术,本科 (1),理学 (9),地球物理学类 (58),普通类,本科一批A段,理科,2,-,4800,,
plan_66_1800349_14_2022_1_提前一批本科,66_1800349,66,1800349,山西,2022,空间科学与技术,本科 (1),理学 (9),地球物理学类 (58),普通类,提前一批本科,理科,1,4,4800,（国家专项计划院校）,
plan_66_1800349_15_2022_1_本科提前批B段,66_1800349,66,1800349,内蒙古,2022,空间科学与技术,本科 (1),理学 (9),地球物理学类 (58),普通类,本科提前批B段,理科,2,4,4800,,
plan_66_713882_15_2022_1_本科提前批B段,66_713882,66,713882,内蒙古,2022,核工程类,本科 (1),工学 (10),核工程类 (84),普通类,本科提前批B段,理科,1,4,4800,（等离子体物理、医学物理、先进光源方向）（包含专业：核工程与核技术、工程物理）,
plan_66_1800349_23_2022_1_本科一批A段,66_1800349,66,1800349,黑龙江,2022,空间科学与技术,本科 (1),理学 (9),地球物理学类 (58),普通类,本科一批A段,理科,1,四年,4800,,
plan_66_97441_32_2022_2073_本科批,66_97441,66,97441,江苏,2022,电子信息类,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,6,四年,4800,,首选物理，再选不限
plan_66_97440_32_2022_2073_本科批,66_97440,66,97440,江苏,2022,物理学类,本科 (1),理学 (9),物理学类 (52),普通类,本科批,物理类,4,四年,4800,,首选物理，再选不限
plan_66_97442_32_2022_2073_本科批,66_97442,66,97442,江苏,2022,计算机类,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,3,四年,4800,,首选物理，再选不限
plan_66_97439_32_2022_2073_本科批,66_97439,66,97439,江苏,2022,数学类,本科 (1),理学 (9),数学类 (51),普通类,本科批,物理类,2,四年,4800,,首选物理，再选不限
plan_66_620058_32_2022_2073_本科批,66_620058,66,620058,江苏,2022,统计学,本科 (1),理学 (9),统计学类 (62),普通类,本科批,物理类,1,四年,4800,,首选物理，再选不限
plan_66_1800349_32_2022_2073_本科批,66_1800349,66,1800349,江苏,2022,空间科学与技术,本科 (1),理学 (9),地球物理学类 (58),普通类,本科批,物理类,1,四年,4800,,首选物理，再选不限
