plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_117_5595_11_2022_3_本科批,117_5595,117,5595,北京,2022,生物制药,本科 (1),工学 (10),生物工程类 (92),普通类,本科批,综合,2,四年,6380,,物/化/生(3选1)
plan_117_5604_11_2022_3_本科批,117_5604,117,5604,北京,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,综合,1,四年,6050,,物/化/生(3选1)
plan_117_5595_11_2022_3_本科批,117_5595,117,5595,北京,2022,生物制药,本科 (1),工学 (10),生物工程类 (92),普通类,本科批,综合,2,四年,6380,,物/化/生(3选1)
plan_117_5604_11_2022_3_本科批,117_5604,117,5604,北京,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,综合,1,四年,6050,,物/化/生(3选1)
plan_117_101172_13_2022_2073_本科提前批B段,117_101172,117,101172,河北,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批B段,物理类,2,4,5200,（医药方向）（国家专项计划）（只招英语语种考生）,
plan_117_5595_14_2022_1_本科一批A段,117_5595,117,5595,山西,2022,生物制药,本科 (1),工学 (10),生物工程类 (92),普通类,本科一批A段,理科,6,-,6380,,
plan_117_5603_14_2022_1_本科一批A段,117_5603,117,5603,山西,2022,海洋药学,本科 (1),医学 (12),药学类 (107),普通类,本科一批A段,理科,3,-,7480,,
plan_117_5602_14_2022_1_本科一批A段,117_5602,117,5602,山西,2022,临床药学,本科 (1),医学 (12),药学类 (107),普通类,本科一批A段,理科,2,五年,6800,,
plan_117_5604_14_2022_1_本科一批A段,117_5604,117,5604,山西,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科一批A段,理科,1,-,6050,,
plan_117_5595_15_2022_1_本科一批,117_5595,117,5595,内蒙古,2022,生物制药,本科 (1),工学 (10),生物工程类 (92),普通类,本科一批,理科,4,四年,6380,（江宁校区）（不招色盲色弱）,
plan_117_5602_15_2022_1_本科一批,117_5602,117,5602,内蒙古,2022,临床药学,本科 (1),医学 (12),药学类 (107),普通类,本科一批,理科,2,五年,6800,（江宁校区）（不招色盲色弱）,
plan_117_5603_15_2022_1_本科一批,117_5603,117,5603,内蒙古,2022,海洋药学,本科 (1),医学 (12),药学类 (107),普通类,本科一批,理科,2,四年,7480,（江宁校区）（不招色盲色弱）,
plan_117_5604_15_2022_1_本科一批,117_5604,117,5604,内蒙古,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科一批,理科,2,四年,6050,（江宁校区）（不招色盲色弱）,
plan_117_5595_23_2022_1_本科一批A段,117_5595,117,5595,黑龙江,2022,生物制药,本科 (1),工学 (10),生物工程类 (92),普通类,本科一批A段,理科,4,四年,6380,,
plan_117_5602_23_2022_1_本科一批A段,117_5602,117,5602,黑龙江,2022,临床药学,本科 (1),医学 (12),药学类 (107),普通类,本科一批A段,理科,2,五年,6800,,
plan_117_5603_23_2022_1_本科一批A段,117_5603,117,5603,黑龙江,2022,海洋药学,本科 (1),医学 (12),药学类 (107),普通类,本科一批A段,理科,2,五年,7480,,
plan_117_101172_32_2022_2074_本科批,117_101172,117,101172,江苏,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,36,四年,5200,,首选历史，再选不限
plan_117_101172_32_2022_2074_本科批,117_101172,117,101172,江苏,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,36,四年,5200,,首选历史，再选不限
plan_117_5595_32_2022_2073_本科批,117_5595,117,5595,江苏,2022,生物制药,本科 (1),工学 (10),生物工程类 (92),普通类,本科批,物理类,97,四年,6380,,首选物理，再选化学/生物(2选1)
plan_117_5606_32_2022_2073_本科批,117_5606,117,5606,江苏,2022,中药学,本科 (1),医学 (12),中药学类 (108),普通类,本科批,物理类,24,四年,7480,,首选物理，再选化学/生物(2选1)
plan_117_5603_32_2022_2073_本科批,117_5603,117,5603,江苏,2022,海洋药学,本科 (1),医学 (12),药学类 (107),普通类,本科批,物理类,10,四年,7480,,首选物理，再选化学/生物(2选1)
plan_117_5604_32_2022_2073_本科批,117_5604,117,5604,江苏,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,10,四年,6050,,首选物理，再选化学/生物(2选1)
plan_117_5595_32_2022_2073_本科批,117_5595,117,5595,江苏,2022,生物制药,本科 (1),工学 (10),生物工程类 (92),普通类,本科批,物理类,97,四年,6380,,首选物理，再选化学/生物(2选1)
plan_117_5606_32_2022_2073_本科批,117_5606,117,5606,江苏,2022,中药学,本科 (1),医学 (12),中药学类 (108),普通类,本科批,物理类,24,四年,7480,,首选物理，再选化学/生物(2选1)
plan_117_5602_32_2022_2073_本科批,117_5602,117,5602,江苏,2022,临床药学,本科 (1),医学 (12),药学类 (107),普通类,本科批,物理类,14,五年,26400,,首选物理，再选化学/生物(2选1)
plan_117_5618_32_2022_2073_本科批,117_5618,117,5618,江苏,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科批,物理类,11,四年,26400,,首选物理，再选化学/生物(2选1)
plan_117_5603_32_2022_2073_本科批,117_5603,117,5603,江苏,2022,海洋药学,本科 (1),医学 (12),药学类 (107),普通类,本科批,物理类,10,四年,7480,,首选物理，再选化学/生物(2选1)
plan_117_5604_32_2022_2073_本科批,117_5604,117,5604,江苏,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,10,四年,6050,,首选物理，再选化学/生物(2选1)
plan_117_5618_32_2022_2073_本科批,117_5618,117,5618,江苏,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科批,物理类,5,四年,7480,,首选物理，再选化学
plan_117_5602_32_2022_2073_本科批,117_5602,117,5602,江苏,2022,临床药学,本科 (1),医学 (12),药学类 (107),普通类,本科批,物理类,14,五年,26400,,首选物理，再选化学/生物(2选1)
plan_117_5618_32_2022_2073_本科批,117_5618,117,5618,江苏,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科批,物理类,11,四年,26400,,首选物理，再选化学/生物(2选1)
plan_117_5618_32_2022_2073_本科批,117_5618,117,5618,江苏,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科批,物理类,5,四年,7480,,首选物理，再选化学
plan_117_5595_33_2022_3_普通类平行录取,117_5595,117,5595,浙江,2022,生物制药,本科 (1),工学 (10),生物工程类 (92),普通类,普通类平行录取,综合,5,四年,6380,（江宁校区）,
plan_117_5602_33_2022_3_普通类平行录取,117_5602,117,5602,浙江,2022,临床药学,本科 (1),医学 (12),药学类 (107),普通类,普通类平行录取,综合,4,五年,6800,（江宁校区）,
plan_117_5604_33_2022_3_普通类平行录取,117_5604,117,5604,浙江,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,普通类平行录取,综合,2,四年,6050,（江宁校区）,
plan_117_101172_36_2022_2_本科一批,117_101172,117,101172,江西,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,文科,3,-,5200,（医药方向（该专业只招英语语种考生））,
plan_117_5618_36_2022_1_本科一批,117_5618,117,5618,江西,2022,药学,本科 (1),医学 (12),药学类 (107),中外合作办学,本科一批,理科,4,-,26400,"（中外合作办学）（该专业第四学年起赴英国学习，国外学费另算,不招色盲色弱考生）",
plan_117_5595_36_2022_1_本科一批,117_5595,117,5595,江西,2022,生物制药,本科 (1),工学 (10),生物工程类 (92),普通类,本科一批,理科,3,-,6380,,
plan_117_5602_36_2022_1_本科一批,117_5602,117,5602,江西,2022,临床药学,本科 (1),医学 (12),药学类 (107),中外合作办学,本科一批,理科,2,五年,26400,"（中外合作办学）（该专业第三、四学年赴英国学习,第五学年在国内学习,国外学费另算,不招色盲、色弱考生）",
plan_117_5603_36_2022_1_本科一批,117_5603,117,5603,江西,2022,海洋药学,本科 (1),医学 (12),药学类 (107),普通类,本科一批,理科,2,-,7480,,
plan_117_5604_36_2022_1_本科一批,117_5604,117,5604,江西,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科一批,理科,2,-,6050,,
plan_117_5618_36_2022_1_本科一批,117_5618,117,5618,江西,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科一批,理科,2,-,7480,（国家生命科学与技术人才培养基地）,
plan_117_5618_36_2022_1_本科一批,117_5618,117,5618,江西,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科一批,理科,2,-,7480,（基础药学理科基地）,
plan_117_5602_36_2022_1_本科一批,117_5602,117,5602,江西,2022,临床药学,本科 (1),医学 (12),药学类 (107),普通类,本科一批,理科,1,五年,6800,,
