plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_45_1073_11_2022_3_本科批,45_1073,45,1073,北京,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,4,四年,5000,,不限
plan_45_1107_11_2022_3_本科批,45_1107,45,1107,北京,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,3,四年,6000,,不限
plan_45_1071_11_2022_3_本科批,45_1071,45,1071,北京,2022,教育学,本科 (1),教育学 (6),教育学类 (45),普通类,本科批,综合,2,四年,5000,,不限
plan_45_1075_11_2022_3_本科批,45_1075,45,1075,北京,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,2,四年,5000,,不限
plan_45_303191_11_2022_3_本科批,45_303191,45,303191,北京,2022,俄语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,2,四年,5500,,不限
plan_45_1110_11_2022_3_本科批,45_1110,45,1110,北京,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,6,四年,5300,,物理必选
plan_45_852954_11_2022_3_本科批,45_852954,45,852954,北京,2022,纳米材料与技术,本科 (1),工学 (10),材料类 (66),普通类,本科批,综合,6,四年,5300,,物理必选
plan_45_174766_11_2022_3_本科批,45_174766,45,174766,北京,2022,环境科学,本科 (1),工学 (10),环境科学与工程类 (87),中外合作办学,本科批,综合,5,四年,56000,,物/化/生(3选1)
plan_45_1073_11_2022_3_本科批,45_1073,45,1073,北京,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,4,四年,5000,,不限
plan_45_1107_11_2022_3_本科批,45_1107,45,1107,北京,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,3,四年,6000,,不限
plan_45_1071_11_2022_3_本科批,45_1071,45,1071,北京,2022,教育学,本科 (1),教育学 (6),教育学类 (45),普通类,本科批,综合,2,四年,5000,,不限
plan_45_1075_11_2022_3_本科批,45_1075,45,1075,北京,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,2,四年,5000,,不限
plan_45_1086_11_2022_3_本科批,45_1086,45,1086,北京,2022,民族学,本科 (1),法学 (5),民族学类 (42),普通类,本科批,综合,2,四年,5000,,历史必选
plan_45_1088_11_2022_3_本科批,45_1088,45,1088,北京,2022,文物与博物馆学,本科 (1),历史学 (8),历史学类 (50),普通类,本科批,综合,2,四年,5000,,历史必选
plan_45_303191_11_2022_3_本科批,45_303191,45,303191,北京,2022,俄语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,2,四年,5500,,不限
plan_45_1110_11_2022_3_本科批,45_1110,45,1110,北京,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,6,四年,5300,,物理必选
plan_45_852954_11_2022_3_本科批,45_852954,45,852954,北京,2022,纳米材料与技术,本科 (1),工学 (10),材料类 (66),普通类,本科批,综合,6,四年,5300,,物理必选
plan_45_1086_11_2022_3_本科批,45_1086,45,1086,北京,2022,民族学,本科 (1),法学 (5),民族学类 (42),普通类,本科批,综合,2,四年,5000,,历史必选
plan_45_1088_11_2022_3_本科批,45_1088,45,1088,北京,2022,文物与博物馆学,本科 (1),历史学 (8),历史学类 (50),普通类,本科批,综合,2,四年,5000,,历史必选
plan_45_174766_11_2022_3_本科批,45_174766,45,174766,北京,2022,环境科学,本科 (1),工学 (10),环境科学与工程类 (87),中外合作办学,本科批,综合,5,四年,56000,,物/化/生(3选1)
plan_45_1072_11_2022_3_本科提前批A段,45_1072,45,1072,北京,2022,体育教育,本科 (1),教育学 (6),体育学类 (46),普通类,本科提前批A段,综合,2,4,5000,,不限
plan_45_1072_11_2022_3_本科提前批A段,45_1072,45,1072,北京,2022,体育教育,本科 (1),教育学 (6),体育学类 (46),普通类,本科提前批A段,综合,2,4,5000,,不限
plan_45_1073_13_2022_2074_本科批,45_1073,45,1073,河北,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,5,四年,5000,,
plan_45_1075_13_2022_2074_本科批,45_1075,45,1075,河北,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,3,四年,5000,,
plan_45_1071_13_2022_2074_本科批,45_1071,45,1071,河北,2022,教育学,本科 (1),教育学 (6),教育学类 (45),普通类,本科批,历史类,2,四年,5000,,
plan_45_1088_13_2022_2074_本科批,45_1088,45,1088,河北,2022,文物与博物馆学,本科 (1),历史学 (8),历史学类 (50),普通类,本科批,历史类,2,四年,5000,,
plan_45_1110_13_2022_2073_本科批,45_1110,45,1110,河北,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,8,四年,5300,,
plan_45_852954_13_2022_2073_本科批,45_852954,45,852954,河北,2022,纳米材料与技术,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,8,四年,5300,,
plan_45_1071_13_2022_2073_本科批,45_1071,45,1071,河北,2022,教育学,本科 (1),教育学 (6),教育学类 (45),普通类,本科批,物理类,2,四年,5000,,
plan_45_1073_14_2022_2_本科一批A段,45_1073,45,1073,山西,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科一批A段,文科,3,-,5000,,
plan_45_1075_14_2022_2_本科一批A段,45_1075,45,1075,山西,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科一批A段,文科,3,-,5000,,
plan_45_1071_14_2022_2_本科一批A段,45_1071,45,1071,山西,2022,教育学,本科 (1),教育学 (6),教育学类 (45),普通类,本科一批A段,文科,2,-,5000,,
plan_45_1088_14_2022_2_本科一批A段,45_1088,45,1088,山西,2022,文物与博物馆学,本科 (1),历史学 (8),历史学类 (50),普通类,本科一批A段,文科,2,-,5000,,
plan_45_1110_14_2022_1_本科一批A段,45_1110,45,1110,山西,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,6,-,5300,,
plan_45_852954_14_2022_1_本科一批A段,45_852954,45,852954,山西,2022,纳米材料与技术,本科 (1),工学 (10),材料类 (66),普通类,本科一批A段,理科,6,-,5300,,
plan_45_1073_15_2022_2_本科一批,45_1073,45,1073,内蒙古,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科一批,文科,3,四年,5000,（丰台校区）,
plan_45_1071_15_2022_2_本科一批,45_1071,45,1071,内蒙古,2022,教育学,本科 (1),教育学 (6),教育学类 (45),普通类,本科一批,文科,2,四年,5000,（丰台校区）,
plan_45_1075_15_2022_2_本科一批,45_1075,45,1075,内蒙古,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科一批,文科,2,四年,5000,（丰台校区）,
plan_45_1086_15_2022_2_本科一批,45_1086,45,1086,内蒙古,2022,民族学,本科 (1),法学 (5),民族学类 (42),普通类,本科一批,文科,2,四年,5000,（丰台校区）,
plan_45_1110_15_2022_1_本科一批,45_1110,45,1110,内蒙古,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批,理科,4,四年,5300,（丰台校区）,
plan_45_852954_15_2022_1_本科一批,45_852954,45,852954,内蒙古,2022,纳米材料与技术,本科 (1),工学 (10),材料类 (66),普通类,本科一批,理科,4,四年,5300,（丰台校区）,
plan_45_1073_21_2022_2074_本科批,45_1073,45,1073,辽宁,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,3,四年,5000,,
plan_45_1075_21_2022_2074_本科批,45_1075,45,1075,辽宁,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,3,四年,5000,,
plan_45_1071_21_2022_2074_本科批,45_1071,45,1071,辽宁,2022,教育学,本科 (1),教育学 (6),教育学类 (45),普通类,本科批,历史类,2,四年,5000,,
plan_45_1088_21_2022_2074_本科批,45_1088,45,1088,辽宁,2022,文物与博物馆学,本科 (1),历史学 (8),历史学类 (50),普通类,本科批,历史类,2,四年,5000,,
plan_45_852954_21_2022_2073_本科批,45_852954,45,852954,辽宁,2022,纳米材料与技术,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,4,四年,5300,,
plan_45_1110_21_2022_2073_本科批,45_1110,45,1110,辽宁,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,3,四年,5300,,
plan_45_1073_22_2022_2_本科一批A段,45_1073,45,1073,吉林,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科一批A段,文科,3,-,5000,,
plan_45_1075_22_2022_2_本科一批A段,45_1075,45,1075,吉林,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科一批A段,文科,3,-,5000,,
plan_45_1071_22_2022_2_本科一批A段,45_1071,45,1071,吉林,2022,教育学,本科 (1),教育学 (6),教育学类 (45),普通类,本科一批A段,文科,2,-,5000,,
plan_45_1086_22_2022_2_本科一批A段,45_1086,45,1086,吉林,2022,民族学,本科 (1),法学 (5),民族学类 (42),普通类,本科一批A段,文科,2,-,5000,,
plan_45_1110_22_2022_1_本科一批A段,45_1110,45,1110,吉林,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,5,-,5300,,
plan_45_852954_22_2022_1_本科一批A段,45_852954,45,852954,吉林,2022,纳米材料与技术,本科 (1),工学 (10),材料类 (66),普通类,本科一批A段,理科,5,-,5300,,
plan_45_1073_23_2022_2_本科一批A段,45_1073,45,1073,黑龙江,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科一批A段,文科,3,四年,5000,,
plan_45_1075_23_2022_2_本科一批A段,45_1075,45,1075,黑龙江,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科一批A段,文科,3,四年,5000,,
plan_45_1071_23_2022_2_本科一批A段,45_1071,45,1071,黑龙江,2022,教育学,本科 (1),教育学 (6),教育学类 (45),普通类,本科一批A段,文科,2,四年,5000,,
plan_45_1086_23_2022_2_本科一批A段,45_1086,45,1086,黑龙江,2022,民族学,本科 (1),法学 (5),民族学类 (42),普通类,本科一批A段,文科,2,四年,5000,,
plan_45_1110_23_2022_1_本科一批A段,45_1110,45,1110,黑龙江,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,4,四年,5300,,
plan_45_852954_23_2022_1_本科一批A段,45_852954,45,852954,黑龙江,2022,纳米材料与技术,本科 (1),工学 (10),材料类 (66),普通类,本科一批A段,理科,4,四年,5300,,
plan_45_1073_32_2022_2074_本科批,45_1073,45,1073,江苏,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,3,四年,5000,,首选历史，再选不限
plan_45_1075_32_2022_2074_本科批,45_1075,45,1075,江苏,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,3,四年,5000,,首选历史，再选不限
