plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_104_96621_13_2022_2073_本科批,104_96621,104,96621,河北,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,16,五年,7660,,
plan_104_96498_14_2022_2_本科一批A段,104_96498,104,96498,山西,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科一批A段,文科,3,-,6060,,
plan_104_1845742_14_2022_2_本科一批A段,104_1845742,104,1845742,山西,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,文科,3,-,6060,,
plan_104_1845737_14_2022_1_本科一批A段,104_1845737,104,1845737,山西,2022,微电子科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,10,五年,6850,,
plan_104_96638_14_2022_1_本科一批A段,104_96638,104,96638,山西,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科一批A段,理科,9,-,7660,,
plan_104_1845743_15_2022_1_本科一批,104_1845743,104,1845743,内蒙古,2022,物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科一批,理科,6,四年,6850,（深圳校区）,
plan_104_96621_15_2022_1_本科一批,104_96621,104,96621,内蒙古,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批,理科,4,五年,7660,（深圳校区）,
plan_104_96500_15_2022_2_本科一批,104_96500,104,96500,内蒙古,2022,哲学,本科 (1),哲学 (3),哲学类 (34),普通类,本科一批,文科,2,四年,6060,（珠海校区）,
plan_104_1845742_15_2022_2_本科一批,104_1845742,104,1845742,内蒙古,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批,文科,2,四年,6060,（深圳校区）,
plan_104_1360670_15_2022_1_本科一批B段,104_1360670,104,1360670,内蒙古,2022,微电子科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批B段,理科,1,四年,6850,（珠海校区）（民族班）,
plan_104_96498_21_2022_2074_本科批,104_96498,104,96498,辽宁,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,2,四年,6060,,
plan_104_1845726_21_2022_2074_本科批,104_1845726,104,1845726,辽宁,2022,国际政治,本科 (1),法学 (5),政治学类 (40),普通类,本科批,历史类,2,四年,6060,,
plan_104_1845742_21_2022_2073_本科批,104_1845742,104,1845742,辽宁,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,6,四年,6060,,
plan_104_1845741_22_2022_1_本科一批A段,104_1845741,104,1845741,吉林,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科一批A段,理科,5,-,6060,,
plan_104_96498_43_2022_2074_本科批,104_96498,104,96498,湖南,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,4,四年,6060,,首选历史，再选不限
plan_104_96499_43_2022_2074_本科批,104_96499,104,96499,湖南,2022,历史学,本科 (1),历史学 (8),历史学类 (50),普通类,本科批,历史类,4,四年,6060,,首选历史，再选不限
plan_104_1845742_43_2022_2074_本科批,104_1845742,104,1845742,湖南,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,5,四年,6060,,首选历史，再选不限
plan_104_96498_43_2022_2074_本科批,104_96498,104,96498,湖南,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,4,四年,6060,,首选历史，再选不限
plan_104_96499_43_2022_2074_本科批,104_96499,104,96499,湖南,2022,历史学,本科 (1),历史学 (8),历史学类 (50),普通类,本科批,历史类,4,四年,6060,,首选历史，再选不限
plan_104_1845742_43_2022_2074_本科批,104_1845742,104,1845742,湖南,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,5,四年,6060,,首选历史，再选不限
plan_104_1360670_43_2022_2073_本科批,104_1360670,104,1360670,湖南,2022,微电子科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,2,四年,6850,（国家专项计划）,首选物理，再选不限
plan_104_96638_43_2022_2073_本科批,104_96638,104,96638,湖南,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科批,物理类,1,四年,7660,（国家专项计划）,首选物理，再选化学
plan_104_1360670_43_2022_2073_本科批,104_1360670,104,1360670,湖南,2022,微电子科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,2,四年,6850,（国家专项计划）,首选物理，再选不限
plan_104_96638_43_2022_2073_本科批,104_96638,104,96638,湖南,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科批,物理类,1,四年,7660,（国家专项计划）,首选物理，再选化学
