plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_35_428_11_2022_3_本科批,35_428,35,428,北京,2022,政治学与行政学,本科 (1),法学 (5),政治学类 (40),普通类,本科批,综合,1,四年,4000,,历史/思想政治(2选1)
plan_35_456_11_2022_3_本科批,35_456,35,456,北京,2022,生物科学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,综合,1,四年,4500,,物/化/生(3选1)
plan_35_456_11_2022_3_本科批,35_456,35,456,北京,2022,生物科学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,综合,1,四年,4500,,物/化/生(3选1)
plan_35_428_11_2022_3_本科批,35_428,35,428,北京,2022,政治学与行政学,本科 (1),法学 (5),政治学类 (40),普通类,本科批,综合,1,四年,4000,,历史/思想政治(2选1)
plan_35_403_13_2022_2074_本科批,35_403,35,403,河北,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,4,四年,3400,,
plan_35_430_13_2022_2074_本科批,35_430,35,430,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,3,四年,4000,,
plan_35_433_13_2022_2074_本科批,35_433,35,433,河北,2022,广播电视学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,3,四年,3400,,
plan_35_386_13_2022_2074_本科批,35_386,35,386,河北,2022,档案学,本科 (1),管理学 (13),图书情报与档案管理类 (116),普通类,本科批,历史类,2,四年,4000,,
plan_35_417_13_2022_2074_本科批,35_417,35,417,河北,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科批,历史类,2,四年,4000,,
plan_35_426_13_2022_2074_本科批,35_426,35,426,河北,2022,越南语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,2,四年,3400,,
plan_35_428_13_2022_2074_本科批,35_428,35,428,河北,2022,政治学与行政学,本科 (1),法学 (5),政治学类 (40),普通类,本科批,历史类,2,四年,4000,,
plan_35_432_13_2022_2074_本科批,35_432,35,432,河北,2022,新闻学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,2,四年,3400,,
plan_35_102911_13_2022_2074_本科批,35_102911,35,102911,河北,2022,历史学,本科 (1),历史学 (8),历史学类 (50),普通类,本科批,历史类,2,四年,3400,,
plan_35_1036355_13_2022_2074_本科批,35_1036355,35,1036355,河北,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,2,四年,3400,,
plan_35_459_13_2022_2074_本科批,35_459,35,459,河北,2022,地理科学,本科 (1),理学 (9),地理科学类 (55),普通类,本科批,历史类,1,四年,4500,,
plan_35_1130936_13_2022_2074_本科批,35_1130936,35,1130936,河北,2022,孟加拉语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,1,四年,3400,,
plan_35_387_13_2022_2073_本科批,35_387,35,387,河北,2022,材料科学与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,6,四年,4500,,
plan_35_378_13_2022_2073_本科批,35_378,35,378,河北,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,物理类,4,四年,4500,,
plan_35_411_13_2022_2073_本科批,35_411,35,411,河北,2022,物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科批,物理类,4,四年,4500,,
plan_35_430_13_2022_2073_本科批,35_430,35,430,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,物理类,4,四年,4000,,
plan_35_379_13_2022_2073_本科批,35_379,35,379,河北,2022,统计学,本科 (1),理学 (9),统计学类 (62),普通类,本科批,物理类,3,四年,4500,,
plan_35_459_13_2022_2073_本科批,35_459,35,459,河北,2022,地理科学,本科 (1),理学 (9),地理科学类 (55),普通类,本科批,物理类,3,四年,4500,,
plan_35_102962_13_2022_2073_本科批,35_102962,35,102962,河北,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,3,四年,4500,,
plan_35_408_13_2022_2073_本科批,35_408,35,408,河北,2022,大气科学,本科 (1),理学 (9),大气科学类 (56),普通类,本科批,物理类,2,四年,4500,,
plan_35_452_13_2022_2073_本科批,35_452,35,452,河北,2022,城乡规划,本科 (1),工学 (10),建筑类 (90),普通类,本科批,物理类,2,五年,4500,,
plan_35_462_13_2022_2073_本科批,35_462,35,462,河北,2022,建筑学,本科 (1),工学 (10),建筑类 (90),普通类,本科批,物理类,2,五年,4500,,
plan_35_223491_13_2022_2073_本科批,35_223491,35,223491,河北,2022,生态学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,2,四年,4500,,
plan_35_1801573_13_2022_2073_本科批,35_1801573,35,1801573,河北,2022,新能源科学与工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批,物理类,2,四年,4500,,
plan_35_386_13_2022_2073_本科批,35_386,35,386,河北,2022,档案学,本科 (1),管理学 (13),图书情报与档案管理类 (116),普通类,本科批,物理类,1,四年,4000,,
plan_35_428_13_2022_2073_本科批,35_428,35,428,河北,2022,政治学与行政学,本科 (1),法学 (5),政治学类 (40),普通类,本科批,物理类,1,四年,4000,,
plan_35_1130937_13_2022_2073_本科批,35_1130937,35,1130937,河北,2022,信息资源管理,本科 (1),管理学 (13),图书情报与档案管理类 (116),普通类,本科批,物理类,1,四年,4000,,
plan_35_1500072_13_2022_2073_本科批,35_1500072,35,1500072,河北,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,1,五年,5000,,
plan_35_379_13_2022_2073_本科提前批C段,35_379,35,379,河北,2022,统计学,本科 (1),理学 (9),统计学类 (62),普通类,本科提前批C段,物理类,2,4,4500,（高校专项计划）,
plan_35_385_13_2022_2074_本科提前批C段,35_385,35,385,河北,2022,历史学,本科 (1),历史学 (8),历史学类 (50),普通类,本科提前批C段,历史类,1,4,3400,（国家历史学基地班）（高校专项计划）,
