plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_49_1373_11_2022_3_本科批,49_1373,49,1373,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,9,四年,5000,,不限
plan_49_1386_11_2022_3_本科批,49_1386,49,1386,北京,2022,药事管理,本科 (1),医学 (12),药学类 (107),普通类,本科批,综合,3,四年,5800,,不限
plan_49_1378_11_2022_3_本科批,49_1378,49,1378,北京,2022,护理学,本科 (1),医学 (12),护理学类 (111),普通类,本科批,综合,180,四年,5000,（专业办学地点：良乡校区）,物/化/生(3选1)
plan_49_1369_11_2022_3_本科批,49_1369,49,1369,北京,2022,中药学,本科 (1),医学 (12),中药学类 (108),普通类,本科批,综合,10,四年,5800,,物/化/生(3选1)
plan_49_1373_11_2022_3_本科批,49_1373,49,1373,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,9,四年,5000,,不限
plan_49_1370_11_2022_3_本科批,49_1370,49,1370,北京,2022,中药制药,本科 (1),医学 (12),中药学类 (108),普通类,本科批,综合,3,四年,5800,,物/化/生(3选1)
plan_49_1386_11_2022_3_本科批,49_1386,49,1386,北京,2022,药事管理,本科 (1),医学 (12),药学类 (107),普通类,本科批,综合,3,四年,5800,,不限
plan_49_100424_11_2022_3_本科批,49_100424,49,100424,北京,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科批,综合,2,四年,5800,,物/化/生(3选1)
plan_49_1369_11_2022_3_本科批,49_1369,49,1369,北京,2022,中药学,本科 (1),医学 (12),中药学类 (108),普通类,本科批,综合,10,四年,5800,,物/化/生(3选1)
plan_49_1370_11_2022_3_本科批,49_1370,49,1370,北京,2022,中药制药,本科 (1),医学 (12),中药学类 (108),普通类,本科批,综合,3,四年,5800,,物/化/生(3选1)
plan_49_100424_11_2022_3_本科批,49_100424,49,100424,北京,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科批,综合,2,四年,5800,,物/化/生(3选1)
plan_49_1378_11_2022_3_本科批,49_1378,49,1378,北京,2022,护理学,本科 (1),医学 (12),护理学类 (111),普通类,本科批,综合,180,四年,5000,（专业办学地点：良乡校区）,物/化/生(3选1)
plan_49_1368_13_2022_2074_本科批,49_1368,49,1368,河北,2022,针灸推拿学,本科 (1),医学 (12),中医学类 (105),普通类,本科批,历史类,1,五年,5800,,
plan_49_1369_13_2022_2073_本科批,49_1369,49,1369,河北,2022,中药学,本科 (1),医学 (12),中药学类 (108),普通类,本科批,物理类,13,四年,5800,,
plan_49_1381_13_2022_2073_本科批,49_1381,49,1381,河北,2022,中医学,本科 (1),医学 (12),中医学类 (105),普通类,本科批,物理类,13,五年,5800,,
plan_49_1368_13_2022_2073_本科批,49_1368,49,1368,河北,2022,针灸推拿学,本科 (1),医学 (12),中医学类 (105),普通类,本科批,物理类,10,五年,5800,,
plan_49_1378_13_2022_2073_本科批,49_1378,49,1378,河北,2022,护理学,本科 (1),医学 (12),护理学类 (111),普通类,本科批,物理类,6,四年,5800,,
plan_49_1370_13_2022_2073_本科批,49_1370,49,1370,河北,2022,中药制药,本科 (1),医学 (12),中药学类 (108),普通类,本科批,物理类,3,四年,5800,,
plan_49_1383_13_2022_2073_本科批,49_1383,49,1383,河北,2022,康复治疗学,本科 (1),医学 (12),医学技术类 (110),普通类,本科批,物理类,3,四年,5800,,
plan_49_1129596_13_2022_2073_本科批,49_1129596,49,1129596,河北,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,3,四年,5000,,
