plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_38_642_11_2022_3_本科批,38_642,38,642,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,2,四年,5000,,不限
plan_38_670_11_2022_3_本科批,38_670,38,670,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,19,四年,5500,,物理必选
plan_38_216543_11_2022_3_本科批,38_216543,38,216543,北京,2022,机械电子工程,本科 (1),工学 (10),机械类 (64),中外合作办学,本科批,综合,8,四年,60000,,物理必选
plan_38_216544_11_2022_3_本科批,38_216544,38,216544,北京,2022,纳米材料与技术,本科 (1),工学 (10),材料类 (66),中外合作办学,本科批,综合,8,四年,60000,,物理必选
plan_38_642_11_2022_3_本科批,38_642,38,642,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,2,四年,5000,,不限
plan_38_1851868_11_2022_3_本科批,38_1851868,38,1851868,北京,2022,环境工程,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科批,综合,1,四年,5500,,物理必选
plan_38_670_11_2022_3_本科批,38_670,38,670,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,19,四年,5500,,物理必选
plan_38_1851868_11_2022_3_本科批,38_1851868,38,1851868,北京,2022,环境工程,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科批,综合,1,四年,5500,,物理必选
plan_38_216544_11_2022_3_本科批,38_216544,38,216544,北京,2022,纳米材料与技术,本科 (1),工学 (10),材料类 (66),中外合作办学,本科批,综合,8,四年,60000,,物理必选
plan_38_216543_11_2022_3_本科批,38_216543,38,216543,北京,2022,机械电子工程,本科 (1),工学 (10),机械类 (64),中外合作办学,本科批,综合,8,四年,60000,,物理必选
plan_38_642_13_2022_2074_本科批,38_642,38,642,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,4,四年,5000,,
plan_38_642_13_2022_2073_本科批,38_642,38,642,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,物理类,3,四年,5000,,
plan_38_642_14_2022_2_本科一批A段,38_642,38,642,山西,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,4,-,5000,,
plan_38_642_14_2022_1_本科一批A段,38_642,38,642,山西,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,理科,3,-,5000,,
plan_38_1851868_14_2022_1_本科一批A段,38_1851868,38,1851868,山西,2022,环境工程,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科一批A段,理科,2,-,5500,,
plan_38_642_15_2022_2_本科一批,38_642,38,642,内蒙古,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,文科,2,四年,5000,（校本部）,
plan_38_670_15_2022_1_本科一批,38_670,38,670,内蒙古,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科一批,理科,7,四年,5500,（校本部）（三四年级学费每学年1.6万元）,
plan_38_216543_15_2022_1_本科一批,38_216543,38,216543,内蒙古,2022,机械电子工程,本科 (1),工学 (10),机械类 (64),中外合作办学,本科一批,理科,2,四年,60000,（校本部）（大量全英文授课，专业课全英文教材，要求较高的英语基础。合作方澳大利亚伍伦贡大学）,
plan_38_216544_15_2022_1_本科一批,38_216544,38,216544,内蒙古,2022,纳米材料与技术,本科 (1),工学 (10),材料类 (66),中外合作办学,本科一批,理科,2,四年,60000,（校本部）（色盲色弱不宜报考。大量全英文授课，专业课全英文教材，要求较高的英语基础。合作方加拿大滑铁卢大学）,
plan_38_642_15_2022_1_本科一批,38_642,38,642,内蒙古,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,理科,1,四年,5000,（校本部）,
plan_38_642_21_2022_2074_本科批,38_642,38,642,辽宁,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,3,四年,5000,,
plan_38_642_22_2022_2_本科一批A段,38_642,38,642,吉林,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,2,-,5000,,
plan_38_642_22_2022_1_本科一批A段,38_642,38,642,吉林,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,理科,1,-,5000,,
plan_38_642_23_2022_1_本科一批A段,38_642,38,642,黑龙江,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,理科,1,四年,5000,,
plan_38_642_23_2022_2_本科一批A段,38_642,38,642,黑龙江,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,2,四年,5000,,
plan_38_642_32_2022_2074_本科批,38_642,38,642,江苏,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,3,四年,5000,,首选历史，再选不限
plan_38_642_32_2022_2074_本科批,38_642,38,642,江苏,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,3,四年,5000,,首选历史，再选不限
plan_38_675_32_2022_2074_本科批,38_675,38,675,江苏,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,3,四年,80000,（威海校区）,首选历史，再选不限
plan_38_675_32_2022_2074_本科批,38_675,38,675,江苏,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,3,四年,80000,（威海校区）,首选历史，再选不限
plan_38_650_32_2022_2073_本科批,38_650,38,650,江苏,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,3,四年,80000,（威海校区）,首选物理，再选不限
plan_38_670_32_2022_2073_本科批,38_670,38,670,江苏,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,3,四年,5500,,首选物理，再选不限
plan_38_673_32_2022_2073_本科批,38_673,38,673,江苏,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,3,四年,80000,（威海校区）,首选物理，再选不限
plan_38_660_32_2022_2073_本科批,38_660,38,660,江苏,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,2,四年,80000,（威海校区）,首选物理，再选不限
plan_38_680_32_2022_2073_本科批,38_680,38,680,江苏,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,1,四年,80000,（威海校区）,首选物理，再选不限
plan_38_670_32_2022_2073_本科批,38_670,38,670,江苏,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,3,四年,5500,,首选物理，再选不限
plan_38_650_32_2022_2073_本科批,38_650,38,650,江苏,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,3,四年,80000,（威海校区）,首选物理，再选不限
plan_38_673_32_2022_2073_本科批,38_673,38,673,江苏,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,3,四年,80000,（威海校区）,首选物理，再选不限
plan_38_660_32_2022_2073_本科批,38_660,38,660,江苏,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,2,四年,80000,（威海校区）,首选物理，再选不限
plan_38_680_32_2022_2073_本科批,38_680,38,680,江苏,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,1,四年,80000,（威海校区）,首选物理，再选不限
plan_38_216543_33_2022_3_普通类平行录取,38_216543,38,216543,浙江,2022,机械电子工程,本科 (1),工学 (10),机械类 (64),中外合作办学,普通类平行录取,综合,5,四年,60000,（与澳大利亚伍伦贡大学合作办学。大量课程采用英文教材和英语授课）,
plan_38_216544_33_2022_3_普通类平行录取,38_216544,38,216544,浙江,2022,纳米材料与技术,本科 (1),工学 (10),材料类 (66),中外合作办学,普通类平行录取,综合,5,四年,60000,"（与加拿大滑铁卢大学合作办学。大量全英文授课,专业课全英文教材）",
plan_38_670_33_2022_3_普通类平行录取,38_670,38,670,浙江,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,普通类平行录取,综合,4,四年,5500,（三、四年级学费16000元/学年）,
plan_38_642_34_2022_2_本科一批,38_642,38,642,安徽,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,文科,3,-,5000,,
plan_38_642_34_2022_1_本科一批,38_642,38,642,安徽,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,理科,1,-,5000,,
plan_38_642_35_2022_2074_本科批,38_642,38,642,福建,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,2,四年,5000,,首选历史，再选不限
plan_38_642_35_2022_2074_本科批,38_642,38,642,福建,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,2,四年,5000,,首选历史，再选不限
plan_38_642_36_2022_2_本科一批,38_642,38,642,江西,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,文科,3,四年,5000,,
plan_38_670_36_2022_1_本科一批,38_670,38,670,江西,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科一批,理科,6,-,5500,（三四年级学费每学年1.6万元）,
plan_38_642_36_2022_1_本科一批,38_642,38,642,江西,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,理科,1,-,5000,,
