plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_39_710_11_2022_3_本科批,39_710,39,710,北京,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,15,四年,6000,,不限
plan_39_717_11_2022_3_本科批,39_717,39,717,北京,2022,德语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,7,四年,6000,,不限
plan_39_719_11_2022_3_本科批,39_719,39,719,北京,2022,法语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,7,四年,6000,,不限
plan_39_705_11_2022_3_本科批,39_705,39,705,北京,2022,外交学,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科批,综合,6,四年,5000,,不限
plan_39_716_11_2022_3_本科批,39_716,39,716,北京,2022,日语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,5,四年,6000,,不限
plan_39_702_11_2022_3_本科批,39_702,39,702,北京,2022,国际经济与贸易,本科(普通) (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,4,四年,5000,,不限
plan_39_703_11_2022_3_本科批,39_703,39,703,北京,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,4,四年,5000,,不限
plan_39_704_11_2022_3_本科批,39_704,39,704,北京,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,2,四年,5000,,不限
plan_39_1359802_11_2022_3_本科批,39_1359802,39,1359802,北京,2022,传播学,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,2,四年,5000,,不限
plan_39_710_11_2022_3_本科批,39_710,39,710,北京,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,15,四年,6000,,不限
plan_39_717_11_2022_3_本科批,39_717,39,717,北京,2022,德语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,7,四年,6000,,不限
plan_39_719_11_2022_3_本科批,39_719,39,719,北京,2022,法语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,7,四年,6000,,不限
