school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
31,76,北京,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,6,四年,5000,,不限
31,141,北京,2022,中国语言文学类,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,6,四年,5000,,不限
31,88,北京,2022,考古学,本科(普通) (1),历史学 (8),历史学类 (50),普通类,本科批,综合,4,四年,5000,,不限
31,116,北京,2022,信息管理与信息系统,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,4,四年,5000,,不限
31,128,北京,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,4,四年,5000,,不限
31,144,北京,2022,哲学类,本科(普通) (1),哲学 (3),哲学类 (34),普通类,本科批,综合,4,四年,5000,,不限
31,95864,北京,2022,社会学类,本科(普通) (1),法学 (5),社会学类 (41),普通类,本科批,综合,4,四年,5000,,不限
31,95877,北京,2022,国际政治,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科批,综合,4,四年,5000,,不限
31,1797442,北京,2022,应用心理学,本科(普通) (1),理学 (9),心理学类 (61),普通类,本科批,综合,4,四年,5000,,不限
31,111,北京,2022,城乡规划,本科(普通) (1),工学 (10),建筑类 (90),普通类,本科批,综合,3,四年,5000,,不限
31,142,北京,2022,历史学类,本科(普通) (1),历史学 (8),历史学类 (50),普通类,本科批,综合,3,四年,5000,,不限
31,95863,北京,2022,经济学类,本科(普通) (1),经济学 (4),经济学类 (35),普通类,本科批,综合,3,四年,5000,,不限
31,95866,北京,2022,公共管理类,本科(普通) (1),管理学 (13),公共管理类 (115),普通类,本科批,综合,3,四年,5000,,不限
31,95868,北京,2022,新闻传播学类,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,3,四年,5000,,不限
31,95869,北京,2022,人文科学试验班,本科(普通) (1),,,普通类,本科批,综合,3,四年,5000,,不限
31,95865,北京,2022,工商管理类,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,25,四年,5000,,不限
31,95867,北京,2022,文科试验班类,本科(普通) (1),,,普通类,本科批,综合,25,四年,5300,,不限
31,167,北京,2022,电子信息类,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,10,四年,5300,,物理必选
31,95914,北京,2022,计算机类,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,10,四年,5300,,物理必选
31,95916,北京,2022,心理学类,本科(普通) (1),理学 (9),心理学类 (61),普通类,本科批,综合,10,四年,5000,,物理必选
