plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_30_30_11_2022_3_本科批,30_30,30,30,北京,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,63,四年,5000,,不限
plan_30_3_11_2022_3_本科批,30_3,30,3,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,41,四年,5000,,不限
plan_30_29_11_2022_3_本科批,30_29,30,29,北京,2022,经济统计学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,综合,40,四年,5000,,不限
plan_30_31_11_2022_3_本科批,30_31,30,31,北京,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,39,四年,5000,,不限
plan_30_95320_11_2022_3_本科批,30_95320,30,95320,北京,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,35,四年,5000,,不限
plan_30_2_11_2022_3_本科批,30_2,30,2,北京,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,28,四年,5000,,不限
plan_30_35_11_2022_3_本科批,30_35,30,35,北京,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,18,四年,5000,,不限
plan_30_176300_11_2022_3_本科批,30_176300,30,176300,北京,2022,金融学,本科 (1),经济学 (4),金融学类 (37),中外合作办学,本科批,综合,75,四年,75000,,不限
plan_30_30_11_2022_3_本科批,30_30,30,30,北京,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,63,四年,5000,,不限
plan_30_21_11_2022_3_本科批,30_21,30,21,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,60,四年,5000,,物理必选
plan_30_58_11_2022_3_本科批,30_58,30,58,北京,2022,信息安全,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,53,四年,5000,,物理必选
plan_30_19_11_2022_3_本科批,30_19,30,19,北京,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,48,四年,5000,,物理必选
plan_30_176301_11_2022_3_本科批,30_176301,30,176301,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),中外合作办学,本科批,综合,48,四年,75000,,物理必选
plan_30_13_11_2022_3_本科批,30_13,30,13,北京,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,46,四年,5000,,物理必选
plan_30_46_11_2022_3_本科批,30_46,30,46,北京,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,42,四年,5000,,物理必选
plan_30_60_11_2022_3_本科批,30_60,30,60,北京,2022,建筑学,本科 (1),工学 (10),建筑类 (90),普通类,本科批,综合,42,五年,5000,,物理必选
plan_30_3_11_2022_3_本科批,30_3,30,3,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,41,四年,5000,,不限
plan_30_29_11_2022_3_本科批,30_29,30,29,北京,2022,经济统计学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,综合,40,四年,5000,,不限
plan_30_10_11_2022_3_本科批,30_10,30,10,北京,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科批,综合,39,四年,5000,,物理必选
plan_30_31_11_2022_3_本科批,30_31,30,31,北京,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,39,四年,5000,,不限
plan_30_59_11_2022_3_本科批,30_59,30,59,北京,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,综合,36,四年,5000,,物理/化学(2选1)
plan_30_95326_11_2022_3_本科批,30_95326,30,95326,北京,2022,机器人工程,本科 (1),工学 (10),自动化类 (70),普通类,本科批,综合,36,四年,5000,,物理必选
plan_30_95320_11_2022_3_本科批,30_95320,30,95320,北京,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,35,四年,5000,,不限
plan_30_176302_11_2022_3_本科批,30_176302,30,176302,北京,2022,物联网工程,本科 (1),工学 (10),计算机类 (71),中外合作办学,本科批,综合,34,四年,75000,,物理必选
plan_30_16_11_2022_3_本科批,30_16,30,16,北京,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,30,四年,5000,,物理必选
plan_30_202647_11_2022_3_本科批,30_202647,30,202647,北京,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,综合,30,四年,75000,,物理必选
plan_30_15_11_2022_3_本科批,30_15,30,15,北京,2022,工业设计,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,29,四年,5000,,物理必选
plan_30_2_11_2022_3_本科批,30_2,30,2,北京,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,28,四年,5000,,不限
plan_30_18_11_2022_3_本科批,30_18,30,18,北京,2022,测控技术与仪器,本科 (1),工学 (10),仪器类 (65),普通类,本科批,综合,28,四年,5000,,物理必选
plan_30_39_11_2022_3_本科批,30_39,30,39,北京,2022,数字媒体技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,28,四年,5000,,物理必选
plan_30_162365_11_2022_3_本科批,30_162365,30,162365,北京,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,综合,24,四年,5000,,物理必选
plan_30_1129734_11_2022_3_本科批,30_1129734,30,1129734,北京,2022,智能建造,本科 (1),工学 (10),土木类 (72),普通类,本科批,综合,24,四年,5000,,物理必选
plan_30_1468809_11_2022_3_本科批,30_1468809,30,1468809,北京,2022,化学生物学,本科 (1),理学 (9),化学类 (53),普通类,本科批,综合,21,四年,5000,,物理/化学(2选1)
plan_30_6_11_2022_3_本科批,30_6,30,6,北京,2022,应用物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科批,综合,20,四年,5000,,物理必选
plan_30_1800362_11_2022_3_本科批,30_1800362,30,1800362,北京,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,20,四年,5000,,物理必选
plan_30_22_11_2022_3_本科批,30_22,30,22,北京,2022,城乡规划,本科 (1),工学 (10),建筑类 (90),普通类,本科批,综合,18,五年,5000,,物理必选
plan_30_35_11_2022_3_本科批,30_35,30,35,北京,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,18,四年,5000,,不限
plan_30_1468800_11_2022_3_本科批,30_1468800,30,1468800,北京,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,18,四年,5000,,物理必选
plan_30_7_11_2022_3_本科批,30_7,30,7,北京,2022,应用化学,本科 (1),理学 (9),化学类 (53),普通类,本科批,综合,17,四年,5000,,物理/化学(2选1)
plan_30_25_11_2022_3_本科批,30_25,30,25,北京,2022,生物医学工程,本科 (1),工学 (10),生物医学工程类 (88),普通类,本科批,综合,16,四年,5000,,物理/化学(2选1)
plan_30_95323_11_2022_3_本科批,30_95323,30,95323,北京,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,16,四年,5000,,物理必选
plan_30_1864599_11_2022_3_本科批,30_1864599,30,1864599,北京,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,16,四年,5000,,物理必选
plan_30_95321_11_2022_3_本科批,30_95321,30,95321,北京,2022,统计学,本科 (1),理学 (9),统计学类 (62),普通类,本科批,综合,15,四年,5000,,物理必选
plan_30_21_11_2022_3_本科批,30_21,30,21,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,60,四年,5000,,物理必选
