plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_52_1429_11_2022_3_本科批,52_1429,52,1429,北京,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,8,四年,4800,,不限
plan_52_1447_11_2022_3_本科批,52_1447,52,1447,北京,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,6,四年,6000,,不限
plan_52_1456_11_2022_3_本科批,52_1456,52,1456,北京,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,4,四年,4800,,不限
plan_52_1422_11_2022_3_本科批,52_1422,52,1422,北京,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,3,四年,5000,,不限
plan_52_1459_11_2022_3_本科批,52_1459,52,1459,北京,2022,哲学,本科(普通) (1),哲学 (3),哲学类 (34),普通类,本科批,综合,3,四年,4800,,不限
plan_52_1499025_11_2022_3_本科批,52_1499025,52,1499025,北京,2022,经济学,本科(普通) (1),经济学 (4),经济学类 (35),普通类,本科批,综合,3,四年,4800,,不限
plan_52_1499794_11_2022_3_本科批,52_1499794,52,1499794,北京,2022,金融科技,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,3,四年,5000,,不限
plan_52_1421_11_2022_3_本科批,52_1421,52,1421,北京,2022,国际经济与贸易,本科(普通) (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,2,四年,5000,,不限
plan_52_206344_11_2022_3_本科批,52_206344,52,206344,北京,2022,政治学、经济学与哲学,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科批,综合,2,四年,4800,,不限
plan_52_1429_11_2022_3_本科批,52_1429,52,1429,北京,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,8,四年,4800,,不限
plan_52_1447_11_2022_3_本科批,52_1447,52,1447,北京,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,6,四年,6000,,不限
plan_52_350153_11_2022_3_本科批,52_350153,52,350153,北京,2022,戏剧影视文学,本科(普通) (1),艺术学 (14),戏剧与影视学类 (123),普通类,本科批,综合,5,四年,8000,,不限
plan_52_1435_11_2022_3_本科批,52_1435,52,1435,北京,2022,历史学,本科(普通) (1),历史学 (8),历史学类 (50),普通类,本科批,综合,4,四年,4800,,历史/地理(2选1)
plan_52_1436_11_2022_3_本科批,52_1436,52,1436,北京,2022,数学与应用数学,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批,综合,4,四年,5400,,物理必选
