plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_43_998_11_2022_3_本科批,43_998,43,998,北京,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批,综合,7,四年,5500,,不限
plan_43_999_11_2022_3_本科批,43_999,43,999,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,6,四年,5000,,不限
plan_43_99788_11_2022_3_本科批,43_99788,43,99788,北京,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,6,四年,6000,,不限
plan_43_983_11_2022_3_本科批,43_983,43,983,北京,2022,商务英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,4,四年,6000,,不限
plan_43_99794_11_2022_3_本科批,43_99794,43,99794,北京,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,3,四年,6000,,不限
plan_43_176460_11_2022_3_本科批,43_176460,43,176460,北京,2022,农林经济管理,本科 (1),管理学 (13),农业经济管理类 (114),普通类,本科批,综合,2,四年,5000,,不限
plan_43_976_11_2022_3_本科批,43_976,43,976,北京,2022,园林,本科 (1),农学 (11),林学类 (98),普通类,本科批,综合,12,四年,5000,,物/化/生(3选1)
plan_43_99804_11_2022_3_本科批,43_99804,43,99804,北京,2022,风景园林,本科 (1),工学 (10),建筑类 (90),普通类,本科批,综合,12,四年,5500,,物/生/地(3选1)
plan_43_998_11_2022_3_本科批,43_998,43,998,北京,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批,综合,7,四年,5500,,不限
plan_43_989_11_2022_3_本科批,43_989,43,989,北京,2022,食品科学与工程,本科 (1),工学 (10),食品科学与工程类 (89),普通类,本科批,综合,6,四年,5500,,化学必选
plan_43_999_11_2022_3_本科批,43_999,43,999,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,6,四年,5000,,不限
plan_43_1002_11_2022_3_本科批,43_1002,43,1002,北京,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,6,四年,5000,,物/化/生(3选1)
plan_43_1020_11_2022_3_本科批,43_1020,43,1020,北京,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,6,四年,5500,,物理必选
plan_43_99788_11_2022_3_本科批,43_99788,43,99788,北京,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,6,四年,6000,,不限
plan_43_1009_11_2022_3_本科批,43_1009,43,1009,北京,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,5,四年,5000,,物/化/生(3选1)
plan_43_1019_11_2022_3_本科批,43_1019,43,1019,北京,2022,车辆工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,5,四年,5500,,物理必选
plan_43_981_11_2022_3_本科批,43_981,43,981,北京,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,综合,4,四年,5500,,物理必选
plan_43_983_11_2022_3_本科批,43_983,43,983,北京,2022,商务英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,4,四年,6000,,不限
plan_43_994_11_2022_3_本科批,43_994,43,994,北京,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,综合,4,四年,5500,,物理必选
plan_43_995_11_2022_3_本科批,43_995,43,995,北京,2022,电子信息科学与技术,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,4,四年,5500,,物理必选
plan_43_1006_11_2022_3_本科批,43_1006,43,1006,北京,2022,环境工程,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科批,综合,4,四年,5500,,化学必选
plan_43_1021_11_2022_3_本科批,43_1021,43,1021,北京,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科批,综合,4,四年,5500,,物理必选
plan_43_1024_11_2022_3_本科批,43_1024,43,1024,北京,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,4,四年,5500,,物理必选
