plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_47_1236_11_2022_3_本科提前批A段,47_1236,47,1236,北京,2022,飞行技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,15,4,5500,（国航）（男）,物理必选
plan_47_1236_11_2022_3_本科提前批A段,47_1236,47,1236,北京,2022,飞行技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,10,4,5500,（东航）（男）,物理必选
plan_47_1236_11_2022_3_本科提前批A段,47_1236,47,1236,北京,2022,飞行技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,5,4,5500,（南航）（男）,物理必选
plan_47_1236_11_2022_3_本科提前批A段,47_1236,47,1236,北京,2022,飞行技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,15,4,5500,（国航）（男）,物理必选
plan_47_1236_11_2022_3_本科提前批A段,47_1236,47,1236,北京,2022,飞行技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,10,4,5500,（东航）（男）,物理必选
plan_47_1236_11_2022_3_本科提前批A段,47_1236,47,1236,北京,2022,飞行技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,5,4,5500,（南航）（男）,物理必选
plan_47_1236_11_2022_3_本科提前批A段,47_1236,47,1236,北京,2022,飞行技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,5,4,5500,（国航）（女）,物理必选
plan_47_1236_11_2022_3_本科提前批A段,47_1236,47,1236,北京,2022,飞行技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,5,4,5500,（国航）（女）,物理必选
plan_47_1236_13_2022_2073_本科提前批A段,47_1236,47,1236,河北,2022,飞行技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,物理类,20,4,5500,（国航）（单科成绩要求：外语>=100，高考文化总分>=450；录取分数不低于特殊类型招生录取控制分数线；只招英语语种考生，体检、政审合格男生报考。高考文化总分不含优惠加分）,
plan_47_1236_21_2022_2073_本科提前批,47_1236,47,1236,辽宁,2022,飞行技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批,物理类,10,4,5500,（国航）（要求高考成绩（不含政策性加分）达到特殊类型最低录取控制分数线且不低于高考总分满分分值的60%，英语100分以上，体检、政审合格男生报考）,
plan_47_1236_31_2022_3_本科提前批,47_1236,47,1236,上海,2022,飞行技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批,综合,10,4,5500,"（须提前通过面试，体检、政审,进入各校业志愿录取实行分数优先）（选考科目为必选物理。就读于北京航空航天大学。为东航培养。只招男生。高考成绩须达到2022年上海市特殊类型招生控制分数线，且外语单科成绩不低于100分，具体要求详见院校招生简章。办学点：沙河校区）（语种要求：不限）",物理/化学(2选1)
plan_47_1236_31_2022_3_本科提前批,47_1236,47,1236,上海,2022,飞行技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批,综合,10,4,5500,"（须提前通过面试，体检、政审,进入各校业志愿录取实行分数优先）（选考科目为必选物理。就读于北京航空航天大学。为东航培养。只招男生。高考成绩须达到2022年上海市特殊类型招生控制分数线，且外语单科成绩不低于100分，具体要求详见院校招生简章。办学点：沙河校区）（语种要求：不限）",物理/化学(2选1)
