plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_48_1348_11_2022_3_本科批,48_1348,48,1348,北京,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,3,四年,5500,,不限
plan_48_1321_11_2022_3_本科批,48_1321,48,1321,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,2,四年,5000,,不限
plan_48_1499795_11_2022_3_本科批,48_1499795,48,1499795,北京,2022,网络与新媒体,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,2,四年,5000,,不限
plan_48_1335_11_2022_3_本科批,48_1335,48,1335,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,17,四年,5500,,物理必选
plan_48_1348_11_2022_3_本科批,48_1348,48,1348,北京,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,3,四年,5500,,不限
plan_48_1321_11_2022_3_本科批,48_1321,48,1321,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,2,四年,5000,,不限
plan_48_1499795_11_2022_3_本科批,48_1499795,48,1499795,北京,2022,网络与新媒体,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,2,四年,5000,,不限
plan_48_1511141_11_2022_3_本科批,48_1511141,48,1511141,北京,2022,智能交互设计,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,2,四年,5500,,物理必选
plan_48_1797287_11_2022_3_本科批,48_1797287,48,1797287,北京,2022,金融科技,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,2,四年,5000,,物理必选
plan_48_1335_11_2022_3_本科批,48_1335,48,1335,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,17,四年,5500,,物理必选
plan_48_1511141_11_2022_3_本科批,48_1511141,48,1511141,北京,2022,智能交互设计,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,2,四年,5500,,物理必选
