plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_127_6341_11_2022_3_本科批,127_6341,127,6341,北京,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,4,四年,5850,,物理必选
plan_127_6342_11_2022_3_本科批,127_6342,127,6342,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,3,四年,5850,,物理必选
plan_127_6341_11_2022_3_本科批,127_6341,127,6341,北京,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,4,四年,5850,,物理必选
plan_127_6342_11_2022_3_本科批,127_6342,127,6342,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,3,四年,5850,,物理必选
plan_127_6341_13_2022_2073_本科批,127_6341,127,6341,河北,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,10,四年,5850,,
plan_127_6363_13_2022_2073_本科批,127_6363,127,6363,河北,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科批,物理类,3,四年,5850,,
plan_127_6358_13_2022_2073_本科批,127_6358,127,6358,河北,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,2,八年,5850,,
plan_127_6431_13_2022_2073_本科提前批B段,127_6431,127,6431,河北,2022,核工程与核技术,本科 (1),工学 (10),核工程类 (84),普通类,本科提前批B段,物理类,5,4,5850,（国家专项计划）,
plan_127_6391_13_2022_2073_本科提前批C段,127_6391,127,6391,河北,2022,医学检验技术,本科 (1),医学 (12),医学技术类 (110),普通类,本科提前批C段,物理类,3,4,4500,（高校专项计划）,
plan_127_6341_14_2022_1_本科一批A段,127_6341,127,6341,山西,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科一批A段,理科,5,-,5850,,
plan_127_6342_14_2022_1_本科一批A段,127_6342,127,6342,山西,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,3,-,5850,,
plan_127_6348_14_2022_1_提前一批本科,127_6348,127,6348,山西,2022,水利水电工程,本科 (1),工学 (10),水利类 (73),普通类,提前一批本科,理科,5,4,4500,（国家专项计划院校）,
plan_127_6302_15_2022_1_本科一批B段,127_6302,127,6302,内蒙古,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批B段,理科,2,四年,4500,（校本部）（民族班）,
plan_127_6341_15_2022_1_本科一批,127_6341,127,6341,内蒙古,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科一批,理科,3,四年,5850,（校本部）,
plan_127_6364_15_2022_1_本科提前批B段,127_6364,127,6364,内蒙古,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科提前批B段,理科,2,4,4500,（医学信息）,
plan_127_6341_21_2022_2073_本科批,127_6341,127,6341,辽宁,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,4,四年,5850,,
plan_127_6341_22_2022_1_本科一批A段,127_6341,127,6341,吉林,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科一批A段,理科,4,-,5850,,
plan_127_6341_23_2022_1_本科一批A段,127_6341,127,6341,黑龙江,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科一批A段,理科,3,四年,5850,,
plan_127_6342_23_2022_1_本科一批A段,127_6342,127,6342,黑龙江,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,2,四年,5850,,
plan_127_1025850_23_2022_2_本科一批A段,127_1025850,127,1025850,黑龙江,2022,国际商务,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,文科,3,四年,5750,,
plan_127_6341_31_2022_3_本科批,127_6341,127,6341,上海,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,4,四年,5850,（办学点:校本部）,物理必选
plan_127_6341_31_2022_3_本科批,127_6341,127,6341,上海,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,4,四年,5850,（办学点:校本部）,物理必选
plan_127_6341_32_2022_2073_本科批,127_6341,127,6341,江苏,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,14,四年,5850,,首选物理，再选不限
plan_127_6341_32_2022_2073_本科批,127_6341,127,6341,江苏,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,14,四年,5850,,首选物理，再选不限
plan_127_6341_33_2022_3_普通类平行录取,127_6341,127,6341,浙江,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,普通类平行录取,综合,13,四年,5850,,
plan_127_6342_33_2022_3_普通类平行录取,127_6342,127,6342,浙江,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,普通类平行录取,综合,4,四年,5850,,
plan_127_1025850_33_2022_3_普通类平行录取,127_1025850,127,1025850,浙江,2022,国际商务,本科 (1),管理学 (13),工商管理类 (113),普通类,普通类平行录取,综合,4,四年,5750,,
plan_127_6302_34_2022_2_本科一批,127_6302,127,6302,安徽,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,文科,2,-,4500,,
plan_127_6426_34_2022_2_本科一批,127_6426,127,6426,安徽,2022,哲学,本科 (1),哲学 (3),哲学类 (34),普通类,本科一批,文科,2,-,4500,,
plan_127_6362_34_2022_1_本科一批,127_6362,127,6362,安徽,2022,护理学,本科 (1),医学 (12),护理学类 (111),普通类,本科一批,理科,10,-,4500,,
plan_127_6341_34_2022_1_本科一批,127_6341,127,6341,安徽,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科一批,理科,9,-,5850,,
plan_127_6342_34_2022_1_本科一批,127_6342,127,6342,安徽,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科一批,理科,4,-,5850,,
plan_127_6302_35_2022_2074_本科批,127_6302,127,6302,福建,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,2,四年,4500,,首选历史，再选不限
plan_127_6302_35_2022_2074_本科批,127_6302,127,6302,福建,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,2,四年,4500,,首选历史，再选不限
plan_127_6341_35_2022_2073_本科批,127_6341,127,6341,福建,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,5,四年,5850,,首选物理，再选不限
plan_127_6340_35_2022_2073_本科批,127_6340,127,6340,福建,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,2,四年,5850,,首选物理，再选不限
plan_127_6341_35_2022_2073_本科批,127_6341,127,6341,福建,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,5,四年,5850,,首选物理，再选不限
plan_127_6340_35_2022_2073_本科批,127_6340,127,6340,福建,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,2,四年,5850,,首选物理，再选不限
plan_127_6357_35_2022_2073_本科批,127_6357,127,6357,福建,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,物理类,2,五年,5850,,首选物理，再选化学/生物(2选1)
plan_127_6358_35_2022_2073_本科批,127_6358,127,6358,福建,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,2,八年,5850,,首选物理，再选化学/生物(2选1)
plan_127_6357_35_2022_2073_本科批,127_6357,127,6357,福建,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,物理类,2,五年,5850,,首选物理，再选化学/生物(2选1)
plan_127_6358_35_2022_2073_本科批,127_6358,127,6358,福建,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,2,八年,5850,,首选物理，再选化学/生物(2选1)
plan_127_6302_36_2022_2_本科一批,127_6302,127,6302,江西,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,文科,4,-,4500,,
plan_127_6426_36_2022_2_本科一批,127_6426,127,6426,江西,2022,哲学,本科 (1),哲学 (3),哲学类 (34),普通类,本科一批,文科,2,-,4500,,
plan_127_6341_36_2022_1_本科一批,127_6341,127,6341,江西,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科一批,理科,16,-,5850,,
plan_127_6342_36_2022_1_本科一批,127_6342,127,6342,江西,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科一批,理科,7,-,5850,（5850元）,
plan_127_6358_36_2022_1_本科一批,127_6358,127,6358,江西,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批,理科,6,八年,5850,（本博贯通培养）（八年医）（5850元）（同济医学院）,
plan_127_6338_36_2022_1_本科一批,127_6338,127,6338,江西,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批,理科,5,-,5850,（信息类数理提高班）（5850元）,
plan_127_6337_36_2022_1_本科一批,127_6337,127,6337,江西,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科一批,理科,4,-,5850,（能源卓越计划实验班）（5850元）,
plan_127_6390_36_2022_1_本科一批,127_6390,127,6390,江西,2022,传播学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科一批,理科,4,-,4500,（网络传播计算机双学位）（4500元）,
plan_127_6334_36_2022_1_本科一批,127_6334,127,6334,江西,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科一批,理科,3,-,5850,（未来技术学院）（5850元）,
plan_127_6340_36_2022_1_本科一批,127_6340,127,6340,江西,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科一批,理科,3,-,5850,（计算机卓越计划实验班）（5850元）,
plan_127_6357_36_2022_1_本科一批,127_6357,127,6357,江西,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科一批,理科,3,五年,5850,（启明本硕博实验班）（五年）（5850元）（同济医学院）,
plan_127_6395_36_2022_1_本科一批,127_6395,127,6395,江西,2022,材料成型及控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批,理科,3,-,5850,（启明本硕博实验班）（5850元）,
plan_127_6334_36_2022_1_本科一批,127_6334,127,6334,江西,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科一批,理科,2,-,5850,（启明本硕博实验班）（5850元）,
plan_127_6340_36_2022_1_本科一批,127_6340,127,6340,江西,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科一批,理科,2,-,5850,（启明本硕博实验班）（5850元）,
plan_127_6341_36_2022_1_本科一批,127_6341,127,6341,江西,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科一批,理科,2,-,5850,（电气卓越计划实验班）（5850元）,
plan_127_6358_36_2022_1_本科一批,127_6358,127,6358,江西,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批,理科,2,五年,5850,（启明本硕博实验班）（五年）（5850元）（同济医学院）,
plan_127_6402_36_2022_1_本科一批,127_6402,127,6402,江西,2022,物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科一批,理科,2,-,4500,（严济慈物理学英才班）（4500元）,
plan_127_1129668_36_2022_1_本科一批,127_1129668,127,1129668,江西,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批,理科,2,-,5850,（启明本硕博实验班）（5850元）,
plan_127_6341_37_2022_3_普通类一段,127_6341,127,6341,山东,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,普通类一段,综合,12,四年,5850,,
plan_127_6426_41_2022_2_本科一批,127_6426,127,6426,河南,2022,哲学,本科 (1),哲学 (3),哲学类 (34),普通类,本科一批,文科,3,四年,4500,,
plan_127_6341_41_2022_1_本科一批,127_6341,127,6341,河南,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科一批,理科,21,四年,5850,,
plan_127_6342_41_2022_1_本科一批,127_6342,127,6342,河南,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科一批,理科,7,四年,5850,,
plan_127_6302_42_2022_2074_本科批,127_6302,127,6302,湖北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,31,四年,4500,,首选历史，再选不限
plan_127_1025850_42_2022_2074_本科批,127_1025850,127,1025850,湖北,2022,国际商务,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,23,四年,5750,,首选历史，再选不限
