plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_98_4107_13_2022_2074_本科批,98_4107,98,4107,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,6,四年,6060,,
plan_98_4133_13_2022_2074_本科批,98_4133,98,4133,河北,2022,旅游管理,本科 (1),管理学 (13),旅游管理类 (120),普通类,本科批,历史类,6,四年,6060,,
plan_98_4095_13_2022_2074_本科批,98_4095,98,4095,河北,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,5,四年,6850,,
plan_98_4102_13_2022_2074_本科批,98_4102,98,4102,河北,2022,传播学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,5,四年,6060,,
plan_98_4135_13_2022_2074_本科批,98_4135,98,4135,河北,2022,行政管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科批,历史类,3,四年,6060,,
plan_98_4094_13_2022_2074_本科批,98_4094,98,4094,河北,2022,俄语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,2,四年,6850,,
plan_98_4099_13_2022_2073_本科批,98_4099,98,4099,河北,2022,网络工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,3,四年,6850,,
plan_98_4107_14_2022_2_本科一批A段,98_4107,98,4107,山西,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,4,-,6060,,
plan_98_4102_14_2022_2_本科一批A段,98_4102,98,4102,山西,2022,传播学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科一批A段,文科,3,-,6060,,
plan_98_4094_14_2022_2_本科一批A段,98_4094,98,4094,山西,2022,俄语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,2,-,6850,,
plan_98_4123_14_2022_1_本科一批A段,98_4123,98,4123,山西,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,4,-,6850,,
plan_98_4110_14_2022_1_本科一批A段,98_4110,98,4110,山西,2022,环境工程,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科一批A段,理科,3,-,6850,,
