plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_105_4735_11_2022_3_本科批,105_4735,105,4735,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,2,4,6850,（不招单色识别不全者，3—4年级16000元/生·学年）,物理必选
plan_105_4757_11_2022_3_本科批,105_4757,105,4757,北京,2022,信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,2,4,6850,,物理必选
plan_105_4792_11_2022_3_本科批,105_4792,105,4792,北京,2022,工业设计,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,2,4,6850,（不招色盲）,物理必选
plan_105_4734_11_2022_3_本科批,105_4734,105,4734,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,1,4,6850,（不招单色识别不全者，3年级16000元/生·学年）,物理必选
plan_105_4752_11_2022_3_本科批,105_4752,105,4752,北京,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,1,4,6850,（不招单色识别不全者）,物理必选
plan_105_4768_11_2022_3_本科批,105_4768,105,4768,北京,2022,建筑学,本科 (1),工学 (10),建筑类 (90),普通类,本科批,综合,1,5,6850,（入校后需加试素描）,物理必选
plan_105_4769_11_2022_3_本科批,105_4769,105,4769,北京,2022,城乡规划,本科 (1),工学 (10),建筑类 (90),普通类,本科批,综合,1,5,6850,（入校后需加试素描）,物理必选
plan_105_4735_11_2022_3_本科批,105_4735,105,4735,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,2,4,6850,（不招单色识别不全者，3—4年级16000元/生·学年）,物理必选
plan_105_4757_11_2022_3_本科批,105_4757,105,4757,北京,2022,信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,2,4,6850,,物理必选
plan_105_4792_11_2022_3_本科批,105_4792,105,4792,北京,2022,工业设计,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,2,4,6850,（不招色盲）,物理必选
plan_105_4726_11_2022_3_本科批,105_4726,105,4726,北京,2022,行政管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科批,综合,1,4,6060,,不限
plan_105_4734_11_2022_3_本科批,105_4734,105,4734,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,1,4,6850,（不招单色识别不全者，3年级16000元/生·学年）,物理必选
plan_105_4752_11_2022_3_本科批,105_4752,105,4752,北京,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,1,4,6850,（不招单色识别不全者）,物理必选
