plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_113_5299_11_2022_3_本科批,113_5299,113,5299,北京,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,2,四年,5200,,不限
plan_113_5353_11_2022_3_本科批,113_5353,113,5353,北京,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,2,四年,5200,,不限
plan_113_5349_11_2022_3_本科批,113_5349,113,5349,北京,2022,植物保护,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,综合,4,四年,2750,,物/化/生(3选1)
plan_113_5343_11_2022_3_本科批,113_5343,113,5343,北京,2022,园艺,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,综合,3,四年,2750,,物/化/生(3选1)
plan_113_5299_11_2022_3_本科批,113_5299,113,5299,北京,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,2,四年,5200,,不限
plan_113_5339_11_2022_3_本科批,113_5339,113,5339,北京,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,2,四年,5800,,物理必选
plan_113_5340_11_2022_3_本科批,113_5340,113,5340,北京,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,2,四年,5200,,物理必选
plan_113_5342_11_2022_3_本科批,113_5342,113,5342,北京,2022,农学,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,综合,2,四年,2750,,物/化/生(3选1)
plan_113_5351_11_2022_3_本科批,113_5351,113,5351,北京,2022,种子科学与工程,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,综合,2,四年,2750,,物/化/生(3选1)
plan_113_5353_11_2022_3_本科批,113_5353,113,5353,北京,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,2,四年,5200,,不限
plan_113_5356_11_2022_3_本科批,113_5356,113,5356,北京,2022,动物科学,本科 (1),农学 (11),动物生产类 (96),普通类,本科批,综合,2,四年,2750,,物/化/生(3选1)
plan_113_5339_11_2022_3_本科批,113_5339,113,5339,北京,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,2,四年,5800,,物理必选
