plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_111_5189_11_2022_3_本科批,111_5189,111,5189,北京,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,4,四年,6050,,物理必选
plan_111_5190_11_2022_3_本科批,111_5190,111,5190,北京,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,3,四年,6380,,物理必选
plan_111_170758_11_2022_3_本科批,111_170758,111,170758,北京,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,2,四年,6380,,物理必选
plan_111_5189_11_2022_3_本科批,111_5189,111,5189,北京,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,4,四年,6050,,物理必选
plan_111_5190_11_2022_3_本科批,111_5190,111,5190,北京,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,3,四年,6380,,物理必选
plan_111_170758_11_2022_3_本科批,111_170758,111,170758,北京,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,2,四年,6380,,物理必选
plan_111_1865187_12_2022_3_本科提前批A段,111_1865187,111,1865187,天津,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,综合,2,4,5720,（南京大学仙林校区）,思想政治必选
plan_111_1865187_12_2022_3_本科提前批A段,111_1865187,111,1865187,天津,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,综合,2,4,5720,（南京大学仙林校区）,思想政治必选
plan_111_5189_13_2022_2073_本科批,111_5189,111,5189,河北,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,物理类,5,四年,6050,,
plan_111_170758_13_2022_2073_本科批,111_170758,111,170758,河北,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,3,四年,6380,,
plan_111_5189_14_2022_1_本科一批A段,111_5189,111,5189,山西,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,6,-,6050,,
plan_111_170758_14_2022_1_本科一批A段,111_170758,111,170758,山西,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,2,-,6380,,
plan_111_5196_14_2022_1_提前一批本科,111_5196,111,5196,山西,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,提前一批本科,理科,2,5,6800,（办学地点第一学年鼓楼校区，第二学年起根据教学安排在鼓楼校区或仙林校区）（国家专项计划院校）（5+3一体化）,
plan_111_5189_15_2022_1_本科一批,111_5189,111,5189,内蒙古,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科一批,理科,3,四年,6050,,
plan_111_5190_15_2022_1_本科一批,111_5190,111,5190,内蒙古,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科一批,理科,3,四年,6380,（第三、四年学费为16000元/年）,
plan_111_170758_15_2022_1_本科一批,111_170758,111,170758,内蒙古,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科一批,理科,2,四年,6380,,
plan_111_5216_15_2022_2_本科一批,111_5216,111,5216,内蒙古,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科一批,文科,3,四年,5720,,
plan_111_170758_21_2022_2073_本科批,111_170758,111,170758,辽宁,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,4,四年,6380,,
plan_111_5189_21_2022_2073_本科批,111_5189,111,5189,辽宁,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,物理类,3,四年,6050,,
plan_111_1865187_21_2022_2074_本科提前批,111_1865187,111,1865187,辽宁,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批,历史类,2,4,5720,,
plan_111_5216_22_2022_2_本科一批A段,111_5216,111,5216,吉林,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科一批A段,文科,1,-,,（学费待定）,
plan_111_5189_22_2022_1_本科一批A段,111_5189,111,5189,吉林,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,3,-,6050,,
plan_111_170758_22_2022_1_本科一批A段,111_170758,111,170758,吉林,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,2,-,6380,,
plan_111_5189_23_2022_1_本科一批A段,111_5189,111,5189,黑龙江,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,3,四年,6050,,
plan_111_170758_23_2022_1_本科一批A段,111_170758,111,170758,黑龙江,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,2,四年,6380,,
plan_111_5216_23_2022_2_本科一批A段,111_5216,111,5216,黑龙江,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科一批A段,文科,1,四年,5720,,
plan_111_5216_32_2022_2074_本科批,111_5216,111,5216,江苏,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,6,四年,5720,,首选历史，再选不限
plan_111_5216_32_2022_2074_本科批,111_5216,111,5216,江苏,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,6,四年,5720,,首选历史，再选不限
plan_111_1499816_32_2022_2073_本科批,111_1499816,111,1499816,江苏,2022,建筑类,本科(普通) (1),工学 (10),建筑类 (90),普通类,本科批,物理类,10,四年,6380,,首选物理，再选不限
plan_111_1024451_32_2022_2073_本科批,111_1024451,111,1024451,江苏,2022,金融工程,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,5,四年,6275,,首选物理，再选不限
plan_111_5190_32_2022_2073_本科批,111_5190,111,5190,江苏,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,物理类,47,四年,6380,,首选物理，再选化学
plan_111_5189_32_2022_2073_本科批,111_5189,111,5189,江苏,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,物理类,36,四年,6050,,首选物理，再选化学
