plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_115_103618_11_2022_3_本科批,115_103618,115,103618,北京,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批,综合,3,四年,6050,,不限
plan_115_5505_11_2022_3_本科批,115_5505,115,5505,北京,2022,哲学,本科 (1),哲学 (3),哲学类 (34),普通类,本科批,综合,2,四年,5720,,不限
plan_115_103618_11_2022_3_本科批,115_103618,115,103618,北京,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批,综合,3,四年,6050,,不限
plan_115_5495_11_2022_3_本科批,115_5495,115,5495,北京,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,2,四年,5800,,物理必选
plan_115_5505_11_2022_3_本科批,115_5505,115,5505,北京,2022,哲学,本科 (1),哲学 (3),哲学类 (34),普通类,本科批,综合,2,四年,5720,,不限
plan_115_5490_11_2022_3_本科批,115_5490,115,5490,北京,2022,生物工程,本科 (1),工学 (10),生物工程类 (92),普通类,本科批,综合,1,四年,6380,,物/化/生(3选1)
plan_115_5495_11_2022_3_本科批,115_5495,115,5495,北京,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,2,四年,5800,,物理必选
plan_115_5490_11_2022_3_本科批,115_5490,115,5490,北京,2022,生物工程,本科 (1),工学 (10),生物工程类 (92),普通类,本科批,综合,1,四年,6380,,物/化/生(3选1)
plan_115_2011418_12_2022_3_本科提前批A段,115_2011418,115,2011418,天津,2022,马克思主义理论,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,综合,2,4,5720,（仙林校区）,思想政治必选
plan_115_2011418_12_2022_3_本科提前批A段,115_2011418,115,2011418,天津,2022,马克思主义理论,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,综合,2,4,5720,（仙林校区）,思想政治必选
plan_115_5488_13_2022_2074_本科批,115_5488,115,5488,河北,2022,旅游管理,本科 (1),管理学 (13),旅游管理类 (120),普通类,本科批,历史类,3,四年,5720,,
plan_115_5502_13_2022_2074_本科批,115_5502,115,5502,河北,2022,社会学,本科 (1),法学 (5),社会学类 (41),普通类,本科批,历史类,3,四年,5200,,
plan_115_5504_13_2022_2074_本科批,115_5504,115,5504,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,3,四年,5720,,
plan_115_5513_13_2022_2074_本科批,115_5513,115,5513,河北,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,3,四年,5200,,
plan_115_103612_13_2022_2074_本科批,115_103612,115,103612,河北,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,2,四年,5720,,
plan_115_1130121_13_2022_2073_本科批,115_1130121,115,1130121,河北,2022,海洋资源与环境,本科 (1),理学 (9),海洋科学类 (57),普通类,本科批,物理类,6,四年,6050,,
plan_115_5496_13_2022_2073_本科批,115_5496,115,5496,河北,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科批,物理类,5,四年,5800,,
plan_115_5467_13_2022_2073_本科批,115_5467,115,5467,河北,2022,食品科学与工程,本科 (1),工学 (10),食品科学与工程类 (89),普通类,本科批,物理类,3,四年,6380,,
