plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_112_5265_11_2022_3_本科批,112_5265,112,5265,北京,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,2,四年,5200,,不限
plan_112_5268_11_2022_3_本科批,112_5268,112,5268,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,2,四年,5200,,不限
plan_112_5243_11_2022_3_本科批,112_5243,112,5243,北京,2022,工业设计,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,3,四年,5800,,物理必选
plan_112_98486_11_2022_3_本科批,112_98486,112,98486,北京,2022,武器发射工程,本科 (1),工学 (10),兵器类 (83),普通类,本科批,综合,3,四年,6380,,物理必选
plan_112_5265_11_2022_3_本科批,112_5265,112,5265,北京,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,2,四年,5200,,不限
plan_112_5268_11_2022_3_本科批,112_5268,112,5268,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,2,四年,5200,,不限
plan_112_5243_11_2022_3_本科批,112_5243,112,5243,北京,2022,工业设计,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,3,四年,5800,,物理必选
plan_112_98486_11_2022_3_本科批,112_98486,112,98486,北京,2022,武器发射工程,本科 (1),工学 (10),兵器类 (83),普通类,本科批,综合,3,四年,6380,,物理必选
plan_112_98486_13_2022_2073_本科批,112_98486,112,98486,河北,2022,武器发射工程,本科 (1),工学 (10),兵器类 (83),普通类,本科批,物理类,8,四年,6380,,
plan_112_98487_13_2022_2073_本科批,112_98487,112,98487,河北,2022,探测制导与控制技术,本科 (1),工学 (10),兵器类 (83),普通类,本科批,物理类,8,四年,6380,,
plan_112_5255_13_2022_2073_本科提前批B段,112_5255,112,5255,河北,2022,工程力学,本科 (1),工学 (10),力学类 (63),普通类,本科提前批B段,物理类,2,4,5800,（国家专项计划）,
plan_112_5265_14_2022_2_本科一批A段,112_5265,112,5265,山西,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,5,-,5200,,
plan_112_1562363_14_2022_2_本科一批A段,112_1562363,112,1562363,山西,2022,语言学,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,4,-,5200,,
plan_112_5237_14_2022_2_本科一批A段,112_5237,112,5237,山西,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科一批A段,文科,2,-,5200,,
plan_112_98486_14_2022_1_本科一批A段,112_98486,112,98486,山西,2022,武器发射工程,本科 (1),工学 (10),兵器类 (83),普通类,本科一批A段,理科,6,-,6380,,
plan_112_5246_14_2022_1_本科一批A段,112_5246,112,5246,山西,2022,测控技术与仪器,本科 (1),工学 (10),仪器类 (65),普通类,本科一批A段,理科,3,-,6380,,
plan_112_5255_14_2022_1_本科一批A段,112_5255,112,5255,山西,2022,工程力学,本科 (1),工学 (10),力学类 (63),普通类,本科一批A段,理科,3,-,5800,,
plan_112_5240_14_2022_1_本科一批A段,112_5240,112,5240,山西,2022,应用物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科一批A段,理科,2,-,5500,,
plan_112_5243_14_2022_1_本科一批A段,112_5243,112,5243,山西,2022,工业设计,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,2,-,5800,,
plan_112_5252_14_2022_1_本科一批A段,112_5252,112,5252,山西,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科一批A段,理科,2,-,5800,,
plan_112_98487_14_2022_1_本科一批A段,112_98487,112,98487,山西,2022,探测制导与控制技术,本科 (1),工学 (10),兵器类 (83),普通类,本科一批A段,理科,2,-,6380,,
