plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_77_2966_11_2022_3_本科批,77_2966,77,2966,北京,2022,广播电视学,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,2,四年,5200,,不限
plan_77_2998_11_2022_3_本科批,77_2998,77,2998,北京,2022,飞行器适航技术,本科(普通) (1),工学 (10),航空航天类 (82),普通类,本科批,综合,3,四年,5800,,物理必选
plan_77_2950_11_2022_3_本科批,77_2950,77,2950,北京,2022,交通运输,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批,综合,2,四年,6380,,物理必选
plan_77_2951_11_2022_3_本科批,77_2951,77,2951,北京,2022,交通运输,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批,综合,2,四年,6380,,物理必选
plan_77_2952_11_2022_3_本科批,77_2952,77,2952,北京,2022,交通运输,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批,综合,2,四年,6380,,物理必选
plan_77_2953_11_2022_3_本科批,77_2953,77,2953,北京,2022,交通运输,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批,综合,2,四年,6380,,物理必选
plan_77_2954_11_2022_3_本科批,77_2954,77,2954,北京,2022,材料科学与工程,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,综合,2,四年,6380,,物理必选
plan_77_2966_11_2022_3_本科批,77_2966,77,2966,北京,2022,广播电视学,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,2,四年,5200,,不限
plan_77_2969_11_2022_3_本科批,77_2969,77,2969,北京,2022,机械工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,2,四年,6380,,物理必选
plan_77_3006_11_2022_3_本科批,77_3006,77,3006,北京,2022,自动化,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,综合,2,四年,6380,,物理必选
plan_77_3009_11_2022_3_本科批,77_3009,77,3009,北京,2022,探测制导与控制技术,本科(普通) (1),工学 (10),兵器类 (83),普通类,本科批,综合,2,四年,6380,,物理必选
plan_77_95018_11_2022_3_本科批,77_95018,77,95018,北京,2022,交通运输,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批,综合,2,四年,6380,,物理必选
plan_77_2998_11_2022_3_本科批,77_2998,77,2998,北京,2022,飞行器适航技术,本科(普通) (1),工学 (10),航空航天类 (82),普通类,本科批,综合,3,四年,5800,,物理必选
plan_77_2950_11_2022_3_本科批,77_2950,77,2950,北京,2022,交通运输,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批,综合,2,四年,6380,,物理必选
plan_77_2951_11_2022_3_本科批,77_2951,77,2951,北京,2022,交通运输,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批,综合,2,四年,6380,,物理必选
plan_77_2952_11_2022_3_本科批,77_2952,77,2952,北京,2022,交通运输,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批,综合,2,四年,6380,,物理必选
plan_77_2953_11_2022_3_本科批,77_2953,77,2953,北京,2022,交通运输,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批,综合,2,四年,6380,,物理必选
plan_77_2954_11_2022_3_本科批,77_2954,77,2954,北京,2022,材料科学与工程,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,综合,2,四年,6380,,物理必选
plan_77_2969_11_2022_3_本科批,77_2969,77,2969,北京,2022,机械工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,2,四年,6380,,物理必选
plan_77_3006_11_2022_3_本科批,77_3006,77,3006,北京,2022,自动化,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,综合,2,四年,6380,,物理必选
plan_77_3009_11_2022_3_本科批,77_3009,77,3009,北京,2022,探测制导与控制技术,本科(普通) (1),工学 (10),兵器类 (83),普通类,本科批,综合,2,四年,6380,,物理必选
plan_77_95018_11_2022_3_本科批,77_95018,77,95018,北京,2022,交通运输,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批,综合,2,四年,6380,,物理必选
plan_77_2999_11_2022_3_本科提前批A段,77_2999,77,2999,北京,2022,飞行技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,30,4,6380,,物理/化学(2选1)
plan_77_2999_11_2022_3_本科提前批A段,77_2999,77,2999,北京,2022,飞行技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,30,4,6380,,物理/化学(2选1)
plan_77_2999_12_2022_3_本科提前批A段,77_2999,77,2999,天津,2022,飞行技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,10,4,6380,"（民航招飞,限国航招飞合格考生填报;报考该专业须仔细阅读我校招生章程）（南京航空航天大学天目湖校区）",物理/化学(2选1)
plan_77_2999_12_2022_3_本科提前批A段,77_2999,77,2999,天津,2022,飞行技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,10,4,6380,"（民航招飞,限国航招飞合格考生填报;报考该专业须仔细阅读我校招生章程）（南京航空航天大学天目湖校区）",物理/化学(2选1)
plan_77_2966_13_2022_2074_本科批,77_2966,77,2966,河北,2022,广播电视学,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,2,四年,5200,,
plan_77_2978_13_2022_2074_本科批,77_2978,77,2978,河北,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,2,四年,5200,,
plan_77_1499817_13_2022_2074_本科批,77_1499817,77,1499817,河北,2022,行政管理,本科(普通) (1),管理学 (13),公共管理类 (115),普通类,本科批,历史类,2,四年,5200,,
plan_77_2969_13_2022_2073_本科批,77_2969,77,2969,河北,2022,机械工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,物理类,10,四年,6380,,
plan_77_598672_13_2022_2073_本科批,77_598672,77,598672,河北,2022,大数据管理与应用,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,5,四年,5720,,
plan_77_2954_13_2022_2073_本科批,77_2954,77,2954,河北,2022,材料科学与工程,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,物理类,3,四年,6380,,
plan_77_2995_13_2022_2073_本科批,77_2995,77,2995,河北,2022,应用物理学,本科(普通) (1),理学 (9),物理学类 (52),普通类,本科批,物理类,3,四年,5500,,
plan_77_3001_13_2022_2073_本科批,77_3001,77,3001,河北,2022,能源与动力工程,本科(普通) (1),工学 (10),能源动力类 (67),普通类,本科批,物理类,3,四年,6380,,
plan_77_2958_13_2022_2073_本科批,77_2958,77,2958,河北,2022,工业设计,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,物理类,2,四年,5800,,
plan_77_2978_13_2022_2073_本科批,77_2978,77,2978,河北,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,2,四年,5200,,
plan_77_2992_13_2022_2073_本科批,77_2992,77,2992,河北,2022,信息与计算科学,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批,物理类,2,四年,6050,,
plan_77_3000_13_2022_2073_本科批,77_3000,77,3000,河北,2022,车辆工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,物理类,2,四年,6380,,
plan_77_3005_13_2022_2073_本科批,77_3005,77,3005,河北,2022,工程力学,本科(普通) (1),工学 (10),力学类 (63),普通类,本科批,物理类,2,四年,6380,,
plan_77_169031_13_2022_2073_本科批,77_169031,77,169031,河北,2022,应用统计学,本科(普通) (1),理学 (9),统计学类 (62),普通类,本科批,物理类,2,四年,5500,,
plan_77_169032_13_2022_2073_本科批,77_169032,77,169032,河北,2022,新能源材料与器件,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,物理类,2,四年,5800,,
plan_77_1129713_13_2022_2073_本科批,77_1129713,77,1129713,河北,2022,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,物理类,2,四年,5800,,
plan_77_1511539_13_2022_2073_本科批,77_1511539,77,1511539,河北,2022,智能制造工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,物理类,2,四年,5800,,
plan_77_2999_13_2022_2073_本科提前批A段,77_2999,77,2999,河北,2022,飞行技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,物理类,20,4,6380,（须提前经过民航专业机构体检合格方可报考，报考该专业须仔细阅读我校招生章程。在常州市天目湖校区就读）,
plan_77_2969_13_2022_2073_本科提前批B段,77_2969,77,2969,河北,2022,机械工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科提前批B段,物理类,3,4,6380,（国家专项计划）,
plan_77_2998_13_2022_2073_本科提前批B段,77_2998,77,2998,河北,2022,飞行器适航技术,本科(普通) (1),工学 (10),航空航天类 (82),普通类,本科提前批B段,物理类,2,4,5800,（国家专项计划）（报考该专业须仔细阅读我校招生章程。一、二年级在常州市天目湖校区就读，三、四年级在南京市将军路校区就读）,
plan_77_3007_13_2022_2073_本科提前批B段,77_3007,77,3007,河北,2022,土木工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科提前批B段,物理类,2,4,5800,（国家专项计划）（一、二年级在常州市天目湖校区就读，三、四年级在南京市将军路校区就读）,
plan_77_2954_13_2022_2073_本科提前批C段,77_2954,77,2954,河北,2022,材料科学与工程,本科(普通) (1),工学 (10),材料类 (66),普通类,本科提前批C段,物理类,1,4,6380,（高考成绩达到当地省级招生考试主管部门确定的特殊类型招生最低录取控制参考分数线上90分及以上，我校将依据公布的分省分专业招生计划，按照考生高考投档成绩从高分到低分依次择优录取）（高校专项计划）,
plan_77_2971_13_2022_2073_本科提前批C段,77_2971,77,2971,河北,2022,交通运输,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批C段,物理类,1,4,6380,（民航机务工程）（高考成绩达到当地省级招生考试主管部门确定的以上，我校将依据公布的分省分专业招生计划，特殊类型招生最低录取控制参考分数线上90分及按照考生高考投档成绩从高分到低分依次择优录取。报考该专业须仔细阅读我校招生章程。一、二年级在常州市天目湖校区就读，三、四年级在南京市将军路校区就读）（高校专项计划）,
plan_77_2975_14_2022_2_本科一批A段,77_2975,77,2975,山西,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,3,-,5200,,
plan_77_2966_14_2022_2_本科一批A段,77_2966,77,2966,山西,2022,广播电视学,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科一批A段,文科,2,-,5200,,
plan_77_2978_14_2022_2_本科一批A段,77_2978,77,2978,山西,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,文科,2,-,5200,,
plan_77_1499817_14_2022_2_本科一批A段,77_1499817,77,1499817,山西,2022,行政管理,本科(普通) (1),管理学 (13),公共管理类 (115),普通类,本科一批A段,文科,2,-,5200,,
plan_77_2979_14_2022_2_本科一批A段,77_2979,77,2979,山西,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科一批A段,文科,1,-,5200,,
plan_77_2969_14_2022_1_本科一批A段,77_2969,77,2969,山西,2022,机械工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,14,-,6380,,
plan_77_3006_14_2022_1_本科一批A段,77_3006,77,3006,山西,2022,自动化,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科一批A段,理科,6,-,6380,,
plan_77_3009_14_2022_1_本科一批A段,77_3009,77,3009,山西,2022,探测制导与控制技术,本科(普通) (1),工学 (10),兵器类 (83),普通类,本科一批A段,理科,6,-,6380,,
plan_77_3014_14_2022_1_本科一批A段,77_3014,77,3014,山西,2022,测控技术与仪器,本科(普通) (1),工学 (10),仪器类 (65),普通类,本科一批A段,理科,6,-,6380,,
plan_77_2954_14_2022_1_本科一批A段,77_2954,77,2954,山西,2022,材料科学与工程,本科(普通) (1),工学 (10),材料类 (66),普通类,本科一批A段,理科,5,-,6380,,
plan_77_3013_14_2022_1_本科一批A段,77_3013,77,3013,山西,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科一批A段,理科,5,-,6380,,
plan_77_2961_14_2022_1_本科一批A段,77_2961,77,2961,山西,2022,应用化学,本科(普通) (1),理学 (9),化学类 (53),普通类,本科一批A段,理科,4,-,5500,,
plan_77_2985_14_2022_1_本科一批A段,77_2985,77,2985,山西,2022,信息安全,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,4,-,6380,,
plan_77_2986_14_2022_1_本科一批A段,77_2986,77,2986,山西,2022,物联网工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,3,-,6380,,
plan_77_2988_14_2022_1_本科一批A段,77_2988,77,2988,山西,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,3,-,6380,,
plan_77_2995_14_2022_1_本科一批A段,77_2995,77,2995,山西,2022,应用物理学,本科(普通) (1),理学 (9),物理学类 (52),普通类,本科一批A段,理科,3,-,5500,,
plan_77_2998_14_2022_1_本科一批A段,77_2998,77,2998,山西,2022,飞行器适航技术,本科(普通) (1),工学 (10),航空航天类 (82),普通类,本科一批A段,理科,3,-,5800,,
plan_77_3000_14_2022_1_本科一批A段,77_3000,77,3000,山西,2022,车辆工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,3,-,6380,,
plan_77_3001_14_2022_1_本科一批A段,77_3001,77,3001,山西,2022,能源与动力工程,本科(普通) (1),工学 (10),能源动力类 (67),普通类,本科一批A段,理科,3,-,6380,,
plan_77_95018_14_2022_1_本科一批A段,77_95018,77,95018,山西,2022,交通运输,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科一批A段,理科,3,-,6380,,
plan_77_1129713_14_2022_1_本科一批A段,77_1129713,77,1129713,山西,2022,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科一批A段,理科,3,-,5800,,
plan_77_2952_14_2022_1_本科一批A段,77_2952,77,2952,山西,2022,交通运输,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科一批A段,理科,2,-,6380,,
plan_77_2953_14_2022_1_本科一批A段,77_2953,77,2953,山西,2022,交通运输,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科一批A段,理科,2,-,6380,,
plan_77_2958_14_2022_1_本科一批A段,77_2958,77,2958,山西,2022,工业设计,本科(普通) (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,2,-,5800,,
plan_77_2980_14_2022_1_本科一批A段,77_2980,77,2980,山西,2022,工商管理,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,理科,2,-,5200,,
plan_77_2990_14_2022_1_本科一批A段,77_2990,77,2990,山西,2022,光电信息科学与工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,2,-,5800,,
plan_77_3005_14_2022_1_本科一批A段,77_3005,77,3005,山西,2022,工程力学,本科(普通) (1),工学 (10),力学类 (63),普通类,本科一批A段,理科,2,-,6380,,
plan_77_3007_14_2022_1_本科一批A段,77_3007,77,3007,山西,2022,土木工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科一批A段,理科,2,-,5800,,
plan_77_598672_14_2022_1_本科一批A段,77_598672,77,598672,山西,2022,大数据管理与应用,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科一批A段,理科,2,-,5720,,
