plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_59_1905_11_2022_3_本科批,59_1905,59,1905,北京,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,3,四年,5200,,不限
plan_59_1905_11_2022_3_本科批,59_1905,59,1905,北京,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,3,四年,5200,,不限
plan_59_1777403_12_2022_3_本科提前批A段,59_1777403,59,1777403,天津,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,综合,7,4,5200,（南开大学津南校区）,思想政治必选
plan_59_1777403_12_2022_3_本科提前批A段,59_1777403,59,1777403,天津,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,综合,7,4,5200,（南开大学津南校区）,思想政治必选
plan_59_1905_13_2022_2074_本科批,59_1905,59,1905,河北,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,8,四年,5200,,
plan_59_1901_13_2022_2073_本科批,59_1901,59,1901,河北,2022,口腔医学,本科(普通) (1),医学 (12),口腔医学类 (103),普通类,本科批,物理类,3,五年,6200,,
plan_59_1777403_13_2022_2074_本科提前批A段,59_1777403,59,1777403,河北,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,历史类,6,4,5200,,
plan_59_1905_14_2022_2_本科一批A段,59_1905,59,1905,山西,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,6,-,5200,,
plan_59_1901_14_2022_1_本科一批A段,59_1901,59,1901,山西,2022,口腔医学,本科(普通) (1),医学 (12),口腔医学类 (103),普通类,本科一批A段,理科,2,五年,6200,,
plan_59_170744_14_2022_1_本科一批A段,59_170744,59,170744,山西,2022,眼视光医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科一批A段,理科,1,五年,6200,,
plan_59_1886223_14_2022_1_本科一批A段,59_1886223,59,1886223,山西,2022,智能医学工程,本科(普通) (1),医学 (12),医学技术类 (110),普通类,本科一批A段,理科,1,五年,6200,,
plan_59_1905_15_2022_2_本科一批,59_1905,59,1905,内蒙古,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科一批,文科,4,四年,5200,（津南校区）,
plan_59_1905_21_2022_2074_本科批,59_1905,59,1905,辽宁,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,7,四年,5200,,
plan_59_1905_22_2022_2_本科一批A段,59_1905,59,1905,吉林,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,3,-,,（学费待定）,
plan_59_1777403_23_2022_2_本科提前批,59_1777403,59,1777403,黑龙江,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批,文科,4,4,5200,(该校在省普通本科一批录取控制分数线上招生。),
plan_59_1905_32_2022_2074_本科批,59_1905,59,1905,江苏,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,4,四年,5200,,首选历史，再选不限
plan_59_1905_32_2022_2074_本科批,59_1905,59,1905,江苏,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,4,四年,5200,,首选历史，再选不限
plan_59_1900_32_2022_2073_本科批,59_1900,59,1900,江苏,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,3,五年,6200,,首选物理，再选化学/生物(2选1)
plan_59_1901_32_2022_2073_本科批,59_1901,59,1901,江苏,2022,口腔医学,本科(普通) (1),医学 (12),口腔医学类 (103),普通类,本科批,物理类,1,五年,6200,,首选物理，再选化学/生物(2选1)
plan_59_170744_32_2022_2073_本科批,59_170744,59,170744,江苏,2022,眼视光医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,1,五年,6200,,首选物理，再选化学/生物(2选1)
plan_59_1900_32_2022_2073_本科批,59_1900,59,1900,江苏,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,3,五年,6200,,首选物理，再选化学/生物(2选1)
plan_59_1901_32_2022_2073_本科批,59_1901,59,1901,江苏,2022,口腔医学,本科(普通) (1),医学 (12),口腔医学类 (103),普通类,本科批,物理类,1,五年,6200,,首选物理，再选化学/生物(2选1)
plan_59_170744_32_2022_2073_本科批,59_170744,59,170744,江苏,2022,眼视光医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,1,五年,6200,,首选物理，再选化学/生物(2选1)
plan_59_1905_33_2022_3_普通类平行录取,59_1905,59,1905,浙江,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,普通类平行录取,综合,5,四年,5200,（津南校区）,
plan_59_1901_33_2022_3_普通类平行录取,59_1901,59,1901,浙江,2022,口腔医学,本科(普通) (1),医学 (12),口腔医学类 (103),普通类,普通类平行录取,综合,3,五年,6200,（津南校区）,
plan_59_1905_34_2022_2_本科一批,59_1905,59,1905,安徽,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科一批,文科,3,-,5200,,
plan_59_1905_35_2022_2074_本科批,59_1905,59,1905,福建,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,4,四年,5200,,首选历史，再选不限
plan_59_1905_35_2022_2074_本科批,59_1905,59,1905,福建,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,4,四年,5200,,首选历史，再选不限
plan_59_1905_36_2022_2_本科一批,59_1905,59,1905,江西,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科一批,文科,4,四年,5200,,
plan_59_1900_36_2022_1_本科一批,59_1900,59,1900,江西,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科一批,理科,2,-,6200,（5+3一体化）（五年）（仅录取填报该专业志愿的考生，本硕连读）,
plan_59_1901_36_2022_1_本科一批,59_1901,59,1901,江西,2022,口腔医学,本科(普通) (1),医学 (12),口腔医学类 (103),普通类,本科一批,理科,1,-,6200,（五年）（仅录取填报该专业的考生）,
plan_59_170744_36_2022_1_本科一批,59_170744,59,170744,江西,2022,眼视光医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科一批,理科,1,-,6200,（五年）（仅录取填报该专业的考生）,
plan_59_1886223_36_2022_1_本科一批,59_1886223,59,1886223,江西,2022,智能医学工程,本科(普通) (1),医学 (12),医学技术类 (110),普通类,本科一批,理科,1,-,6200,（仅录取填报该专业的考生）（不招色弱色盲考生）,
plan_59_1777403_36_2022_2_本科提前批,59_1777403,59,1777403,江西,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批,文科,3,4,5200,,
plan_59_1905_43_2022_2074_本科批,59_1905,59,1905,湖南,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,5,四年,5200,,首选历史，再选不限
plan_59_1905_43_2022_2074_本科批,59_1905,59,1905,湖南,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,5,四年,5200,,首选历史，再选不限
plan_59_1777403_43_2022_2074_本科提前批,59_1777403,59,1777403,湖南,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批,历史类,3,4,5200,（马克思主义理论专业及公费师范生-马克思主义理论）（办学地点：津南校区）,首选历史，再选思想政治
plan_59_1777403_43_2022_2074_本科提前批,59_1777403,59,1777403,湖南,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批,历史类,3,4,5200,（马克思主义理论专业及公费师范生-马克思主义理论）（办学地点：津南校区）,首选历史，再选思想政治
plan_59_1901_44_2022_2073_本科批,59_1901,59,1901,广东,2022,口腔医学,本科(普通) (1),医学 (12),口腔医学类 (103),普通类,本科批,物理类,1,五年,6200,（津南校区）（只录取有专业志愿考生）,首选物理，再选化学/生物(2选1)
plan_59_170744_44_2022_2073_本科批,59_170744,59,170744,广东,2022,眼视光医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,1,五年,6200,（津南校区）（只录取有专业志愿考生）,首选物理，再选化学/生物(2选1)
plan_59_1901_44_2022_2073_本科批,59_1901,59,1901,广东,2022,口腔医学,本科(普通) (1),医学 (12),口腔医学类 (103),普通类,本科批,物理类,1,五年,6200,（津南校区）（只录取有专业志愿考生）,首选物理，再选化学/生物(2选1)
plan_59_170744_44_2022_2073_本科批,59_170744,59,170744,广东,2022,眼视光医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,1,五年,6200,（津南校区）（只录取有专业志愿考生）,首选物理，再选化学/生物(2选1)
plan_59_1905_46_2022_3_本科批,59_1905,59,1905,海南,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,2,四年,5200,,不限
plan_59_1905_46_2022_3_本科批,59_1905,59,1905,海南,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,2,四年,5200,,不限
plan_59_1901_50_2022_2073_本科批,59_1901,59,1901,重庆,2022,口腔医学,本科(普通) (1),医学 (12),口腔医学类 (103),普通类,本科批,物理类,2,五年,6200,,
