plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_108_5076_11_2022_3_本科批,108_5076,108,5076,北京,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,综合,2,四年,4950,,不限
plan_108_5076_11_2022_3_本科批,108_5076,108,5076,北京,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,综合,2,四年,4950,,不限
plan_108_5019_13_2022_2074_本科批,108_5019,108,5019,河北,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,5,四年,4950,,
plan_108_5009_13_2022_2074_本科批,108_5009,108,5009,河北,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,4,四年,4950,,
plan_108_4978_13_2022_2074_本科批,108_4978,108,4978,河北,2022,历史学,本科 (1),历史学 (8),历史学类 (50),普通类,本科批,历史类,3,四年,4650,,
plan_108_5025_13_2022_2074_本科批,108_5025,108,5025,河北,2022,哲学,本科 (1),哲学 (3),哲学类 (34),普通类,本科批,历史类,3,四年,4650,,
plan_108_1861804_13_2022_2074_本科批,108_1861804,108,1861804,河北,2022,社会学,本科 (1),法学 (5),社会学类 (41),普通类,本科批,历史类,3,四年,4950,,
plan_108_5023_13_2022_2074_本科批,108_5023,108,5023,河北,2022,法语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,2,四年,4950,,
plan_108_89976_13_2022_2074_本科批,108_89976,108,89976,河北,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批,历史类,2,四年,4950,,
plan_108_4988_13_2022_2073_本科批,108_4988,108,4988,河北,2022,护理学,本科 (1),医学 (12),护理学类 (111),普通类,本科批,物理类,6,四年,5550,,
plan_108_5052_13_2022_2073_本科批,108_5052,108,5052,河北,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,6,四年,5250,,
plan_108_89972_13_2022_2073_本科批,108_89972,108,89972,河北,2022,工程力学,本科 (1),工学 (10),力学类 (63),普通类,本科批,物理类,5,四年,5550,,
plan_108_5026_13_2022_2073_本科批,108_5026,108,5026,河北,2022,材料成型及控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,4,四年,5250,,
plan_108_89957_13_2022_2073_本科批,108_89957,108,89957,河北,2022,金融数学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,4,四年,5250,,
plan_108_5011_13_2022_2073_本科批,108_5011,108,5011,河北,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,2,四年,4950,,
plan_108_5042_13_2022_2073_本科批,108_5042,108,5042,河北,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,2,四年,5550,,
plan_108_4978_14_2022_2_本科一批A段,108_4978,108,4978,山西,2022,历史学,本科 (1),历史学 (8),历史学类 (50),普通类,本科一批A段,文科,2,-,4650,,
plan_108_5011_14_2022_2_本科一批A段,108_5011,108,5011,山西,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,文科,2,-,4950,,
plan_108_5022_14_2022_2_本科一批A段,108_5022,108,5022,山西,2022,德语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,2,-,4950,,
plan_108_4996_14_2022_1_本科一批A段,108_4996,108,4996,山西,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科一批A段,理科,4,-,5550,,
plan_108_5009_14_2022_1_本科一批A段,108_5009,108,5009,山西,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,理科,4,-,4950,,
plan_108_5052_14_2022_1_本科一批A段,108_5052,108,5052,山西,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,4,-,5250,,
plan_108_5054_14_2022_1_本科一批A段,108_5054,108,5054,山西,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科一批A段,理科,4,-,5250,,
plan_108_89979_14_2022_1_本科一批A段,108_89979,108,89979,山西,2022,康复治疗学,本科 (1),医学 (12),医学技术类 (110),普通类,本科一批A段,理科,4,-,5550,,
plan_108_5056_14_2022_1_本科一批A段,108_5056,108,5056,山西,2022,过程装备与控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,3,-,5250,,
plan_108_4984_14_2022_1_本科一批A段,108_4984,108,4984,山西,2022,医学检验技术,本科 (1),医学 (12),医学技术类 (110),普通类,本科一批A段,理科,2,-,5550,,
plan_108_5003_14_2022_1_本科一批A段,108_5003,108,5003,山西,2022,生物工程,本科 (1),工学 (10),生物工程类 (92),普通类,本科一批A段,理科,2,-,5250,,
plan_108_5027_14_2022_1_本科一批A段,108_5027,108,5027,山西,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科一批A段,理科,2,-,5550,,
plan_108_5040_14_2022_1_本科一批A段,108_5040,108,5040,山西,2022,工业工程,本科 (1),管理学 (13),工业工程类 (118),普通类,本科一批A段,理科,2,-,4950,,
plan_108_89976_14_2022_1_本科一批A段,108_89976,108,89976,山西,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科一批A段,理科,2,-,4950,,
plan_108_5019_15_2022_2_本科一批,108_5019,108,5019,内蒙古,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,文科,2,四年,4950,（前湖校区）,
plan_108_5042_15_2022_1_本科一批,108_5042,108,5042,内蒙古,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科一批,理科,3,四年,5550,（前湖校区）,
plan_108_5009_15_2022_1_本科一批,108_5009,108,5009,内蒙古,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批,理科,2,四年,4950,（前湖校区）,
plan_108_5027_15_2022_1_本科一批,108_5027,108,5027,内蒙古,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科一批,理科,2,四年,5550,（前湖校区）,
plan_108_5052_15_2022_1_本科一批,108_5052,108,5052,内蒙古,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科一批,理科,2,四年,5250,（前湖校区）,
plan_108_5077_15_2022_1_本科一批,108_5077,108,5077,内蒙古,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批,理科,2,四年,4950,（前湖校区）,
plan_108_4988_21_2022_2074_本科批,108_4988,108,4988,辽宁,2022,护理学,本科 (1),医学 (12),护理学类 (111),普通类,本科批,历史类,5,四年,5550,,
plan_108_5020_21_2022_2074_本科批,108_5020,108,5020,辽宁,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,3,四年,4950,,
plan_108_5076_21_2022_2074_本科批,108_5076,108,5076,辽宁,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,历史类,3,四年,4950,,
plan_108_5009_21_2022_2074_本科批,108_5009,108,5009,辽宁,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,2,四年,4950,,
plan_108_5018_21_2022_2074_本科批,108_5018,108,5018,辽宁,2022,档案学,本科 (1),管理学 (13),图书情报与档案管理类 (116),普通类,本科批,历史类,2,四年,4650,,
plan_108_5052_21_2022_2073_本科批,108_5052,108,5052,辽宁,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,4,四年,5250,,
plan_108_5061_21_2022_2073_本科批,108_5061,108,5061,辽宁,2022,测控技术与仪器,本科 (1),工学 (10),仪器类 (65),普通类,本科批,物理类,4,四年,5250,,
plan_108_89972_21_2022_2073_本科批,108_89972,108,89972,辽宁,2022,工程力学,本科 (1),工学 (10),力学类 (63),普通类,本科批,物理类,4,四年,5550,,
plan_108_4996_21_2022_2073_本科批,108_4996,108,4996,辽宁,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科批,物理类,3,四年,5550,,
plan_108_5040_21_2022_2073_本科批,108_5040,108,5040,辽宁,2022,工业工程,本科 (1),管理学 (13),工业工程类 (118),普通类,本科批,物理类,3,四年,4950,,
plan_108_5054_21_2022_2073_本科批,108_5054,108,5054,辽宁,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批,物理类,3,四年,5250,,
plan_108_5003_21_2022_2073_本科批,108_5003,108,5003,辽宁,2022,生物工程,本科 (1),工学 (10),生物工程类 (92),普通类,本科批,物理类,2,四年,5250,,
plan_108_5026_21_2022_2073_本科批,108_5026,108,5026,辽宁,2022,材料成型及控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,2,四年,5250,,
plan_108_5042_21_2022_2073_本科批,108_5042,108,5042,辽宁,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,2,四年,5550,,
plan_108_5063_21_2022_2073_本科批,108_5063,108,5063,辽宁,2022,生态学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,2,四年,5250,,
plan_108_5009_22_2022_2_本科一批A段,108_5009,108,5009,吉林,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,文科,3,-,4950,,
plan_108_4978_22_2022_2_本科一批A段,108_4978,108,4978,吉林,2022,历史学,本科 (1),历史学 (8),历史学类 (50),普通类,本科一批A段,文科,2,-,4650,,
plan_108_5019_22_2022_2_本科一批A段,108_5019,108,5019,吉林,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,2,-,4950,,
plan_108_5020_22_2022_2_本科一批A段,108_5020,108,5020,吉林,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,2,-,4950,,
plan_108_5076_22_2022_2_本科一批A段,108_5076,108,5076,吉林,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科一批A段,文科,2,-,4950,,
plan_108_89976_22_2022_2_本科一批A段,108_89976,108,89976,吉林,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科一批A段,文科,2,-,4950,,
plan_108_5026_22_2022_1_本科一批A段,108_5026,108,5026,吉林,2022,材料成型及控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,4,-,5250,,
plan_108_5027_22_2022_1_本科一批A段,108_5027,108,5027,吉林,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科一批A段,理科,4,-,5550,,
plan_108_5042_22_2022_1_本科一批A段,108_5042,108,5042,吉林,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科一批A段,理科,4,-,5550,,
plan_108_5054_22_2022_1_本科一批A段,108_5054,108,5054,吉林,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科一批A段,理科,4,-,5250,,
plan_108_4996_22_2022_1_本科一批A段,108_4996,108,4996,吉林,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科一批A段,理科,2,-,5550,,
plan_108_5003_22_2022_1_本科一批A段,108_5003,108,5003,吉林,2022,生物工程,本科 (1),工学 (10),生物工程类 (92),普通类,本科一批A段,理科,2,-,5250,,
plan_108_5052_22_2022_1_本科一批A段,108_5052,108,5052,吉林,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,2,-,5250,,
plan_108_5056_22_2022_1_本科一批A段,108_5056,108,5056,吉林,2022,过程装备与控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,2,-,5250,,
plan_108_5077_22_2022_1_本科一批A段,108_5077,108,5077,吉林,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批A段,理科,2,-,4950,,
plan_108_1499499_22_2022_1_本科一批A段,108_1499499,108,1499499,吉林,2022,智能制造工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,2,-,5250,,
plan_108_5052_23_2022_1_本科一批A段,108_5052,108,5052,黑龙江,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,6,四年,5250,,
plan_108_4993_23_2022_1_本科一批A段,108_4993,108,4993,黑龙江,2022,水利水电工程,本科 (1),工学 (10),水利类 (73),普通类,本科一批A段,理科,5,四年,5250,,
plan_108_5009_23_2022_1_本科一批A段,108_5009,108,5009,黑龙江,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,理科,4,四年,4950,,
plan_108_5054_23_2022_1_本科一批A段,108_5054,108,5054,黑龙江,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科一批A段,理科,4,四年,5250,,
plan_108_5026_23_2022_1_本科一批A段,108_5026,108,5026,黑龙江,2022,材料成型及控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,3,四年,5250,,
plan_108_5027_23_2022_1_本科一批A段,108_5027,108,5027,黑龙江,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科一批A段,理科,3,五年,5550,,
plan_108_5063_23_2022_1_本科一批A段,108_5063,108,5063,黑龙江,2022,生态学,本科 (1),理学 (9),生物科学类 (60),普通类,本科一批A段,理科,3,四年,5250,,
plan_108_5077_23_2022_1_本科一批A段,108_5077,108,5077,黑龙江,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批A段,理科,3,四年,4950,,
plan_108_4984_23_2022_1_本科一批A段,108_4984,108,4984,黑龙江,2022,医学检验技术,本科 (1),医学 (12),医学技术类 (110),普通类,本科一批A段,理科,2,四年,5550,,
plan_108_5019_23_2022_2_本科一批A段,108_5019,108,5019,黑龙江,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,4,四年,4950,,
plan_108_5020_23_2022_2_本科一批A段,108_5020,108,5020,黑龙江,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,4,四年,4950,,
plan_108_5047_23_2022_2_本科一批A段,108_5047,108,5047,黑龙江,2022,俄语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,4,四年,4950,,
plan_108_89976_23_2022_2_本科一批A段,108_89976,108,89976,黑龙江,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科一批A段,文科,2,四年,4950,,
plan_108_5019_32_2022_2074_本科批,108_5019,108,5019,江苏,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,4,四年,4950,,首选历史，再选不限
plan_108_5009_32_2022_2074_本科批,108_5009,108,5009,江苏,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,2,四年,4950,,首选历史，再选不限
plan_108_5011_32_2022_2074_本科批,108_5011,108,5011,江苏,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,2,四年,4950,,首选历史，再选不限
plan_108_5020_32_2022_2074_本科批,108_5020,108,5020,江苏,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,2,四年,4950,,首选历史，再选不限
plan_108_5019_32_2022_2074_本科批,108_5019,108,5019,江苏,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,4,四年,4950,,首选历史，再选不限
plan_108_5009_32_2022_2074_本科批,108_5009,108,5009,江苏,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,2,四年,4950,,首选历史，再选不限
plan_108_5011_32_2022_2074_本科批,108_5011,108,5011,江苏,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,2,四年,4950,,首选历史，再选不限
plan_108_5020_32_2022_2074_本科批,108_5020,108,5020,江苏,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,2,四年,4950,,首选历史，再选不限
plan_108_5006_32_2022_2073_本科批,108_5006,108,5006,江苏,2022,水产养殖学,本科 (1),农学 (11),水产类 (99),普通类,本科批,物理类,2,四年,4350,,首选物理，再选化学、生物(2科必选)
plan_108_4996_32_2022_2073_本科批,108_4996,108,4996,江苏,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科批,物理类,5,四年,5550,,首选物理，再选不限
plan_108_5026_32_2022_2073_本科批,108_5026,108,5026,江苏,2022,材料成型及控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,5,四年,5250,,首选物理，再选不限
plan_108_5061_32_2022_2073_本科批,108_5061,108,5061,江苏,2022,测控技术与仪器,本科 (1),工学 (10),仪器类 (65),普通类,本科批,物理类,4,四年,5250,,首选物理，再选不限
plan_108_5076_32_2022_2073_本科批,108_5076,108,5076,江苏,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,物理类,4,四年,4950,,首选物理，再选不限
plan_108_5052_32_2022_2073_本科批,108_5052,108,5052,江苏,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,3,四年,5250,,首选物理，再选不限
