plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_102_1026407_11_2022_3_本科批,102_1026407,102,1026407,北京,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,2,四年,5460,,物理必选
plan_102_1026407_11_2022_3_本科批,102_1026407,102,1026407,北京,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,2,四年,5460,,物理必选
plan_102_1026407_13_2022_2073_本科批,102_1026407,102,1026407,河北,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,2,四年,5460,,
plan_102_4505_13_2022_2073_本科批,102_4505,102,4505,河北,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科批,物理类,1,四年,5460,,
plan_102_4505_13_2022_2073_本科提前批B段,102_4505,102,4505,河北,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科提前批B段,物理类,2,4,5460,（国家专项计划）,
plan_102_4478_13_2022_2074_本科提前批B段,102_4478,102,4478,河北,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科提前批B段,历史类,1,4,5460,（国家专项计划）（含会计学、财务管理、审计学专业）,
plan_102_1026407_14_2022_1_本科一批A段,102_1026407,102,1026407,山西,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,1,-,5460,,
plan_102_4505_14_2022_1_提前一批本科,102_4505,102,4505,山西,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,提前一批本科,理科,1,4,5460,（办学地点翔安校区）（国家专项计划院校）,
plan_102_4505_15_2022_1_本科一批,102_4505,102,4505,内蒙古,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科一批,理科,2,四年,5460,（翔安校区）,
plan_102_4505_22_2022_1_本科一批A段,102_4505,102,4505,吉林,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科一批A段,理科,2,-,5460,,
plan_102_4505_23_2022_1_本科一批A段,102_4505,102,4505,黑龙江,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科一批A段,理科,1,四年,5460,,
plan_102_4478_32_2022_2074_本科批,102_4478,102,4478,江苏,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,2,四年,,,首选历史，再选不限
plan_102_4478_32_2022_2074_本科批,102_4478,102,4478,江苏,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,2,四年,5460,,首选历史，再选不限
plan_102_4543_32_2022_2074_本科批,102_4543,102,4543,江苏,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,2,四年,,,首选历史，再选不限
plan_102_4534_32_2022_2074_本科批,102_4534,102,4534,江苏,2022,新闻学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,1,四年,,,首选历史，再选不限
plan_102_4545_32_2022_2074_本科批,102_4545,102,4545,江苏,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,1,四年,,,首选历史，再选不限
plan_102_4478_32_2022_2074_本科批,102_4478,102,4478,江苏,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,2,四年,5460,,首选历史，再选不限
plan_102_4478_32_2022_2074_本科批,102_4478,102,4478,江苏,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,2,四年,,,首选历史，再选不限
plan_102_4543_32_2022_2074_本科批,102_4543,102,4543,江苏,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,2,四年,,,首选历史，再选不限
plan_102_4534_32_2022_2074_本科批,102_4534,102,4534,江苏,2022,新闻学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,1,四年,,,首选历史，再选不限
plan_102_4545_32_2022_2074_本科批,102_4545,102,4545,江苏,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,1,四年,,,首选历史，再选不限
plan_102_4478_32_2022_2073_本科批,102_4478,102,4478,江苏,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,7,四年,5460,,首选物理，再选不限
plan_102_1026407_32_2022_2073_本科批,102_1026407,102,1026407,江苏,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,2,四年,5460,,首选物理，再选不限
plan_102_4478_32_2022_2073_本科批,102_4478,102,4478,江苏,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,7,四年,5460,,首选物理，再选不限
plan_102_4483_32_2022_2073_本科批,102_4483,102,4483,江苏,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,2,四年,,,首选物理，再选不限
plan_102_4496_32_2022_2073_本科批,102_4496,102,4496,江苏,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,2,四年,,,首选物理，再选不限
plan_102_4526_32_2022_2073_本科批,102_4526,102,4526,江苏,2022,海洋科学,本科 (1),理学 (9),海洋科学类 (57),普通类,本科批,物理类,2,四年,,,首选物理，再选化学/生物(2选1)
plan_102_1026407_32_2022_2073_本科批,102_1026407,102,1026407,江苏,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,2,四年,5460,,首选物理，再选不限
plan_102_4453_32_2022_2073_本科批,102_4453,102,4453,江苏,2022,电子商务,本科 (1),管理学 (13),电子商务类 (119),普通类,本科批,物理类,1,四年,,,首选物理，再选不限
plan_102_4456_32_2022_2073_本科批,102_4456,102,4456,江苏,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,物理类,1,四年,,,首选物理，再选不限
plan_102_4458_32_2022_2073_本科批,102_4458,102,4458,江苏,2022,物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科批,物理类,1,四年,,,首选物理，再选不限
plan_102_4467_32_2022_2073_本科批,102_4467,102,4467,江苏,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,1,四年,,,首选物理，再选不限
plan_102_4478_32_2022_2073_本科批,102_4478,102,4478,江苏,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,1,四年,,,首选物理，再选不限
plan_102_4487_32_2022_2073_本科批,102_4487,102,4487,江苏,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,1,四年,,,首选物理，再选不限
plan_102_4527_32_2022_2073_本科批,102_4527,102,4527,江苏,2022,海洋技术,本科 (1),理学 (9),海洋科学类 (57),普通类,本科批,物理类,1,四年,,,首选物理，再选化学/生物(2选1)
plan_102_4483_32_2022_2073_本科批,102_4483,102,4483,江苏,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,2,四年,,,首选物理，再选不限
plan_102_4496_32_2022_2073_本科批,102_4496,102,4496,江苏,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,2,四年,,,首选物理，再选不限
plan_102_4453_32_2022_2073_本科批,102_4453,102,4453,江苏,2022,电子商务,本科 (1),管理学 (13),电子商务类 (119),普通类,本科批,物理类,1,四年,,,首选物理，再选不限
plan_102_4456_32_2022_2073_本科批,102_4456,102,4456,江苏,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,物理类,1,四年,,,首选物理，再选不限
plan_102_4458_32_2022_2073_本科批,102_4458,102,4458,江苏,2022,物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科批,物理类,1,四年,,,首选物理，再选不限
