plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_63_2189_11_2022_3_本科批,63_2189,63,2189,北京,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,3,四年,6050,,物理必选
plan_63_253187_11_2022_3_本科批,63_253187,63,253187,北京,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),中外合作办学,本科批,综合,3,四年,50000,,不限
plan_63_2136_11_2022_3_本科批,63_2136,63,2136,北京,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,综合,2,四年,5500,,物理必选
plan_63_2138_11_2022_3_本科批,63_2138,63,2138,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,2,四年,12500,,物理必选
plan_63_2139_11_2022_3_本科批,63_2139,63,2139,北京,2022,车辆工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,2,四年,6050,,物理必选
plan_63_2145_11_2022_3_本科批,63_2145,63,2145,北京,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,2,四年,6600,,物理必选
plan_63_2175_11_2022_3_本科批,63_2175,63,2175,北京,2022,高分子材料与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,综合,2,四年,5500,,物理、化学(2科必选)
plan_63_2195_11_2022_3_本科批,63_2195,63,2195,北京,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,2,四年,5500,,物理必选
plan_63_2202_11_2022_3_本科批,63_2202,63,2202,北京,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,2,四年,6050,,物理必选
plan_63_2189_11_2022_3_本科批,63_2189,63,2189,北京,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,3,四年,6050,,物理必选
plan_63_2136_11_2022_3_本科批,63_2136,63,2136,北京,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,综合,2,四年,5500,,物理必选
plan_63_2138_11_2022_3_本科批,63_2138,63,2138,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,2,四年,12500,,物理必选
plan_63_2139_11_2022_3_本科批,63_2139,63,2139,北京,2022,车辆工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,2,四年,6050,,物理必选
plan_63_2145_11_2022_3_本科批,63_2145,63,2145,北京,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,2,四年,6600,,物理必选
plan_63_2195_11_2022_3_本科批,63_2195,63,2195,北京,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,2,四年,5500,,物理必选
plan_63_2202_11_2022_3_本科批,63_2202,63,2202,北京,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,2,四年,6050,,物理必选
plan_63_2175_11_2022_3_本科批,63_2175,63,2175,北京,2022,高分子材料与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,综合,2,四年,5500,,物理、化学(2科必选)
plan_63_253187_11_2022_3_本科批,63_253187,63,253187,北京,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),中外合作办学,本科批,综合,3,四年,50000,,不限
plan_63_2140_13_2022_2074_本科批,63_2140,63,2140,河北,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科批,历史类,3,四年,5500,,
plan_63_2130_13_2022_2074_本科批,63_2130,63,2130,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,2,四年,5500,,
plan_63_2197_13_2022_2073_本科批,63_2197,63,2197,河北,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科批,物理类,12,四年,6050,,
plan_63_2195_13_2022_2073_本科批,63_2195,63,2195,河北,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,10,四年,5500,,
plan_63_2138_13_2022_2073_本科批,63_2138,63,2138,河北,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,8,四年,12500,,
plan_63_2159_13_2022_2073_本科批,63_2159,63,2159,河北,2022,集成电路设计与集成系统,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,8,四年,12500,,
plan_63_2139_13_2022_2073_本科批,63_2139,63,2139,河北,2022,车辆工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,7,四年,6050,,
plan_63_2199_13_2022_2073_本科批,63_2199,63,2199,河北,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,7,四年,6050,,
plan_63_2143_13_2022_2073_本科批,63_2143,63,2143,河北,2022,金融工程,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,5,四年,5500,,
plan_63_2203_13_2022_2073_本科批,63_2203,63,2203,河北,2022,材料物理,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,5,四年,5500,,
