plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_122_5990_11_2022_3_本科批,122_5990,122,5990,北京,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,6,四年,4950,,不限
plan_122_6005_11_2022_3_本科批,122_6005,122,6005,北京,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,4,四年,4950,,不限
plan_122_5990_11_2022_3_本科批,122_5990,122,5990,北京,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,6,四年,4950,,不限
plan_122_6005_11_2022_3_本科批,122_6005,122,6005,北京,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,4,四年,4950,,不限
plan_122_94317_11_2022_3_本科批,122_94317,122,94317,北京,2022,化学类,本科(普通) (1),理学 (9),化学类 (53),普通类,本科批,综合,4,四年,4180,,化学必选
plan_122_94326_11_2022_3_本科批,122_94326,122,94326,北京,2022,材料物理,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,综合,3,四年,4180,,物理、化学(2科必选)
plan_122_6000_11_2022_3_本科批,122_6000,122,6000,北京,2022,历史学,本科(普通) (1),历史学 (8),历史学类 (50),普通类,本科批,综合,2,四年,4180,,历史/地理(2选1)
plan_122_6002_11_2022_3_本科批,122_6002,122,6002,北京,2022,考古学,本科(普通) (1),历史学 (8),历史学类 (50),普通类,本科批,综合,2,四年,4180,,历史/地理(2选1)
plan_122_6027_11_2022_3_本科批,122_6027,122,6027,北京,2022,广播电视编导,本科(普通) (1),艺术学 (14),戏剧与影视学类 (123),普通类,本科批,综合,2,四年,12000,,不限
plan_122_94305_11_2022_3_本科批,122_94305,122,94305,北京,2022,车辆工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,2,四年,4620,,物理、化学(2科必选)
plan_122_94306_11_2022_3_本科批,122_94306,122,94306,北京,2022,通信工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,2,四年,5170,,物理必选
plan_122_94308_11_2022_3_本科批,122_94308,122,94308,北京,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,2,四年,4700,,物理必选
plan_122_94313_11_2022_3_本科批,122_94313,122,94313,北京,2022,物理学类,本科(普通) (1),理学 (9),物理学类 (52),普通类,本科批,综合,2,四年,4350,,物理必选
plan_122_94320_11_2022_3_本科批,122_94320,122,94320,北京,2022,生物科学类,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科批,综合,2,四年,4390,,物/化/生(3选1)
plan_122_170751_11_2022_3_本科批,122_170751,122,170751,北京,2022,仿生科学与工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,2,四年,4180,,物理、化学(2科必选)
plan_122_94302_11_2022_3_本科批,122_94302,122,94302,北京,2022,外交学,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科批,综合,1,四年,4180,,历史/思想政治(2选1)
plan_122_6027_11_2022_3_本科批,122_6027,122,6027,北京,2022,广播电视编导,本科(普通) (1),艺术学 (14),戏剧与影视学类 (123),普通类,本科批,综合,2,四年,12000,,不限
plan_122_94306_11_2022_3_本科批,122_94306,122,94306,北京,2022,通信工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,2,四年,5170,,物理必选
plan_122_94313_11_2022_3_本科批,122_94313,122,94313,北京,2022,物理学类,本科(普通) (1),理学 (9),物理学类 (52),普通类,本科批,综合,2,四年,4350,,物理必选
plan_122_94308_11_2022_3_本科批,122_94308,122,94308,北京,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,2,四年,4700,,物理必选
plan_122_94326_11_2022_3_本科批,122_94326,122,94326,北京,2022,材料物理,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,综合,3,四年,4180,,物理、化学(2科必选)
plan_122_94305_11_2022_3_本科批,122_94305,122,94305,北京,2022,车辆工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,2,四年,4620,,物理、化学(2科必选)
plan_122_170751_11_2022_3_本科批,122_170751,122,170751,北京,2022,仿生科学与工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,2,四年,4180,,物理、化学(2科必选)
plan_122_94320_11_2022_3_本科批,122_94320,122,94320,北京,2022,生物科学类,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科批,综合,2,四年,4390,,物/化/生(3选1)
plan_122_94317_11_2022_3_本科批,122_94317,122,94317,北京,2022,化学类,本科(普通) (1),理学 (9),化学类 (53),普通类,本科批,综合,4,四年,4180,,化学必选
plan_122_94302_11_2022_3_本科批,122_94302,122,94302,北京,2022,外交学,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科批,综合,1,四年,4180,,历史/思想政治(2选1)
plan_122_6000_11_2022_3_本科批,122_6000,122,6000,北京,2022,历史学,本科(普通) (1),历史学 (8),历史学类 (50),普通类,本科批,综合,2,四年,4180,,历史/地理(2选1)
plan_122_6002_11_2022_3_本科批,122_6002,122,6002,北京,2022,考古学,本科(普通) (1),历史学 (8),历史学类 (50),普通类,本科批,综合,2,四年,4180,,历史/地理(2选1)
plan_122_1800251_11_2022_3_本科提前批A段,122_1800251,122,1800251,北京,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,综合,2,4,,,思想政治必选
plan_122_1800251_11_2022_3_本科提前批A段,122_1800251,122,1800251,北京,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,综合,2,4,,,思想政治必选
plan_122_1800251_12_2022_3_本科提前批A段,122_1800251,122,1800251,天津,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,综合,2,4,,（前卫南区）（学费待定）,思想政治必选
plan_122_1800251_12_2022_3_本科提前批A段,122_1800251,122,1800251,天津,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,综合,2,4,,（前卫南区）（学费待定）,思想政治必选
plan_122_5990_13_2022_2074_本科批,122_5990,122,5990,河北,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,3,四年,4950,,
plan_122_5985_13_2022_2074_本科批,122_5985,122,5985,河北,2022,经济学,本科(普通) (1),经济学 (4),经济学类 (35),普通类,本科批,历史类,2,四年,4950,,
