plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_73_827093_12_2022_3_本科批A段,73_827093,73,827093,天津,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,4,五年,6000,（本硕衔接培养，四证合一，合格毕业生同时获执业医师资格证、住院医师规范化培训合格证书、硕士研究生毕业证和学位证；可参加拔尖人才培养特区选拔；该专业不招色盲、色弱考生）,化学、生物(2科必选)
plan_73_827093_12_2022_3_本科批A段,73_827093,73,827093,天津,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,4,五年,6000,（本硕衔接培养，四证合一，合格毕业生同时获执业医师资格证、住院医师规范化培训合格证书、硕士研究生毕业证和学位证；可参加拔尖人才培养特区选拔；该专业不招色盲、色弱考生）,化学、生物(2科必选)
plan_73_2737_13_2022_2073_本科提前批B段,73_2737,73,2737,河北,2022,地球物理学,本科(普通) (1),理学 (9),地球物理学类 (58),普通类,本科提前批B段,物理类,2,4,5000,（国家专项计划）（可参加拔尖人才培养特区选拔）,
plan_73_2744_13_2022_2073_本科提前批B段,73_2744,73,2744,河北,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科提前批B段,物理类,2,5,6000,（5+3一体化）（国家专项计划）（本硕衔接培养，四证合一，合格毕业生同时获执业医师资格证、住院医师规范化培训合格证书、硕士研究生毕业证和学位证；可参加拔尖人才培养特区选拔；该专业不招色盲、色弱考生）,
plan_73_1033966_14_2022_2_提前一批本科,73_1033966,73,1033966,山西,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,提前一批本科,文科,2,4,5000,（入学后原则上不实行校内转专业政策）,
plan_73_827093_15_2022_1_本科一批,73_827093,73,827093,内蒙古,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科一批,理科,3,五年,6000,（上海）（本硕衔接培养，四证合一，合格毕业生同时获执业医师资格证、住院医师规范化培训合格证书、硕士研究生毕业证和学位证。可参加拔尖人才培养特区选拔。该专业不招色盲、色弱考生。）,
plan_73_2744_15_2022_1_本科提前批B段,73_2744,73,2744,内蒙古,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科提前批B段,理科,2,5,6000,（5+3一体化）（本硕衔接培养，四证合一，合格毕业生同时获执业医师资格证、住院医师规范化培训合格证书、硕士研究生毕业证和学位证。可参加拔尖人才培养特区选拔。该专业不招色盲、色弱考生。）,
plan_73_608215_15_2022_1_本科提前批B段,73_608215,73,608215,内蒙古,2022,应用化学,本科(普通) (1),理学 (9),化学类 (53),普通类,本科提前批B段,理科,2,4,5000,（含双学位培养项目：能源与动力工程-应用化学。可参加拔尖人才培养特区选拔。该专业不招色盲、色弱考生。）,
plan_73_1033966_31_2022_3_本科提前批,73_1033966,73,1033966,上海,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批,综合,4,4,5000,（入学后原则上不得转专业）（语种要求：不限）,思想政治必选
plan_73_1033966_31_2022_3_本科提前批,73_1033966,73,1033966,上海,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批,综合,4,4,5000,（入学后原则上不得转专业）（语种要求：不限）,思想政治必选
