plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_34_336_12_2022_3_本科提前批A段,34_336,34,336,天津,2022,俄语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,6,4,4000,（校本部）,不限
plan_34_336_12_2022_3_本科提前批A段,34_336,34,336,天津,2022,俄语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,6,4,4000,（校本部）,不限
plan_34_917699_13_2022_2074_本科批,34_917699,34,917699,河北,2022,数字媒体艺术,本科 (1),艺术学 (14),设计学类 (125),普通类,本科批,历史类,4,四年,,（学费待定）,
plan_34_1801727_13_2022_2074_本科批,34_1801727,34,1801727,河北,2022,国际组织与全球治理,本科 (1),法学 (5),政治学类 (40),普通类,本科批,历史类,4,四年,5500,,
plan_34_281_13_2022_2074_本科批,34_281,34,281,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,2,四年,4000,,
plan_34_348_13_2022_2074_本科批,34_348,34,348,河北,2022,社会学,本科 (1),法学 (5),社会学类 (41),普通类,本科批,历史类,2,四年,4000,,
plan_34_358_13_2022_2074_本科批,34_358,34,358,河北,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,历史类,2,四年,4000,,
plan_34_917699_14_2022_2_本科一批A段,34_917699,34,917699,山西,2022,数字媒体艺术,本科 (1),艺术学 (14),设计学类 (125),普通类,本科一批A段,文科,4,-,,,
plan_34_281_14_2022_2_本科一批A段,34_281,34,281,山西,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,1,-,4000,,
plan_34_348_14_2022_2_本科一批A段,34_348,34,348,山西,2022,社会学,本科 (1),法学 (5),社会学类 (41),普通类,本科一批A段,文科,1,-,4000,,
plan_34_358_14_2022_2_本科一批A段,34_358,34,358,山西,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科一批A段,文科,1,-,4000,,
plan_34_1801727_14_2022_2_本科一批A段,34_1801727,34,1801727,山西,2022,国际组织与全球治理,本科 (1),法学 (5),政治学类 (40),普通类,本科一批A段,文科,1,-,5500,,
plan_34_336_14_2022_2_提前一批本科,34_336,34,336,山西,2022,俄语,本科 (1),文学 (7),外国语言文学类 (48),普通类,提前一批本科,文科,3,4,4000,,
plan_34_336_14_2022_1_提前一批本科,34_336,34,336,山西,2022,俄语,本科 (1),文学 (7),外国语言文学类 (48),普通类,提前一批本科,理科,2,4,4000,,
plan_34_1801727_21_2022_2074_本科批,34_1801727,34,1801727,辽宁,2022,国际组织与全球治理,本科 (1),法学 (5),政治学类 (40),普通类,本科批,历史类,4,四年,5500,,
plan_34_281_21_2022_2074_本科批,34_281,34,281,辽宁,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,2,四年,4000,,
plan_34_348_21_2022_2074_本科批,34_348,34,348,辽宁,2022,社会学,本科 (1),法学 (5),社会学类 (41),普通类,本科批,历史类,2,四年,4000,,
plan_34_358_21_2022_2074_本科批,34_358,34,358,辽宁,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,历史类,2,四年,4000,,
plan_34_917699_22_2022_2_本科一批A段,34_917699,34,917699,吉林,2022,数字媒体艺术,本科 (1),艺术学 (14),设计学类 (125),普通类,本科一批A段,文科,4,-,,（学费待定）,
plan_34_1801727_22_2022_2_本科一批A段,34_1801727,34,1801727,吉林,2022,国际组织与全球治理,本科 (1),法学 (5),政治学类 (40),普通类,本科一批A段,文科,2,-,,（学费待定）,
plan_34_348_22_2022_2_本科一批A段,34_348,34,348,吉林,2022,社会学,本科 (1),法学 (5),社会学类 (41),普通类,本科一批A段,文科,1,-,,（学费待定）,
plan_34_358_22_2022_2_本科一批A段,34_358,34,358,吉林,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科一批A段,文科,1,-,,（学费待定）,
plan_34_1801727_23_2022_2_本科一批A段,34_1801727,34,1801727,黑龙江,2022,国际组织与全球治理,本科 (1),法学 (5),政治学类 (40),普通类,本科一批A段,文科,8,四年,5500,,
plan_34_281_23_2022_2_本科一批A段,34_281,34,281,黑龙江,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,6,四年,4000,,
plan_34_348_23_2022_2_本科一批A段,34_348,34,348,黑龙江,2022,社会学,本科 (1),法学 (5),社会学类 (41),普通类,本科一批A段,文科,6,四年,4000,,
plan_34_358_23_2022_2_本科一批A段,34_358,34,358,黑龙江,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科一批A段,文科,5,四年,4000,,
plan_34_336_23_2022_1_本科提前批,34_336,34,336,黑龙江,2022,俄语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批,理科,4,4,4000,(该校在省普通本科一批录取控制分数线上招生。),
plan_34_336_23_2022_2_本科提前批,34_336,34,336,黑龙江,2022,俄语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批,文科,4,4,4000,(该校在省普通本科一批录取控制分数线上招生。),
plan_34_287_32_2022_2073_本科批,34_287,34,287,江苏,2022,应用物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科批,物理类,4,四年,68000,,首选物理，再选不限
plan_34_286_32_2022_2073_本科批,34_286,34,286,江苏,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,物理类,3,四年,68000,,首选物理，再选不限
plan_34_287_32_2022_2073_本科批,34_287,34,287,江苏,2022,应用物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科批,物理类,4,四年,68000,,首选物理，再选不限
plan_34_286_32_2022_2073_本科批,34_286,34,286,江苏,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,物理类,3,四年,68000,,首选物理，再选不限
plan_34_1801727_34_2022_2_本科一批,34_1801727,34,1801727,安徽,2022,国际组织与全球治理,本科 (1),法学 (5),政治学类 (40),普通类,本科一批,文科,3,-,5500,,
plan_34_281_34_2022_2_本科一批,34_281,34,281,安徽,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,文科,2,-,4000,,
plan_34_348_34_2022_2_本科一批,34_348,34,348,安徽,2022,社会学,本科 (1),法学 (5),社会学类 (41),普通类,本科一批,文科,2,-,4000,,
plan_34_358_34_2022_2_本科一批,34_358,34,358,安徽,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科一批,文科,1,-,4000,,
plan_34_917699_36_2022_2_本科一批,34_917699,34,917699,江西,2022,数字媒体艺术,本科 (1),艺术学 (14),设计学类 (125),普通类,本科一批,文科,2,四年,,,
plan_34_281_36_2022_2_本科一批,34_281,34,281,江西,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,文科,1,四年,4000,,
plan_34_358_36_2022_2_本科一批,34_358,34,358,江西,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科一批,文科,1,四年,4000,,
plan_34_1801727_36_2022_2_本科一批,34_1801727,34,1801727,江西,2022,国际组织与全球治理,本科 (1),法学 (5),政治学类 (40),普通类,本科一批,文科,1,四年,5500,,
plan_34_287_36_2022_1_本科一批,34_287,34,287,江西,2022,应用物理学,本科 (1),理学 (9),物理学类 (52),中外合作办学,本科一批,理科,5,-,68000,（中外合作办学）,
plan_34_349_36_2022_1_本科一批,34_349,34,349,江西,2022,化学,本科 (1),理学 (9),化学类 (53),中外合作办学,本科一批,理科,3,-,68000,（中外合作办学）,
plan_34_286_36_2022_1_本科一批,34_286,34,286,江西,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),中外合作办学,本科一批,理科,2,-,68000,（中外合作办学）,
plan_34_336_37_2022_3_提前批,34_336,34,336,山东,2022,俄语,本科 (1),文学 (7),外国语言文学类 (48),普通类,提前批,综合,3,4,4000,,
plan_34_1801727_41_2022_2_本科一批,34_1801727,34,1801727,河南,2022,国际组织与全球治理,本科 (1),法学 (5),政治学类 (40),普通类,本科一批,文科,3,四年,5500,,
plan_34_281_41_2022_2_本科一批,34_281,34,281,河南,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,文科,1,四年,4000,,
