plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_124_6145_11_2022_3_本科批,124_6145,124,6145,北京,2022,核工程与核技术,本科 (1),工学 (10),核工程类 (84),普通类,本科批,综合,3,四年,4500,,物理必选
plan_124_6145_11_2022_3_本科批,124_6145,124,6145,北京,2022,核工程与核技术,本科 (1),工学 (10),核工程类 (84),普通类,本科批,综合,3,四年,4500,,物理必选
plan_124_6168_13_2022_2074_本科批,124_6168,124,6168,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,7,四年,4000,,
plan_124_6145_13_2022_2073_本科批,124_6145,124,6145,河北,2022,核工程与核技术,本科 (1),工学 (10),核工程类 (84),普通类,本科批,物理类,12,四年,4500,,
plan_124_6140_13_2022_2073_本科批,124_6140,124,6140,河北,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,物理类,7,四年,4000,,
plan_124_6185_13_2022_2073_本科批,124_6185,124,6185,河北,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,7,四年,4000,,
plan_124_6168_13_2022_2073_本科批,124_6168,124,6168,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,物理类,2,四年,4000,,
plan_124_6139_13_2022_2073_本科提前批B段,124_6139,124,6139,河北,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科提前批B段,物理类,2,4,5500,（国家专项计划）（不招单色异常考生）,
plan_124_1470641_13_2022_2073_本科提前批B段,124_1470641,124,1470641,河北,2022,应用物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科提前批B段,物理类,1,4,5000,（国家专项计划）,
plan_124_1470641_13_2022_2073_本科提前批C段,124_1470641,124,1470641,河北,2022,应用物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科提前批C段,物理类,1,4,5000,（高校专项计划）,
plan_124_6164_14_2022_2_本科一批A段,124_6164,124,6164,山西,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,6,-,4000,,
plan_124_6175_14_2022_2_本科一批A段,124_6175,124,6175,山西,2022,社会学,本科 (1),法学 (5),社会学类 (41),普通类,本科一批A段,文科,5,-,5000,,
plan_124_6177_14_2022_2_本科一批A段,124_6177,124,6177,山西,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科一批A段,文科,2,-,5000,,
plan_124_6145_14_2022_1_本科一批A段,124_6145,124,6145,山西,2022,核工程与核技术,本科 (1),工学 (10),核工程类 (84),普通类,本科一批A段,理科,7,-,4500,,
plan_124_6139_14_2022_1_本科一批A段,124_6139,124,6139,山西,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批A段,理科,5,-,5500,,
plan_124_6140_14_2022_1_本科一批A段,124_6140,124,6140,山西,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科一批A段,理科,3,-,4000,,
plan_124_6185_14_2022_1_本科一批A段,124_6185,124,6185,山西,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,3,-,4000,,
plan_124_6145_15_2022_1_本科一批,124_6145,124,6145,内蒙古,2022,核工程与核技术,本科 (1),工学 (10),核工程类 (84),普通类,本科一批,理科,3,四年,4500,（校本部）,
plan_124_6185_15_2022_1_本科一批,124_6185,124,6185,内蒙古,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批,理科,3,四年,4000,（校本部）,
plan_124_6140_15_2022_1_本科一批,124_6140,124,6140,内蒙古,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科一批,理科,2,四年,4000,（校本部）,
plan_124_6175_15_2022_2_本科一批,124_6175,124,6175,内蒙古,2022,社会学,本科 (1),法学 (5),社会学类 (41),普通类,本科一批,文科,4,四年,5000,（校本部）,
plan_124_6168_15_2022_2_本科一批,124_6168,124,6168,内蒙古,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,文科,3,四年,4000,（校本部）,
plan_124_6177_15_2022_2_本科一批,124_6177,124,6177,内蒙古,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科一批,文科,2,四年,5000,（校本部）,
plan_124_6140_15_2022_1_本科提前批A段,124_6140,124,6140,内蒙古,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科提前批A段,理科,1,4,4000,（文化课成绩须达到本科一批录取最低控制分数线）,
plan_124_6140_15_2022_1_本科提前批B段,124_6140,124,6140,内蒙古,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科提前批B段,理科,1,4,4000,,
plan_124_6145_21_2022_2073_本科批,124_6145,124,6145,辽宁,2022,核工程与核技术,本科 (1),工学 (10),核工程类 (84),普通类,本科批,物理类,10,四年,4500,,
plan_124_6185_21_2022_2073_本科批,124_6185,124,6185,辽宁,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,6,四年,4000,,
plan_124_6140_21_2022_2073_本科批,124_6140,124,6140,辽宁,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,物理类,5,四年,4000,,
plan_124_6175_22_2022_2_本科一批A段,124_6175,124,6175,吉林,2022,社会学,本科 (1),法学 (5),社会学类 (41),普通类,本科一批A段,文科,5,-,,（学费待定）,
plan_124_6177_22_2022_2_本科一批A段,124_6177,124,6177,吉林,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科一批A段,文科,3,-,,（学费待定）,
plan_124_6168_22_2022_2_本科一批A段,124_6168,124,6168,吉林,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,2,-,,（学费待定）,
plan_124_6145_22_2022_1_本科一批A段,124_6145,124,6145,吉林,2022,核工程与核技术,本科 (1),工学 (10),核工程类 (84),普通类,本科一批A段,理科,8,-,4500,,
plan_124_6185_22_2022_1_本科一批A段,124_6185,124,6185,吉林,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,5,-,4000,,
plan_124_6140_22_2022_1_本科一批A段,124_6140,124,6140,吉林,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科一批A段,理科,4,-,4000,,
plan_124_6145_23_2022_1_本科一批A段,124_6145,124,6145,黑龙江,2022,核工程与核技术,本科 (1),工学 (10),核工程类 (84),普通类,本科一批A段,理科,42,四年,4500,,
plan_124_6185_23_2022_1_本科一批A段,124_6185,124,6185,黑龙江,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,16,四年,4000,,
plan_124_6140_23_2022_1_本科一批A段,124_6140,124,6140,黑龙江,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科一批A段,理科,13,四年,4000,,
plan_124_1470641_23_2022_1_本科一批A段,124_1470641,124,1470641,黑龙江,2022,应用物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科一批A段,理科,2,四年,5000,,
plan_124_6168_23_2022_2_本科一批A段,124_6168,124,6168,黑龙江,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,18,四年,4000,,
plan_124_6175_23_2022_2_本科一批A段,124_6175,124,6175,黑龙江,2022,社会学,本科 (1),法学 (5),社会学类 (41),普通类,本科一批A段,文科,17,四年,5000,,
plan_124_6177_23_2022_2_本科一批A段,124_6177,124,6177,黑龙江,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科一批A段,文科,8,四年,5000,,
