plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_100_143540_11_2022_3_本科批,100_143540,100,143540,北京,2022,环境工程,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科批,综合,1,四年,4920,,物/化/生(3选1)
plan_100_143540_11_2022_3_本科批,100_143540,100,143540,北京,2022,环境工程,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科批,综合,1,四年,4920,,物/化/生(3选1)
plan_100_143450_13_2022_2074_本科批,100_143450,100,143450,河北,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科批,历史类,4,四年,4440,,
plan_100_143445_13_2022_2073_本科批,100_143445,100,143445,河北,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,4,四年,4440,,
plan_100_143447_13_2022_2073_本科批,100_143447,100,143447,河北,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,物理类,4,四年,4440,,
plan_100_143450_13_2022_2073_本科批,100_143450,100,143450,河北,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科批,物理类,4,四年,4440,,
plan_100_143452_13_2022_2073_本科批,100_143452,100,143452,河北,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,物理类,4,四年,4440,,
plan_100_143453_13_2022_2073_本科批,100_143453,100,143453,河北,2022,广告学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,物理类,4,四年,4440,,
plan_100_143457_13_2022_2073_本科批,100_143457,100,143457,河北,2022,财务管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,4,四年,4440,,
plan_100_143458_13_2022_2073_本科批,100_143458,100,143458,河北,2022,人力资源管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,4,四年,4440,,
plan_100_143500_13_2022_2073_本科批,100_143500,100,143500,河北,2022,生物科学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,4,四年,4920,,
plan_100_143502_13_2022_2073_本科批,100_143502,100,143502,河北,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批,物理类,4,四年,4920,,
plan_100_143504_13_2022_2073_本科批,100_143504,100,143504,河北,2022,电子科学与技术,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,4,四年,4920,,
plan_100_143506_13_2022_2073_本科批,100_143506,100,143506,河北,2022,物联网工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,4,四年,4920,,
plan_100_143508_13_2022_2073_本科批,100_143508,100,143508,河北,2022,道路桥梁与渡河工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,4,四年,4920,,
plan_100_143511_13_2022_2073_本科批,100_143511,100,143511,河北,2022,农业机械化及其自动化,本科 (1),工学 (10),农业工程类 (85),普通类,本科批,物理类,4,四年,4920,,
plan_100_143512_13_2022_2073_本科批,100_143512,100,143512,河北,2022,农业水利工程,本科 (1),工学 (10),农业工程类 (85),普通类,本科批,物理类,4,四年,4920,,
plan_100_143515_13_2022_2073_本科批,100_143515,100,143515,河北,2022,食品质量与安全,本科 (1),工学 (10),食品科学与工程类 (89),普通类,本科批,物理类,4,四年,4920,,
plan_100_143516_13_2022_2073_本科批,100_143516,100,143516,河北,2022,建筑学,本科 (1),工学 (10),建筑类 (90),普通类,本科批,物理类,4,五年,6600,,
plan_100_143517_13_2022_2073_本科批,100_143517,100,143517,河北,2022,风景园林,本科 (1),工学 (10),建筑类 (90),普通类,本科批,物理类,4,五年,6600,,
plan_100_143519_13_2022_2073_本科批,100_143519,100,143519,河北,2022,农学,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,物理类,4,四年,4440,,
plan_100_143520_13_2022_2073_本科批,100_143520,100,143520,河北,2022,植物保护,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,物理类,4,四年,4440,,
plan_100_143523_13_2022_2073_本科批,100_143523,100,143523,河北,2022,动物科学,本科 (1),农学 (11),动物生产类 (96),普通类,本科批,物理类,4,四年,4440,,
plan_100_143526_13_2022_2073_本科批,100_143526,100,143526,河北,2022,林学,本科 (1),农学 (11),林学类 (98),普通类,本科批,物理类,4,四年,4440,,
plan_100_143532_13_2022_2073_本科批,100_143532,100,143532,河北,2022,工程造价,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,4,四年,4440,,
plan_100_143540_13_2022_2073_本科批,100_143540,100,143540,河北,2022,环境工程,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科批,物理类,4,四年,4920,,
plan_100_143541_13_2022_2073_本科批,100_143541,100,143541,河北,2022,环境生态工程,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科批,物理类,4,四年,4920,,
plan_100_143547_13_2022_2073_本科批,100_143547,100,143547,河北,2022,农业资源与环境,本科 (1),农学 (11),自然保护与环境生态类 (95),普通类,本科批,物理类,4,四年,4440,,
plan_100_1801479_13_2022_2073_本科批,100_1801479,100,1801479,河北,2022,食品营养与健康,本科 (1),工学 (10),食品科学与工程类 (89),普通类,本科批,物理类,4,四年,4920,,
plan_100_1801480_13_2022_2073_本科批,100_1801480,100,1801480,河北,2022,智慧农业,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,物理类,4,四年,4440,,
plan_100_1801481_13_2022_2073_本科批,100_1801481,100,1801481,河北,2022,草坪科学与工程,本科 (1),农学 (11),草学类 (100),普通类,本科批,物理类,4,四年,4440,,
plan_100_143445_15_2022_1_本科一批,100_143445,100,143445,内蒙古,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批,理科,3,四年,4440,（成都校区）,
plan_100_143448_15_2022_1_本科一批,100_143448,100,143448,内蒙古,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,理科,3,四年,4440,（雅安校区）,
plan_100_143459_15_2022_1_本科一批,100_143459,100,143459,内蒙古,2022,审计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批,理科,3,四年,4440,（成都校区）,
plan_100_143465_15_2022_1_本科一批,100_143465,100,143465,内蒙古,2022,土地资源管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科一批,理科,3,四年,4440,（成都校区）,
plan_100_143499_15_2022_1_本科一批,100_143499,100,143499,内蒙古,2022,化学生物学,本科 (1),理学 (9),化学类 (53),普通类,本科一批,理科,3,四年,4920,（雅安校区）,
plan_100_143500_15_2022_1_本科一批,100_143500,100,143500,内蒙古,2022,生物科学,本科 (1),理学 (9),生物科学类 (60),普通类,本科一批,理科,3,四年,4920,（雅安校区）,
plan_100_143503_15_2022_1_本科一批,100_143503,100,143503,内蒙古,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科一批,理科,3,四年,4920,（雅安校区）,
plan_100_143504_15_2022_1_本科一批,100_143504,100,143504,内蒙古,2022,电子科学与技术,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批,理科,3,四年,4920,（雅安校区）,
plan_100_143507_15_2022_1_本科一批,100_143507,100,143507,内蒙古,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科一批,理科,3,四年,4920,（都江堰校区）,
plan_100_143511_15_2022_1_本科一批,100_143511,100,143511,内蒙古,2022,农业机械化及其自动化,本科 (1),工学 (10),农业工程类 (85),普通类,本科一批,理科,3,四年,4920,（雅安校区）,
plan_100_143512_15_2022_1_本科一批,100_143512,100,143512,内蒙古,2022,农业水利工程,本科 (1),工学 (10),农业工程类 (85),普通类,本科一批,理科,3,四年,4920,（雅安校区）,
plan_100_143515_15_2022_1_本科一批,100_143515,100,143515,内蒙古,2022,食品质量与安全,本科 (1),工学 (10),食品科学与工程类 (89),普通类,本科一批,理科,3,四年,4920,（雅安校区）,
plan_100_143518_15_2022_1_本科一批,100_143518,100,143518,内蒙古,2022,生物工程,本科 (1),工学 (10),生物工程类 (92),普通类,本科一批,理科,3,四年,4920,（雅安校区）,
plan_100_143523_15_2022_1_本科一批,100_143523,100,143523,内蒙古,2022,动物科学,本科 (1),农学 (11),动物生产类 (96),普通类,本科一批,理科,3,四年,4440,（成都校区）,
plan_100_143524_15_2022_1_本科一批,100_143524,100,143524,内蒙古,2022,动物医学,本科 (1),农学 (11),动物医学类 (97),普通类,本科一批,理科,3,五年,4440,（成都校区）,
plan_100_143529_15_2022_1_本科一批,100_143529,100,143529,内蒙古,2022,草业科学,本科 (1),农学 (11),草学类 (100),普通类,本科一批,理科,3,四年,4440,（成都校区）,
plan_100_143530_15_2022_1_本科一批,100_143530,100,143530,内蒙古,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科一批,理科,3,四年,4920,（成都校区）,
plan_100_143543_15_2022_1_本科一批,100_143543,100,143543,内蒙古,2022,园艺,本科 (1),农学 (11),植物生产类 (94),普通类,本科一批,理科,3,四年,4440,（成都校区）,
plan_100_143551_15_2022_1_本科一批,100_143551,100,143551,内蒙古,2022,工程管理,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科一批,理科,3,四年,4440,（都江堰校区）,
plan_100_143453_15_2022_1_本科一批,100_143453,100,143453,内蒙古,2022,广告学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科一批,理科,2,四年,4440,（雅安校区）,
plan_100_143457_15_2022_1_本科一批,100_143457,100,143457,内蒙古,2022,财务管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批,理科,2,四年,4440,（成都校区）,
plan_100_143514_15_2022_1_本科一批,100_143514,100,143514,内蒙古,2022,食品科学与工程,本科 (1),工学 (10),食品科学与工程类 (89),普通类,本科一批,理科,2,四年,4920,（雅安校区）,
plan_100_143526_15_2022_1_本科一批,100_143526,100,143526,内蒙古,2022,林学,本科 (1),农学 (11),林学类 (98),普通类,本科一批,理科,2,四年,4440,（成都校区）,
plan_100_143445_23_2022_1_本科一批A段,100_143445,100,143445,黑龙江,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批A段,理科,2,四年,4440,,
plan_100_143519_23_2022_1_本科一批A段,100_143519,100,143519,黑龙江,2022,农学,本科 (1),农学 (11),植物生产类 (94),普通类,本科一批A段,理科,2,四年,4440,,
plan_100_143520_23_2022_1_本科一批A段,100_143520,100,143520,黑龙江,2022,植物保护,本科 (1),农学 (11),植物生产类 (94),普通类,本科一批A段,理科,2,四年,4440,,
plan_100_143523_23_2022_1_本科一批A段,100_143523,100,143523,黑龙江,2022,动物科学,本科 (1),农学 (11),动物生产类 (96),普通类,本科一批A段,理科,2,四年,4440,,
plan_100_143529_23_2022_1_本科一批A段,100_143529,100,143529,黑龙江,2022,草业科学,本科 (1),农学 (11),草学类 (100),普通类,本科一批A段,理科,2,四年,4440,,
plan_100_143549_23_2022_1_本科一批A段,100_143549,100,143549,黑龙江,2022,森林保护,本科 (1),农学 (11),林学类 (98),普通类,本科一批A段,理科,2,四年,4440,,
plan_100_143457_32_2022_2073_本科批,100_143457,100,143457,江苏,2022,财务管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,3,四年,4440,,首选物理，再选不限
plan_100_143507_32_2022_2073_本科批,100_143507,100,143507,江苏,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,3,四年,4920,,首选物理，再选不限
plan_100_143511_32_2022_2073_本科批,100_143511,100,143511,江苏,2022,农业机械化及其自动化,本科 (1),工学 (10),农业工程类 (85),普通类,本科批,物理类,3,四年,4920,,首选物理，再选不限
plan_100_143513_32_2022_2073_本科批,100_143513,100,143513,江苏,2022,环境科学,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科批,物理类,3,四年,4920,,首选物理，再选不限
plan_100_143514_32_2022_2073_本科批,100_143514,100,143514,江苏,2022,食品科学与工程,本科 (1),工学 (10),食品科学与工程类 (89),普通类,本科批,物理类,4,四年,4920,,首选物理，再选化学/生物(2选1)
plan_100_143457_32_2022_2073_本科批,100_143457,100,143457,江苏,2022,财务管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,3,四年,4440,,首选物理，再选不限
plan_100_143507_32_2022_2073_本科批,100_143507,100,143507,江苏,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,3,四年,4920,,首选物理，再选不限
plan_100_143511_32_2022_2073_本科批,100_143511,100,143511,江苏,2022,农业机械化及其自动化,本科 (1),工学 (10),农业工程类 (85),普通类,本科批,物理类,3,四年,4920,,首选物理，再选不限
plan_100_143513_32_2022_2073_本科批,100_143513,100,143513,江苏,2022,环境科学,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科批,物理类,3,四年,4920,,首选物理，再选不限
plan_100_143517_32_2022_2073_本科批,100_143517,100,143517,江苏,2022,风景园林,本科 (1),工学 (10),建筑类 (90),普通类,本科批,物理类,3,五年,6600,,首选物理，再选生物/地理(2选1)
plan_100_143518_32_2022_2073_本科批,100_143518,100,143518,江苏,2022,生物工程,本科 (1),工学 (10),生物工程类 (92),普通类,本科批,物理类,3,四年,4920,,首选物理，再选化学/生物(2选1)
plan_100_143514_32_2022_2073_本科批,100_143514,100,143514,江苏,2022,食品科学与工程,本科 (1),工学 (10),食品科学与工程类 (89),普通类,本科批,物理类,4,四年,4920,,首选物理，再选化学/生物(2选1)
plan_100_143518_32_2022_2073_本科批,100_143518,100,143518,江苏,2022,生物工程,本科 (1),工学 (10),生物工程类 (92),普通类,本科批,物理类,3,四年,4920,,首选物理，再选化学/生物(2选1)
plan_100_143517_32_2022_2073_本科批,100_143517,100,143517,江苏,2022,风景园林,本科 (1),工学 (10),建筑类 (90),普通类,本科批,物理类,3,五年,6600,,首选物理，再选生物/地理(2选1)
plan_100_143522_33_2022_3_普通类平行录取,100_143522,100,143522,浙江,2022,茶学,本科 (1),农学 (11),植物生产类 (94),普通类,普通类平行录取,综合,5,四年,4440,（成都校区）,
plan_100_143543_33_2022_3_普通类平行录取,100_143543,100,143543,浙江,2022,园艺,本科 (1),农学 (11),植物生产类 (94),普通类,普通类平行录取,综合,5,四年,4440,（成都校区）,
plan_100_143444_33_2022_3_普通类平行录取,100_143444,100,143444,浙江,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,普通类平行录取,综合,4,四年,4440,（成都校区）,
plan_100_143447_33_2022_3_普通类平行录取,100_143447,100,143447,浙江,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,普通类平行录取,综合,4,四年,4440,（成都校区）,
plan_100_143452_33_2022_3_普通类平行录取,100_143452,100,143452,浙江,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,普通类平行录取,综合,4,四年,4440,（雅安校区）,
plan_100_143453_33_2022_3_普通类平行录取,100_143453,100,143453,浙江,2022,广告学,本科 (1),文学 (7),新闻传播学类 (49),普通类,普通类平行录取,综合,4,四年,4440,（雅安校区）,
plan_100_143454_33_2022_3_普通类平行录取,100_143454,100,143454,浙江,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,普通类平行录取,综合,4,四年,4440,（成都校区）,
plan_100_143457_33_2022_3_普通类平行录取,100_143457,100,143457,浙江,2022,财务管理,本科 (1),管理学 (13),工商管理类 (113),普通类,普通类平行录取,综合,4,四年,4440,（成都校区）,
plan_100_143458_33_2022_3_普通类平行录取,100_143458,100,143458,浙江,2022,人力资源管理,本科 (1),管理学 (13),工商管理类 (113),普通类,普通类平行录取,综合,4,四年,4440,（雅安校区）,
plan_100_143462_33_2022_3_普通类平行录取,100_143462,100,143462,浙江,2022,农林经济管理,本科 (1),管理学 (13),农业经济管理类 (114),普通类,普通类平行录取,综合,4,四年,4440,（成都校区）,
plan_100_143463_33_2022_3_普通类平行录取,100_143463,100,143463,浙江,2022,农村区域发展,本科 (1),管理学 (13),农业经济管理类 (114),普通类,普通类平行录取,综合,4,四年,4440,（成都校区）,
plan_100_143465_33_2022_3_普通类平行录取,100_143465,100,143465,浙江,2022,土地资源管理,本科 (1),管理学 (13),公共管理类 (115),普通类,普通类平行录取,综合,4,四年,4440,（成都校区）,
plan_100_143467_33_2022_3_普通类平行录取,100_143467,100,143467,浙江,2022,旅游管理,本科 (1),管理学 (13),旅游管理类 (120),普通类,普通类平行录取,综合,4,四年,4440,（都江堰校区）,
plan_100_143497_33_2022_3_普通类平行录取,100_143497,100,143497,浙江,2022,信息与计算科学,本科 (1),理学 (9),数学类 (51),普通类,普通类平行录取,综合,4,四年,4920,（雅安校区）,
plan_100_143498_33_2022_3_普通类平行录取,100_143498,100,143498,浙江,2022,应用化学,本科 (1),理学 (9),化学类 (53),普通类,普通类平行录取,综合,4,四年,4920,（雅安校区）,
plan_100_143499_33_2022_3_普通类平行录取,100_143499,100,143499,浙江,2022,化学生物学,本科 (1),理学 (9),化学类 (53),普通类,普通类平行录取,综合,4,四年,4920,（雅安校区）,
plan_100_143500_33_2022_3_普通类平行录取,100_143500,100,143500,浙江,2022,生物科学,本科 (1),理学 (9),生物科学类 (60),普通类,普通类平行录取,综合,4,四年,4920,（雅安校区）,
plan_100_143504_33_2022_3_普通类平行录取,100_143504,100,143504,浙江,2022,电子科学与技术,本科 (1),工学 (10),电子信息类 (69),普通类,普通类平行录取,综合,4,四年,4920,（雅安校区）,
plan_100_143505_33_2022_3_普通类平行录取,100_143505,100,143505,浙江,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,普通类平行录取,综合,4,四年,4920,（雅安校区）,
plan_100_143506_33_2022_3_普通类平行录取,100_143506,100,143506,浙江,2022,物联网工程,本科 (1),工学 (10),计算机类 (71),普通类,普通类平行录取,综合,4,四年,4920,（雅安校区）,
plan_100_143507_33_2022_3_普通类平行录取,100_143507,100,143507,浙江,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,普通类平行录取,综合,4,四年,4920,（都江堰校区）,
plan_100_143509_33_2022_3_普通类平行录取,100_143509,100,143509,浙江,2022,水利水电工程,本科 (1),工学 (10),水利类 (73),普通类,普通类平行录取,综合,4,四年,4920,（雅安校区）,
plan_100_143512_33_2022_3_普通类平行录取,100_143512,100,143512,浙江,2022,农业水利工程,本科 (1),工学 (10),农业工程类 (85),普通类,普通类平行录取,综合,4,四年,4920,（雅安校区）,
