plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_99_4177_11_2022_3_本科批,99_4177,99,4177,北京,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,2,四年,4440,,不限
plan_99_92785_11_2022_3_本科批,99_92785,99,92785,北京,2022,国际政治,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科批,综合,2,四年,4440,,不限
plan_99_92787_11_2022_3_本科批,99_92787,99,92787,北京,2022,西班牙语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,2,四年,4440,,不限
plan_99_4171_11_2022_3_本科批,99_4171,99,4171,北京,2022,哲学,本科(普通) (1),哲学 (3),哲学类 (34),普通类,本科批,综合,1,四年,4440,,不限
plan_99_4204_11_2022_3_本科批,99_4204,99,4204,北京,2022,高分子材料与工程,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,综合,6,四年,4920,,物理必选
plan_99_4244_11_2022_3_本科批,99_4244,99,4244,北京,2022,药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科批,综合,5,四年,4920,,物/化/生(3选1)
plan_99_180340_11_2022_3_本科批,99_180340,99,180340,北京,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),中外合作办学,本科批,综合,5,四年,65000,,物理必选
plan_99_4219_11_2022_3_本科批,99_4219,99,4219,北京,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,4,四年,9960,,物理必选
plan_99_180339_11_2022_3_本科批,99_180339,99,180339,北京,2022,工业工程,本科(普通) (1),管理学 (13),工业工程类 (118),中外合作办学,本科批,综合,4,四年,65000,,物理必选
plan_99_1469546_11_2022_3_本科批,99_1469546,99,1469546,北京,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),中外合作办学,本科批,综合,4,四年,60000,,物理必选
plan_99_92782_11_2022_3_本科批,99_92782,99,92782,北京,2022,网络空间安全,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,3,四年,4920,,物理必选
plan_99_4177_11_2022_3_本科批,99_4177,99,4177,北京,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,2,四年,4440,,不限
plan_99_4212_11_2022_3_本科批,99_4212,99,4212,北京,2022,核工程与核技术,本科(普通) (1),工学 (10),核工程类 (84),普通类,本科批,综合,2,四年,4920,,物理必选
plan_99_4237_11_2022_3_本科批,99_4237,99,4237,北京,2022,卫生检验与检疫,本科(普通) (1),医学 (12),医学技术类 (110),普通类,本科批,综合,2,四年,4920,,物/化/生(3选1)
plan_99_92785_11_2022_3_本科批,99_92785,99,92785,北京,2022,国际政治,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科批,综合,2,四年,4440,,不限
plan_99_92787_11_2022_3_本科批,99_92787,99,92787,北京,2022,西班牙语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,2,四年,4440,,不限
plan_99_268811_11_2022_3_本科批,99_268811,99,268811,北京,2022,材料科学与工程,本科(普通) (1),工学 (10),材料类 (66),中外合作办学,本科批,综合,2,四年,65000,,物理必选
plan_99_4171_11_2022_3_本科批,99_4171,99,4171,北京,2022,哲学,本科(普通) (1),哲学 (3),哲学类 (34),普通类,本科批,综合,1,四年,4440,,不限
plan_99_92757_11_2022_3_本科批,99_92757,99,92757,北京,2022,历史学类,本科(普通) (1),历史学 (8),历史学类 (50),普通类,本科批,综合,1,四年,4440,,历史/地理(2选1)
plan_99_4204_11_2022_3_本科批,99_4204,99,4204,北京,2022,高分子材料与工程,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,综合,6,四年,4920,,物理必选
plan_99_4219_11_2022_3_本科批,99_4219,99,4219,北京,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,4,四年,9960,,物理必选
plan_99_92782_11_2022_3_本科批,99_92782,99,92782,北京,2022,网络空间安全,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,3,四年,4920,,物理必选
plan_99_4212_11_2022_3_本科批,99_4212,99,4212,北京,2022,核工程与核技术,本科(普通) (1),工学 (10),核工程类 (84),普通类,本科批,综合,2,四年,4920,,物理必选
plan_99_4244_11_2022_3_本科批,99_4244,99,4244,北京,2022,药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科批,综合,5,四年,4920,,物/化/生(3选1)
plan_99_4237_11_2022_3_本科批,99_4237,99,4237,北京,2022,卫生检验与检疫,本科(普通) (1),医学 (12),医学技术类 (110),普通类,本科批,综合,2,四年,4920,,物/化/生(3选1)
plan_99_92757_11_2022_3_本科批,99_92757,99,92757,北京,2022,历史学类,本科(普通) (1),历史学 (8),历史学类 (50),普通类,本科批,综合,1,四年,4440,,历史/地理(2选1)
