plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_33_98942_11_2022_3_本科批,33_98942,33,98942,北京,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,4,四年,5520,,不限
plan_33_254_11_2022_3_本科批,33_254,33,254,北京,2022,物流管理,本科(普通) (1),管理学 (13),物流管理与工程类 (117),普通类,本科批,综合,3,四年,5200,,不限
plan_33_255_11_2022_3_本科批,33_255,33,255,北京,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,3,四年,5200,,不限
plan_33_265_11_2022_3_本科批,33_265,33,265,北京,2022,金融工程,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,3,四年,5200,,不限
plan_33_98942_11_2022_3_本科批,33_98942,33,98942,北京,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,4,四年,5520,,不限
plan_33_254_11_2022_3_本科批,33_254,33,254,北京,2022,物流管理,本科(普通) (1),管理学 (13),物流管理与工程类 (117),普通类,本科批,综合,3,四年,5200,,不限
plan_33_255_11_2022_3_本科批,33_255,33,255,北京,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,3,四年,5200,,不限
plan_33_265_11_2022_3_本科批,33_265,33,265,北京,2022,金融工程,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,3,四年,5200,,不限
plan_33_262_11_2022_3_本科提前批A段,33_262,33,262,北京,2022,航海技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,3,4,5200,,物理必选
plan_33_98953_11_2022_3_本科提前批A段,33_98953,33,98953,北京,2022,轮机工程,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,3,4,5200,（海上专业）,物理必选
plan_33_262_11_2022_3_本科提前批A段,33_262,33,262,北京,2022,航海技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,3,4,5200,,物理必选
plan_33_98953_11_2022_3_本科提前批A段,33_98953,33,98953,北京,2022,轮机工程,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,3,4,5200,（海上专业）,物理必选
plan_33_262_12_2022_3_本科提前批A段,33_262,33,262,天津,2022,航海技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,2,4,5200,"（1.辨色力正常（无色盲无色弱）,无复视,身高1.65米及以上,双眼裸视力均达4.7及以上,或双眼裸视力均达4.0及以上且矫正视力均达4.8及以上;2.高考文化成绩达到特殊类型资格考生最低录取控制参考线;3.工作性质特殊,不宜女生报考;4.教学外语课程主要开设英语课;5.其它见招生章程）（校本部）",物理必选
plan_33_269_12_2022_3_本科提前批A段,33_269,33,269,天津,2022,船舶电子电气工程,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,2,4,5200,"（1.无红绿色盲,无复视,身高1.60米及以上,双眼裸视力均达4.6及以上,或双眼裸视力均达4.0及以上且矫正视力均达4.6及以上;2.高考文化成绩达到特殊类型资格考生最低录取控制参考线;3.工作性质特殊,不宜女生报考;4.教学外语课程主要开设英语课;5.其它见招生章程）（校本部）",物理必选
plan_33_98953_12_2022_3_本科提前批A段,33_98953,33,98953,天津,2022,轮机工程,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,2,4,5200,"（海上专业）（1.无红绿色盲,无复视,身高1.60米及以上,双眼裸视力均达4.6及以上,或双眼裸视力均达4.0及以上且矫正视力均达4.6及以上;2.高考文化成绩达到特殊类型资格考生最低录取控制参考线;3.工作性质特殊,不宜女生报考;4.教学外语课程主要开设英语课;5.其它见招生章程）（校本部）",物理必选
plan_33_262_12_2022_3_本科提前批A段,33_262,33,262,天津,2022,航海技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,2,4,5200,"（1.辨色力正常（无色盲无色弱）,无复视,身高1.65米及以上,双眼裸视力均达4.7及以上,或双眼裸视力均达4.0及以上且矫正视力均达4.8及以上;2.高考文化成绩达到特殊类型资格考生最低录取控制参考线;3.工作性质特殊,不宜女生报考;4.教学外语课程主要开设英语课;5.其它见招生章程）（校本部）",物理必选
plan_33_269_12_2022_3_本科提前批A段,33_269,33,269,天津,2022,船舶电子电气工程,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,2,4,5200,"（1.无红绿色盲,无复视,身高1.60米及以上,双眼裸视力均达4.6及以上,或双眼裸视力均达4.0及以上且矫正视力均达4.6及以上;2.高考文化成绩达到特殊类型资格考生最低录取控制参考线;3.工作性质特殊,不宜女生报考;4.教学外语课程主要开设英语课;5.其它见招生章程）（校本部）",物理必选
plan_33_98953_12_2022_3_本科提前批A段,33_98953,33,98953,天津,2022,轮机工程,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,2,4,5200,"（海上专业）（1.无红绿色盲,无复视,身高1.60米及以上,双眼裸视力均达4.6及以上,或双眼裸视力均达4.0及以上且矫正视力均达4.6及以上;2.高考文化成绩达到特殊类型资格考生最低录取控制参考线;3.工作性质特殊,不宜女生报考;4.教学外语课程主要开设英语课;5.其它见招生章程）（校本部）",物理必选
plan_33_98942_13_2022_2074_本科批,33_98942,33,98942,河北,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,8,四年,5520,,
