plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_89_145275_11_2022_3_本科批,89_145275,89,145275,北京,2022,传播学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,2,四年,4400,,不限
plan_89_3694_11_2022_3_本科批,89_3694,89,3694,北京,2022,食品卫生与营养学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,综合,2,四年,5800,,物/化/生(3选1)
plan_89_145275_11_2022_3_本科批,89_145275,89,145275,北京,2022,传播学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,2,四年,4400,,不限
plan_89_3694_11_2022_3_本科批,89_3694,89,3694,北京,2022,食品卫生与营养学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,综合,2,四年,5800,,物/化/生(3选1)
plan_89_3701_12_2022_3_本科提前批B段,89_3701,89,3701,天津,2022,康复治疗学,本科 (1),医学 (12),医学技术类 (110),普通类,本科提前批B段,综合,8,4,5800,（校本部）,物/化/生(3选1)
plan_89_3691_12_2022_3_本科提前批B段,89_3691,89,3691,天津,2022,临床药学,本科 (1),医学 (12),药学类 (107),普通类,本科提前批B段,综合,3,5,5800,（校本部）,物/化/生(3选1)
plan_89_3701_12_2022_3_本科提前批B段,89_3701,89,3701,天津,2022,康复治疗学,本科 (1),医学 (12),医学技术类 (110),普通类,本科提前批B段,综合,8,4,5800,（校本部）,物/化/生(3选1)
plan_89_3691_12_2022_3_本科提前批B段,89_3691,89,3691,天津,2022,临床药学,本科 (1),医学 (12),药学类 (107),普通类,本科提前批B段,综合,3,5,5800,（校本部）,物/化/生(3选1)
plan_89_145275_13_2022_2074_本科批,89_145275,89,145275,河北,2022,传播学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,5,四年,4400,,
plan_89_3709_13_2022_2073_本科批,89_3709,89,3709,河北,2022,医学信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,4,四年,5400,,
plan_89_145294_13_2022_2073_本科批,89_145294,89,145294,河北,2022,应用统计学,本科 (1),理学 (9),统计学类 (62),普通类,本科批,物理类,4,四年,5400,,
plan_89_145275_13_2022_2073_本科批,89_145275,89,145275,河北,2022,传播学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,物理类,3,四年,4400,,
plan_89_3681_14_2022_1_本科一批B段,89_3681,89,3681,山西,2022,制药工程,本科 (1),工学 (10),化工与制药类 (75),普通类,本科一批B段,理科,16,-,5400,,
plan_89_3701_14_2022_1_本科一批B段,89_3701,89,3701,山西,2022,康复治疗学,本科 (1),医学 (12),医学技术类 (110),普通类,本科一批B段,理科,6,-,5800,,
plan_89_3704_14_2022_1_本科一批B段,89_3704,89,3704,山西,2022,中西医临床医学,本科 (1),医学 (12),中西医结合类 (106),普通类,本科一批B段,理科,5,五年,5800,,
plan_89_804684_14_2022_1_本科一批B段,89_804684,89,804684,山西,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批B段,理科,5,五年,5800,（其他专业方向或备注收集中）,
plan_89_3709_14_2022_1_本科一批B段,89_3709,89,3709,山西,2022,医学信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批B段,理科,4,-,5400,,
plan_89_804684_14_2022_1_本科一批B段,89_804684,89,804684,山西,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批B段,理科,3,五年,5800,（其他专业方向或备注收集中）,
plan_89_1801742_14_2022_1_本科一批B段,89_1801742,89,1801742,山西,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科一批B段,理科,3,五年,5800,,
plan_89_145294_14_2022_1_本科一批B段,89_145294,89,145294,山西,2022,应用统计学,本科 (1),理学 (9),统计学类 (62),普通类,本科一批B段,理科,2,-,5400,,
plan_89_3681_15_2022_1_本科一批,89_3681,89,3681,内蒙古,2022,制药工程,本科 (1),工学 (10),化工与制药类 (75),普通类,本科一批,理科,8,四年,5400,（校本部）（外语语种要求参考《天津中医药大学2022年普通本科招生章程》第十六条）,
plan_89_3701_15_2022_1_本科一批,89_3701,89,3701,内蒙古,2022,康复治疗学,本科 (1),医学 (12),医学技术类 (110),普通类,本科一批,理科,2,四年,5800,（校本部）（外语语种要求参考《天津中医药大学2022年普通本科招生章程》第十六条）,
plan_89_3709_15_2022_1_本科一批,89_3709,89,3709,内蒙古,2022,医学信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批,理科,2,四年,5400,（校本部）（外语语种要求参考《天津中医药大学2022年普通本科招生章程》第十六条）,
plan_89_207743_15_2022_1_本科一批,89_207743,89,207743,内蒙古,2022,临床药学,本科 (1),医学 (12),药学类 (107),中外合作办学,本科一批,理科,2,五年,28000,（校本部）（不录取无该专业志愿的考生，无专业调剂环节；英语高考分数不得低于110分。学费国内28000元/生/年，在英国就读期间学费约2.3万英镑/生/年（由诺丁汉大学依据其当年的学费标准收取）。）,
plan_89_804684_15_2022_1_本科一批,89_804684,89,804684,内蒙古,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批,理科,2,五年,5800,（校本部）（外语语种要求参考《天津中医药大学2022年普通本科招生章程》第十六条）,
plan_89_145275_15_2022_2_本科一批,89_145275,89,145275,内蒙古,2022,传播学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科一批,文科,2,四年,4400,（校本部）（外语语种要求参考《天津中医药大学2022年普通本科招生章程》第十六条）,
plan_89_3704_23_2022_1_本科一批A段,89_3704,89,3704,黑龙江,2022,中西医临床医学,本科 (1),医学 (12),中西医结合类 (106),普通类,本科一批A段,理科,4,五年,5800,,
plan_89_804684_23_2022_1_本科一批A段,89_804684,89,804684,黑龙江,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批A段,理科,3,五年,5800,（其他专业方向或备注正在收集中）,
plan_89_3681_23_2022_1_本科一批A段,89_3681,89,3681,黑龙江,2022,制药工程,本科 (1),工学 (10),化工与制药类 (75),普通类,本科一批A段,理科,2,四年,5400,,
plan_89_3701_23_2022_1_本科一批A段,89_3701,89,3701,黑龙江,2022,康复治疗学,本科 (1),医学 (12),医学技术类 (110),普通类,本科一批A段,理科,2,四年,5800,,
plan_89_145275_23_2022_1_本科一批A段,89_145275,89,145275,黑龙江,2022,传播学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科一批A段,理科,2,四年,4400,,
plan_89_804684_23_2022_1_本科一批A段,89_804684,89,804684,黑龙江,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批A段,理科,2,五年,5800,（其他专业方向或备注正在收集中）,
plan_89_3689_23_2022_2_本科一批A段,89_3689,89,3689,黑龙江,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科一批A段,文科,2,四年,5400,,
plan_89_3689_31_2022_3_本科批,89_3689,89,3689,上海,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批,综合,2,四年,5400,（办学点:校本部）,不限
plan_89_3689_31_2022_3_本科批,89_3689,89,3689,上海,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批,综合,2,四年,5400,（办学点:校本部）,不限
plan_89_3691_31_2022_3_本科批,89_3691,89,3691,上海,2022,临床药学,本科 (1),医学 (12),药学类 (107),普通类,本科批,综合,2,五年,5800,（办学点:校本部）,物/化/生(3选1)
plan_89_145294_31_2022_3_本科批,89_145294,89,145294,上海,2022,应用统计学,本科 (1),理学 (9),统计学类 (62),普通类,本科批,综合,2,四年,5400,（办学点:校本部）,物理必选
plan_89_1801742_31_2022_3_本科批,89_1801742,89,1801742,上海,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,综合,2,五年,5800,（办学点:校本部）,化学、生物(2科必选)
plan_89_145294_31_2022_3_本科批,89_145294,89,145294,上海,2022,应用统计学,本科 (1),理学 (9),统计学类 (62),普通类,本科批,综合,2,四年,5400,（办学点:校本部）,物理必选
plan_89_3691_31_2022_3_本科批,89_3691,89,3691,上海,2022,临床药学,本科 (1),医学 (12),药学类 (107),普通类,本科批,综合,2,五年,5800,（办学点:校本部）,物/化/生(3选1)
plan_89_1801742_31_2022_3_本科批,89_1801742,89,1801742,上海,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,综合,2,五年,5800,（办学点:校本部）,化学、生物(2科必选)
plan_89_145298_32_2022_2074_本科批,89_145298,89,145298,江苏,2022,中医学,本科 (1),医学 (12),中医学类 (105),普通类,本科批,历史类,1,五年,5800,,首选历史，再选化学/生物(2选1)
plan_89_145275_32_2022_2074_本科批,89_145275,89,145275,江苏,2022,传播学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,2,四年,4400,,首选历史，再选不限
plan_89_3701_32_2022_2074_本科批,89_3701,89,3701,江苏,2022,康复治疗学,本科 (1),医学 (12),医学技术类 (110),普通类,本科批,历史类,1,四年,5800,,首选历史，再选化学
plan_89_145298_32_2022_2074_本科批,89_145298,89,145298,江苏,2022,中医学,本科 (1),医学 (12),中医学类 (105),普通类,本科批,历史类,1,五年,5800,,首选历史，再选化学/生物(2选1)
plan_89_145275_32_2022_2074_本科批,89_145275,89,145275,江苏,2022,传播学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,2,四年,4400,,首选历史，再选不限
plan_89_3701_32_2022_2074_本科批,89_3701,89,3701,江苏,2022,康复治疗学,本科 (1),医学 (12),医学技术类 (110),普通类,本科批,历史类,1,四年,5800,,首选历史，再选化学
plan_89_804684_32_2022_2073_本科批,89_804684,89,804684,江苏,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,3,五年,5800,,首选物理，再选化学、生物(2科必选)
