plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_92_3855_11_2022_3_本科提前批A段,92_3855,92,3855,北京,2022,社会体育指导与管理,本科 (1),教育学 (6),体育学类 (46),普通类,本科提前批A段,综合,2,4,4400,,不限
plan_92_3855_11_2022_3_本科提前批A段,92_3855,92,3855,北京,2022,社会体育指导与管理,本科 (1),教育学 (6),体育学类 (46),普通类,本科提前批A段,综合,2,4,4400,,不限
plan_92_3854_13_2022_2074_本科批,92_3854,92,3854,河北,2022,公共事业管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科批,历史类,2,四年,4400,,
plan_92_115802_13_2022_2074_本科批,92_115802,92,115802,河北,2022,康复治疗学,本科 (1),医学 (12),医学技术类 (110),普通类,本科批,历史类,2,四年,5800,,
plan_92_3847_13_2022_2074_本科批,92_3847,92,3847,河北,2022,运动人体科学,本科 (1),教育学 (6),体育学类 (46),普通类,本科批,历史类,1,四年,4400,,
plan_92_3849_13_2022_2074_本科批,92_3849,92,3849,河北,2022,新闻学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,1,四年,4400,,
plan_92_3851_13_2022_2074_本科批,92_3851,92,3851,河北,2022,市场营销,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,1,四年,4400,,
plan_92_3857_13_2022_2074_本科批,92_3857,92,3857,河北,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批,历史类,1,四年,5400,,
plan_92_3858_13_2022_2074_本科批,92_3858,92,3858,河北,2022,运动康复,本科 (1),教育学 (6),体育学类 (46),普通类,本科批,历史类,1,四年,4400,,
plan_92_3847_13_2022_2073_本科批,92_3847,92,3847,河北,2022,运动人体科学,本科 (1),教育学 (6),体育学类 (46),普通类,本科批,物理类,2,四年,4400,,
plan_92_3851_13_2022_2073_本科批,92_3851,92,3851,河北,2022,市场营销,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,2,四年,4400,,
plan_92_3857_13_2022_2073_本科批,92_3857,92,3857,河北,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批,物理类,2,四年,5400,,
plan_92_3858_13_2022_2073_本科批,92_3858,92,3858,河北,2022,运动康复,本科 (1),教育学 (6),体育学类 (46),普通类,本科批,物理类,2,四年,4400,,
plan_92_115802_13_2022_2073_本科批,92_115802,92,115802,河北,2022,康复治疗学,本科 (1),医学 (12),医学技术类 (110),普通类,本科批,物理类,2,四年,5800,,
plan_92_3849_13_2022_2073_本科批,92_3849,92,3849,河北,2022,新闻学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,物理类,1,四年,4400,,
plan_92_3854_13_2022_2073_本科批,92_3854,92,3854,河北,2022,公共事业管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科批,物理类,1,四年,4400,,
plan_92_3854_14_2022_2_本科二批A段,92_3854,92,3854,山西,2022,公共事业管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科二批A段,文科,3,-,4400,,
plan_92_3847_14_2022_1_本科二批A段,92_3847,92,3847,山西,2022,运动人体科学,本科 (1),教育学 (6),体育学类 (46),普通类,本科二批A段,理科,6,-,4400,,
plan_92_115801_14_2022_1_本科二批A段,92_115801,92,115801,山西,2022,体育经济与管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科二批A段,理科,6,-,4400,,
plan_92_3858_14_2022_1_本科二批A段,92_3858,92,3858,山西,2022,运动康复,本科 (1),教育学 (6),体育学类 (46),普通类,本科二批A段,理科,5,-,4400,,
plan_92_115802_14_2022_1_本科二批A段,92_115802,92,115802,山西,2022,康复治疗学,本科 (1),医学 (12),医学技术类 (110),普通类,本科二批A段,理科,5,-,5800,,
plan_92_3851_14_2022_1_本科二批A段,92_3851,92,3851,山西,2022,市场营销,本科 (1),管理学 (13),工商管理类 (113),普通类,本科二批A段,理科,3,-,4400,,
plan_92_3857_14_2022_1_本科二批A段,92_3857,92,3857,山西,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科二批A段,理科,3,-,5400,,
plan_92_115801_15_2022_1_本科二批,92_115801,92,115801,内蒙古,2022,体育经济与管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科二批,理科,5,四年,4400,（校本部）,
plan_92_3847_15_2022_1_本科二批,92_3847,92,3847,内蒙古,2022,运动人体科学,本科 (1),教育学 (6),体育学类 (46),普通类,本科二批,理科,4,四年,4400,（校本部）,
plan_92_3858_15_2022_1_本科二批,92_3858,92,3858,内蒙古,2022,运动康复,本科 (1),教育学 (6),体育学类 (46),普通类,本科二批,理科,3,四年,4400,（校本部）,
plan_92_115802_15_2022_1_本科二批,92_115802,92,115802,内蒙古,2022,康复治疗学,本科 (1),医学 (12),医学技术类 (110),普通类,本科二批,理科,3,四年,5800,（校本部）,
plan_92_1890740_15_2022_1_本科二批,92_1890740,92,1890740,内蒙古,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科二批,理科,3,四年,4400,（校本部）（培养体育产业大数据管理与应用方向人才）,
plan_92_3851_21_2022_2074_本科批,92_3851,92,3851,辽宁,2022,市场营销,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,1,四年,4400,,
plan_92_3857_21_2022_2074_本科批,92_3857,92,3857,辽宁,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批,历史类,1,四年,5400,,
plan_92_115801_21_2022_2074_本科批,92_115801,92,115801,辽宁,2022,体育经济与管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,1,四年,4400,,
