plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_93_3896_11_2022_3_本科批,93_3896,93,3896,北京,2022,食品质量与安全,本科(普通) (1),工学 (10),食品科学与工程类 (89),普通类,本科批,综合,2,四年,5400,,物/化/生(3选1)
plan_93_3867_11_2022_3_本科批,93_3867,93,3867,北京,2022,园艺,本科(普通) (1),农学 (11),植物生产类 (94),普通类,本科批,综合,1,四年,4400,,物/化/生(3选1)
plan_93_3896_11_2022_3_本科批,93_3896,93,3896,北京,2022,食品质量与安全,本科(普通) (1),工学 (10),食品科学与工程类 (89),普通类,本科批,综合,2,四年,5400,,物/化/生(3选1)
plan_93_3867_11_2022_3_本科批,93_3867,93,3867,北京,2022,园艺,本科(普通) (1),农学 (11),植物生产类 (94),普通类,本科批,综合,1,四年,4400,,物/化/生(3选1)
plan_93_3892_13_2022_2074_本科批,93_3892,93,3892,河北,2022,市场营销,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,3,四年,4400,,
plan_93_3859_13_2022_2074_本科批,93_3859,93,3859,河北,2022,国际经济与贸易,本科(普通) (1),经济学 (4),经济与贸易类 (38),普通类,本科批,历史类,2,四年,4400,,
plan_93_3876_13_2022_2074_本科批,93_3876,93,3876,河北,2022,人力资源管理,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,2,四年,4400,,
plan_93_3878_13_2022_2074_本科批,93_3878,93,3878,河北,2022,公共事业管理,本科(普通) (1),管理学 (13),公共管理类 (115),普通类,本科批,历史类,2,四年,4400,,
plan_93_113846_13_2022_2074_本科批,93_113846,93,113846,河北,2022,文化产业管理,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,2,四年,4400,,
plan_93_3875_13_2022_2074_本科批,93_3875,93,3875,河北,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,1,四年,4400,,
plan_93_3877_13_2022_2074_本科批,93_3877,93,3877,河北,2022,旅游管理,本科(普通) (1),管理学 (13),旅游管理类 (120),普通类,本科批,历史类,1,四年,4400,,
plan_93_3879_13_2022_2074_本科批,93_3879,93,3879,河北,2022,农林经济管理,本科(普通) (1),管理学 (13),农业经济管理类 (114),普通类,本科批,历史类,1,四年,4400,,
plan_93_3880_13_2022_2074_本科批,93_3880,93,3880,河北,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,1,四年,5400,,
plan_93_3864_13_2022_2073_本科批,93_3864,93,3864,河北,2022,食品科学与工程,本科(普通) (1),工学 (10),食品科学与工程类 (89),普通类,本科批,物理类,5,四年,5400,,
plan_93_3874_13_2022_2073_本科批,93_3874,93,3874,河北,2022,海洋渔业科学与技术,本科(普通) (1),农学 (11),水产类 (99),普通类,本科批,物理类,5,四年,4400,,
plan_93_3895_13_2022_2073_本科批,93_3895,93,3895,河北,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,物理类,5,四年,8000,,
