plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_78_3050_11_2022_3_本科批,78_3050,78,3050,北京,2022,生物信息学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,综合,1,四年,5400,,化学、生物(2科必选)
plan_78_1800389_11_2022_3_本科批,78_1800389,78,1800389,北京,2022,生物制药,本科 (1),工学 (10),生物工程类 (92),普通类,本科批,综合,1,四年,5400,,化学、生物(2科必选)
plan_78_3050_11_2022_3_本科批,78_3050,78,3050,北京,2022,生物信息学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,综合,1,四年,5400,,化学、生物(2科必选)
plan_78_1800389_11_2022_3_本科批,78_1800389,78,1800389,北京,2022,生物制药,本科 (1),工学 (10),生物工程类 (92),普通类,本科批,综合,1,四年,5400,,化学、生物(2科必选)
plan_78_100128_13_2022_2073_本科提前批B段,78_100128,78,100128,河北,2022,眼视光医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科提前批B段,物理类,1,5,5800,（国家专项计划）（色盲、色弱考生不予录取）,
plan_78_100130_13_2022_2073_本科提前批B段,78_100130,78,100130,河北,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科提前批B段,物理类,1,5,5800,（国家专项计划）（色盲、色弱考生不予录取）,
plan_78_3058_14_2022_1_本科一批A段,78_3058,78,3058,山西,2022,护理学,本科 (1),医学 (12),护理学类 (111),普通类,本科一批A段,理科,4,-,5800,,
plan_78_100130_14_2022_1_本科一批A段,78_100130,78,100130,山西,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科一批A段,理科,4,五年,5800,,
plan_78_3049_14_2022_1_本科一批A段,78_3049,78,3049,山西,2022,生物医学工程,本科 (1),工学 (10),生物医学工程类 (88),普通类,本科一批A段,理科,3,-,5400,,
plan_78_100139_14_2022_1_本科一批A段,78_100139,78,100139,山西,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批A段,理科,2,五年,5800,,
plan_78_169100_14_2022_1_本科一批A段,78_169100,78,169100,山西,2022,智能医学工程,本科 (1),医学 (12),医学技术类 (110),普通类,本科一批A段,理科,2,-,5800,,
plan_78_1800389_14_2022_1_本科一批A段,78_1800389,78,1800389,山西,2022,生物制药,本科 (1),工学 (10),生物工程类 (92),普通类,本科一批A段,理科,2,-,5400,,
plan_78_3050_14_2022_1_本科一批A段,78_3050,78,3050,山西,2022,生物信息学,本科 (1),理学 (9),生物科学类 (60),普通类,本科一批A段,理科,1,-,5400,,
plan_78_100128_14_2022_1_本科一批A段,78_100128,78,100128,山西,2022,眼视光医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批A段,理科,1,五年,5800,,
