plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_85_3460_13_2022_2074_本科批,85_3460,85,3460,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,6,四年,4400,,
plan_85_3452_13_2022_2074_本科批,85_3452,85,3452,河北,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,2,四年,4400,,
plan_85_3453_13_2022_2074_本科批,85_3453,85,3453,河北,2022,财务管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,2,四年,4400,,
plan_85_3464_13_2022_2073_本科批,85_3464,85,3464,河北,2022,工业设计,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,8,四年,5400,,
plan_85_3447_13_2022_2073_本科批,85_3447,85,3447,河北,2022,包装工程,本科 (1),工学 (10),轻工类 (79),普通类,本科批,物理类,6,四年,5400,,
plan_85_3463_13_2022_2073_本科批,85_3463,85,3463,河北,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批,物理类,6,四年,5400,,
plan_85_3482_13_2022_2073_本科批,85_3482,85,3482,河北,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批,物理类,6,四年,5400,,
plan_85_3459_13_2022_2073_本科批,85_3459,85,3459,河北,2022,应用化学,本科 (1),理学 (9),化学类 (53),普通类,本科批,物理类,5,四年,5400,,
plan_85_3460_13_2022_2073_本科批,85_3460,85,3460,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,物理类,5,四年,4400,,
plan_85_3470_13_2022_2073_本科批,85_3470,85,3470,河北,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,5,四年,5400,,
plan_85_3478_13_2022_2073_本科批,85_3478,85,3478,河北,2022,酒店管理,本科 (1),管理学 (13),旅游管理类 (120),普通类,本科批,物理类,5,四年,28000,,
plan_85_3483_13_2022_2073_本科批,85_3483,85,3483,河北,2022,建筑环境与能源应用工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,5,四年,5400,,
plan_85_3494_13_2022_2073_本科批,85_3494,85,3494,河北,2022,宝石及材料工艺学,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,5,四年,5400,,
plan_85_1034003_13_2022_2073_本科批,85_1034003,85,1034003,河北,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,5,四年,5400,,
plan_85_3449_13_2022_2073_本科批,85_3449,85,3449,河北,2022,工程管理,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,4,四年,4400,,
plan_85_3460_14_2022_2_本科一批B段,85_3460,85,3460,山西,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批B段,文科,6,-,4400,,
plan_85_3452_14_2022_2_本科一批B段,85_3452,85,3452,山西,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批B段,文科,3,-,4400,,
plan_85_3453_14_2022_2_本科一批B段,85_3453,85,3453,山西,2022,财务管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批B段,文科,3,-,4400,,
plan_85_3458_14_2022_2_本科一批B段,85_3458,85,3458,山西,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批B段,文科,3,-,5400,,
plan_85_3472_14_2022_2_本科一批B段,85_3472,85,3472,山西,2022,物流管理,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科一批B段,文科,3,-,4400,,
plan_85_3466_14_2022_2_本科一批B段,85_3466,85,3466,山西,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批B段,文科,2,-,5400,,
plan_85_3474_14_2022_1_本科一批B段,85_3474,85,3474,山西,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科一批B段,理科,11,-,5400,,
plan_85_3460_14_2022_1_本科一批B段,85_3460,85,3460,山西,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批B段,理科,6,-,4400,,
plan_85_3469_14_2022_1_本科一批B段,85_3469,85,3469,山西,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科一批B段,理科,6,-,5400,,
plan_85_3483_14_2022_1_本科一批B段,85_3483,85,3483,山西,2022,建筑环境与能源应用工程,本科 (1),工学 (10),土木类 (72),普通类,本科一批B段,理科,6,-,5400,,
plan_85_3471_14_2022_1_本科一批B段,85_3471,85,3471,山西,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批B段,理科,5,-,5400,,
plan_85_3479_14_2022_1_本科一批B段,85_3479,85,3479,山西,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科一批B段,理科,5,-,5400,,
plan_85_1034002_14_2022_1_本科一批B段,85_1034002,85,1034002,山西,2022,新能源科学与工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科一批B段,理科,5,-,5400,,
plan_85_3461_14_2022_1_本科一批B段,85_3461,85,3461,山西,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科一批B段,理科,4,-,5400,,
plan_85_3470_14_2022_1_本科一批B段,85_3470,85,3470,山西,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科一批B段,理科,4,-,5400,,
plan_85_3472_14_2022_1_本科一批B段,85_3472,85,3472,山西,2022,物流管理,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科一批B段,理科,4,-,4400,,
plan_85_3473_14_2022_1_本科一批B段,85_3473,85,3473,山西,2022,电子商务,本科 (1),管理学 (13),电子商务类 (119),普通类,本科一批B段,理科,4,-,4400,,
plan_85_1034003_14_2022_1_本科一批B段,85_1034003,85,1034003,山西,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科一批B段,理科,4,-,5400,,
plan_85_3448_14_2022_1_本科一批B段,85_3448,85,3448,山西,2022,生物工程,本科 (1),工学 (10),生物工程类 (92),普通类,本科一批B段,理科,3,-,5400,,
plan_85_3449_14_2022_1_本科一批B段,85_3449,85,3449,山西,2022,工程管理,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科一批B段,理科,3,-,4400,,
plan_85_3452_14_2022_1_本科一批B段,85_3452,85,3452,山西,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批B段,理科,3,-,4400,,
plan_85_3453_14_2022_1_本科一批B段,85_3453,85,3453,山西,2022,财务管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批B段,理科,3,-,4400,,
