plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_91_3799_11_2022_3_本科批,91_3799,91,3799,北京,2022,建筑环境与能源应用工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,综合,1,四年,5400,,物理必选
plan_91_3805_11_2022_3_本科批,91_3805,91,3805,北京,2022,安全工程,本科 (1),工学 (10),安全科学与工程类 (91),普通类,本科批,综合,1,四年,5400,,物理必选
plan_91_1129773_11_2022_3_本科批,91_1129773,91,1129773,北京,2022,智能制造工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,1,四年,5400,,物理必选
plan_91_1129774_11_2022_3_本科批,91_1129774,91,1129774,北京,2022,智能建造,本科 (1),工学 (10),土木类 (72),普通类,本科批,综合,1,四年,5400,,物理必选
plan_91_1498623_11_2022_3_本科批,91_1498623,91,1498623,北京,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,1,四年,5400,,物理必选
plan_91_3792_11_2022_3_本科批,91_3792,91,3792,北京,2022,环境工程,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科批,综合,1,四年,5400,,化学必选
plan_91_3799_11_2022_3_本科批,91_3799,91,3799,北京,2022,建筑环境与能源应用工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,综合,1,四年,5400,,物理必选
plan_91_3805_11_2022_3_本科批,91_3805,91,3805,北京,2022,安全工程,本科 (1),工学 (10),安全科学与工程类 (91),普通类,本科批,综合,1,四年,5400,,物理必选
plan_91_1129773_11_2022_3_本科批,91_1129773,91,1129773,北京,2022,智能制造工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,1,四年,5400,,物理必选
plan_91_1129774_11_2022_3_本科批,91_1129774,91,1129774,北京,2022,智能建造,本科 (1),工学 (10),土木类 (72),普通类,本科批,综合,1,四年,5400,,物理必选
plan_91_1498623_11_2022_3_本科批,91_1498623,91,1498623,北京,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,1,四年,5400,,物理必选
plan_91_3792_11_2022_3_本科批,91_3792,91,3792,北京,2022,环境工程,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科批,综合,1,四年,5400,,化学必选
plan_91_3799_12_2022_3_本科提前批B段,91_3799,91,3799,天津,2022,建筑环境与能源应用工程,本科 (1),工学 (10),土木类 (72),普通类,本科提前批B段,综合,5,4,5400,（校本部）,物理必选
plan_91_148194_12_2022_3_本科提前批B段,91_148194,91,148194,天津,2022,给排水科学与工程,本科 (1),工学 (10),土木类 (72),普通类,本科提前批B段,综合,5,4,5400,（校本部）,物理必选
plan_91_3799_12_2022_3_本科提前批B段,91_3799,91,3799,天津,2022,建筑环境与能源应用工程,本科 (1),工学 (10),土木类 (72),普通类,本科提前批B段,综合,5,4,5400,（校本部）,物理必选
plan_91_148194_12_2022_3_本科提前批B段,91_148194,91,148194,天津,2022,给排水科学与工程,本科 (1),工学 (10),土木类 (72),普通类,本科提前批B段,综合,5,4,5400,（校本部）,物理必选
plan_91_148194_13_2022_2073_本科批,91_148194,91,148194,河北,2022,给排水科学与工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,9,四年,5400,,
plan_91_3792_13_2022_2073_本科批,91_3792,91,3792,河北,2022,环境工程,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科批,物理类,5,四年,5400,,
plan_91_3799_13_2022_2073_本科批,91_3799,91,3799,河北,2022,建筑环境与能源应用工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,5,四年,5400,,
plan_91_3817_13_2022_2073_本科批,91_3817,91,3817,河北,2022,测绘工程,本科 (1),工学 (10),测绘类 (74),普通类,本科批,物理类,4,四年,5400,,
plan_91_3818_13_2022_2073_本科批,91_3818,91,3818,河北,2022,地理信息科学,本科 (1),理学 (9),地理科学类 (55),普通类,本科批,物理类,4,四年,5400,,
plan_91_3813_13_2022_2073_本科批,91_3813,91,3813,河北,2022,应用化学,本科 (1),理学 (9),化学类 (53),普通类,本科批,物理类,3,四年,5400,,
plan_91_1129773_13_2022_2073_本科批,91_1129773,91,1129773,河北,2022,智能制造工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,3,四年,5400,,
plan_91_3795_13_2022_2073_本科批,91_3795,91,3795,河北,2022,交通工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科批,物理类,2,四年,5400,,
plan_91_3796_13_2022_2073_本科批,91_3796,91,3796,河北,2022,港口航道与海岸工程,本科 (1),工学 (10),水利类 (73),普通类,本科批,物理类,2,四年,5400,,
plan_91_3798_13_2022_2073_本科批,91_3798,91,3798,河北,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批,物理类,2,四年,5400,,
plan_91_3809_13_2022_2073_本科批,91_3809,91,3809,河北,2022,地质工程,本科 (1),工学 (10),地质类 (76),普通类,本科批,物理类,2,四年,5400,,
plan_91_3816_13_2022_2073_本科批,91_3816,91,3816,河北,2022,投资学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,2,四年,4400,,
plan_91_148192_13_2022_2073_本科批,91_148192,91,148192,河北,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,物理类,2,四年,5400,,
plan_91_1800392_13_2022_2073_本科批,91_1800392,91,1800392,河北,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,2,四年,4400,,
plan_91_3788_13_2022_2073_本科批,91_3788,91,3788,河北,2022,应用物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科批,物理类,1,四年,5400,,
plan_91_3825_13_2022_2073_本科批,91_3825,91,3825,河北,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,1,四年,4400,,
plan_91_1129774_13_2022_2073_本科批,91_1129774,91,1129774,河北,2022,智能建造,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,1,四年,5400,,
plan_91_1498623_13_2022_2073_本科批,91_1498623,91,1498623,河北,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,1,四年,5400,,
plan_91_148194_14_2022_1_本科二批A段,91_148194,91,148194,山西,2022,给排水科学与工程,本科 (1),工学 (10),土木类 (72),普通类,本科二批A段,理科,15,-,5400,,
plan_91_3799_14_2022_1_本科二批A段,91_3799,91,3799,山西,2022,建筑环境与能源应用工程,本科 (1),工学 (10),土木类 (72),普通类,本科二批A段,理科,12,-,5400,,
plan_91_3792_14_2022_1_本科二批A段,91_3792,91,3792,山西,2022,环境工程,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科二批A段,理科,8,-,5400,,
plan_91_3809_14_2022_1_本科二批A段,91_3809,91,3809,山西,2022,地质工程,本科 (1),工学 (10),地质类 (76),普通类,本科二批A段,理科,7,-,5400,,
plan_91_3817_14_2022_1_本科二批A段,91_3817,91,3817,山西,2022,测绘工程,本科 (1),工学 (10),测绘类 (74),普通类,本科二批A段,理科,6,-,5400,,
plan_91_148192_14_2022_1_本科二批A段,91_148192,91,148192,山西,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科二批A段,理科,6,-,5400,,
plan_91_3788_14_2022_1_本科二批A段,91_3788,91,3788,山西,2022,应用物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科二批A段,理科,5,-,5400,,
plan_91_3816_14_2022_1_本科二批A段,91_3816,91,3816,山西,2022,投资学,本科 (1),经济学 (4),金融学类 (37),普通类,本科二批A段,理科,5,-,4400,,
plan_91_3818_14_2022_1_本科二批A段,91_3818,91,3818,山西,2022,地理信息科学,本科 (1),理学 (9),地理科学类 (55),普通类,本科二批A段,理科,5,-,5400,,
plan_91_1498623_14_2022_1_本科二批A段,91_1498623,91,1498623,山西,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科二批A段,理科,5,-,5400,,
