plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_87_3551_11_2022_3_本科批,87_3551,87,3551,北京,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,1,四年,4400,,不限
plan_87_3565_11_2022_3_本科批,87_3565,87,3565,北京,2022,阿拉伯语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,1,四年,5400,,不限
plan_87_3568_11_2022_3_本科批,87_3568,87,3568,北京,2022,葡萄牙语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,1,四年,5400,,不限
plan_87_104540_11_2022_3_本科批,87_104540,87,104540,北京,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,综合,1,四年,4400,,不限
plan_87_104541_11_2022_3_本科批,87_104541,87,104541,北京,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,1,四年,5400,,不限
plan_87_3551_11_2022_3_本科批,87_3551,87,3551,北京,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,1,四年,4400,,不限
plan_87_3565_11_2022_3_本科批,87_3565,87,3565,北京,2022,阿拉伯语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,1,四年,5400,,不限
plan_87_3568_11_2022_3_本科批,87_3568,87,3568,北京,2022,葡萄牙语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,1,四年,5400,,不限
plan_87_104540_11_2022_3_本科批,87_104540,87,104540,北京,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,综合,1,四年,4400,,不限
plan_87_104541_11_2022_3_本科批,87_104541,87,104541,北京,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,1,四年,5400,,不限
plan_87_1590614_11_2022_3_本科批,87_1590614,87,1590614,北京,2022,国际组织与全球治理,本科 (1),法学 (5),政治学类 (40),普通类,本科批,综合,1,四年,4400,,思想政治必选
plan_87_1590614_11_2022_3_本科批,87_1590614,87,1590614,北京,2022,国际组织与全球治理,本科 (1),法学 (5),政治学类 (40),普通类,本科批,综合,1,四年,4400,,思想政治必选
plan_87_104540_13_2022_2074_本科批,87_104540,87,104540,河北,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,历史类,5,四年,28000,,
plan_87_3551_13_2022_2074_本科批,87_3551,87,3551,河北,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,1,四年,4400,,
plan_87_3574_13_2022_2074_本科批,87_3574,87,3574,河北,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,1,四年,4400,,
plan_87_3578_13_2022_2074_本科批,87_3578,87,3578,河北,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,历史类,1,四年,4400,,
plan_87_3579_13_2022_2074_本科批,87_3579,87,3579,河北,2022,广告学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,1,四年,4400,,
plan_87_3587_13_2022_2074_本科批,87_3587,87,3587,河北,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,历史类,1,四年,4400,,
plan_87_3612_13_2022_2074_本科批,87_3612,87,3612,河北,2022,外交学,本科 (1),法学 (5),政治学类 (40),普通类,本科批,历史类,1,四年,4400,,
plan_87_3614_13_2022_2074_本科批,87_3614,87,3614,河北,2022,国际政治,本科 (1),法学 (5),政治学类 (40),普通类,本科批,历史类,1,四年,4400,,
plan_87_104540_13_2022_2073_本科批,87_104540,87,104540,河北,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,物理类,5,四年,28000,,
plan_87_1592551_13_2022_2073_本科批,87_1592551,87,1592551,河北,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,2,四年,4400,,
plan_87_3578_13_2022_2073_本科批,87_3578,87,3578,河北,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,1,四年,4400,,
plan_87_3612_13_2022_2073_本科批,87_3612,87,3612,河北,2022,外交学,本科 (1),法学 (5),政治学类 (40),普通类,本科批,物理类,1,四年,4400,,
plan_87_1590614_13_2022_2073_本科批,87_1590614,87,1590614,河北,2022,国际组织与全球治理,本科 (1),法学 (5),政治学类 (40),普通类,本科批,物理类,1,四年,4400,,
plan_87_3574_14_2022_2_本科一批B段,87_3574,87,3574,山西,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科一批B段,文科,2,-,4400,,
plan_87_3612_14_2022_2_本科一批B段,87_3612,87,3612,山西,2022,外交学,本科 (1),法学 (5),政治学类 (40),普通类,本科一批B段,文科,2,-,4400,,
plan_87_3614_14_2022_2_本科一批B段,87_3614,87,3614,山西,2022,国际政治,本科 (1),法学 (5),政治学类 (40),普通类,本科一批B段,文科,2,-,4400,,
plan_87_3551_14_2022_2_本科一批B段,87_3551,87,3551,山西,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科一批B段,文科,1,-,4400,,
plan_87_3578_14_2022_2_本科一批B段,87_3578,87,3578,山西,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批B段,文科,1,-,4400,,
plan_87_3579_14_2022_2_本科一批B段,87_3579,87,3579,山西,2022,广告学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科一批B段,文科,1,-,4400,,
plan_87_3587_14_2022_2_本科一批B段,87_3587,87,3587,山西,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科一批B段,文科,1,-,4400,,
plan_87_1583859_14_2022_2_本科一批B段,87_1583859,87,1583859,山西,2022,网络与新媒体,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科一批B段,文科,1,-,4400,,
plan_87_1590614_14_2022_2_本科一批B段,87_1590614,87,1590614,山西,2022,国际组织与全球治理,本科 (1),法学 (5),政治学类 (40),普通类,本科一批B段,文科,1,-,4400,,
plan_87_1592551_14_2022_1_本科一批B段,87_1592551,87,1592551,山西,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科一批B段,理科,2,-,4400,,
plan_87_3574_14_2022_1_本科一批B段,87_3574,87,3574,山西,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科一批B段,理科,1,-,4400,,
plan_87_3578_14_2022_1_本科一批B段,87_3578,87,3578,山西,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批B段,理科,1,-,5400,,
plan_87_3587_14_2022_1_本科一批B段,87_3587,87,3587,山西,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科一批B段,理科,1,-,4400,,
plan_87_3613_14_2022_1_本科一批B段,87_3613,87,3613,山西,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批B段,理科,1,-,4400,,
plan_87_3614_14_2022_1_本科一批B段,87_3614,87,3614,山西,2022,国际政治,本科 (1),法学 (5),政治学类 (40),普通类,本科一批B段,理科,1,-,4400,,
plan_87_1583859_14_2022_1_本科一批B段,87_1583859,87,1583859,山西,2022,网络与新媒体,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科一批B段,理科,1,-,4400,,
plan_87_1590614_14_2022_1_本科一批B段,87_1590614,87,1590614,山西,2022,国际组织与全球治理,本科 (1),法学 (5),政治学类 (40),普通类,本科一批B段,理科,1,-,4400,,
plan_87_3565_15_2022_1_本科一批,87_3565,87,3565,内蒙古,2022,阿拉伯语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,理科,1,四年,5400,（马场道校区）,
plan_87_3568_15_2022_1_本科一批,87_3568,87,3568,内蒙古,2022,葡萄牙语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,理科,1,四年,5400,（马场道校区）,
plan_87_3571_15_2022_1_本科一批,87_3571,87,3571,内蒙古,2022,法语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,理科,1,四年,5400,（马场道校区）,
plan_87_3578_15_2022_1_本科一批,87_3578,87,3578,内蒙古,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批,理科,1,四年,4400,（滨海校区）,
plan_87_3591_15_2022_1_本科一批,87_3591,87,3591,内蒙古,2022,西班牙语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,理科,1,四年,5400,（马场道校区）,
plan_87_3614_15_2022_1_本科一批,87_3614,87,3614,内蒙古,2022,国际政治,本科 (1),法学 (5),政治学类 (40),普通类,本科一批,理科,1,四年,4400,（滨海校区）,
