plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_60_1999_13_2022_2073_本科批,60_1999,60,1999,河北,2022,分子科学与工程,本科 (1),理学 (9),化学类 (53),普通类,本科批,物理类,10,四年,5800,,
plan_60_1991_13_2022_2073_本科批,60_1991,60,1991,河北,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,8,四年,5800,,
plan_60_2011_33_2022_3_普通类平行录取,60_2011,60,2011,浙江,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,普通类平行录取,综合,10,四年,5200,（卫津路校区）,
plan_60_1991_35_2022_2073_本科批,60_1991,60,1991,福建,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,8,四年,5800,,首选物理，再选不限
plan_60_1991_35_2022_2073_本科批,60_1991,60,1991,福建,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,8,四年,5800,,首选物理，再选不限
plan_60_2011_65_2022_2_本科一批,60_2011,60,2011,新疆,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,文科,5,四年,5200,,
plan_60_2011_33_2023_3_普通类平行录取,60_2011,60,2011,浙江,2023,法学,本科 (1),法学 (5),法学类 (39),普通类,普通类平行录取,综合,11,四年,5200,,
plan_60_1991_35_2023_2073_本科批,60_1991,60,1991,福建,2023,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,8,四年,5800,,首选物理，再选不限
plan_60_1991_35_2023_2073_本科批,60_1991,60,1991,福建,2023,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,8,四年,5800,,首选物理，再选不限
plan_60_2011_65_2023_2_本科一批,60_2011,60,2011,新疆,2023,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,文科,5,四年,5200,,
plan_60_2011_12_2024_3_本科批A段,60_2011,60,2011,天津,2024,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批A段,综合,5,四年,5200,（北洋园校区）,不限
