plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_80_3156_11_2022_3_本科批,80_3156,80,3156,北京,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,3,四年,5400,,物理必选
plan_80_107046_11_2022_3_本科批,80_107046,80,107046,北京,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,3,四年,5400,,物理必选
plan_80_1026609_11_2022_3_本科批,80_1026609,80,1026609,北京,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,2,四年,5400,,物理必选
plan_80_3156_11_2022_3_本科批,80_3156,80,3156,北京,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,3,四年,5400,,物理必选
plan_80_107046_11_2022_3_本科批,80_107046,80,107046,北京,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,3,四年,5400,,物理必选
plan_80_1026609_11_2022_3_本科批,80_1026609,80,1026609,北京,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,2,四年,5400,,物理必选
plan_80_3198_13_2022_2074_本科批,80_3198,80,3198,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,2,四年,4400,,
plan_80_3200_13_2022_2074_本科批,80_3200,80,3200,河北,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,2,四年,5400,,
plan_80_107047_13_2022_2073_本科批,80_107047,80,107047,河北,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,15,四年,8000,,
plan_80_658096_13_2022_2073_本科批,80_658096,80,658096,河北,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,15,四年,22000,,
plan_80_284176_13_2022_2073_本科批,80_284176,80,284176,河北,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),中外合作办学,本科批,物理类,10,四年,22000,,
plan_80_3151_13_2022_2073_本科批,80_3151,80,3151,河北,2022,纺织工程,本科 (1),工学 (10),纺织类 (78),普通类,本科批,物理类,6,四年,5400,,
plan_80_3161_13_2022_2073_本科批,80_3161,80,3161,河北,2022,高分子材料与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,6,四年,5400,,
plan_80_3166_13_2022_2073_本科批,80_3166,80,3166,河北,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,6,四年,5400,,
plan_80_107045_13_2022_2073_本科批,80_107045,80,107045,河北,2022,电子科学与技术,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,6,四年,5400,,
plan_80_3165_13_2022_2073_本科批,80_3165,80,3165,河北,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,5,四年,5400,,
plan_80_3154_13_2022_2073_本科批,80_3154,80,3154,河北,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科批,物理类,4,四年,5400,,
plan_80_3156_13_2022_2073_本科批,80_3156,80,3156,河北,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,4,四年,5400,,
plan_80_3180_13_2022_2073_本科批,80_3180,80,3180,河北,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,4,四年,5400,,
plan_80_3182_13_2022_2073_本科批,80_3182,80,3182,河北,2022,机械工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,4,四年,5400,,
plan_80_107041_13_2022_2073_本科批,80_107041,80,107041,河北,2022,应用化学,本科 (1),理学 (9),化学类 (53),普通类,本科批,物理类,4,四年,5400,,
plan_80_107043_13_2022_2073_本科批,80_107043,80,107043,河北,2022,机械电子工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,4,四年,5400,,
plan_80_107046_13_2022_2073_本科批,80_107046,80,107046,河北,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,4,四年,5400,,
