plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_79_3079_11_2022_3_本科批,79_3079,79,3079,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,2,四年,4400,,思想政治必选
plan_79_1497834_11_2022_3_本科批,79_1497834,79,1497834,北京,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,2,四年,4400,,物理必选
plan_79_1497834_11_2022_3_本科批,79_1497834,79,1497834,北京,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,2,四年,4400,,物理必选
plan_79_3079_11_2022_3_本科批,79_3079,79,3079,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,2,四年,4400,,思想政治必选
plan_79_3100_12_2022_3_本科提前批A段,79_3100,79,3100,天津,2022,小学教育,本科 (1),教育学 (6),教育学类 (45),普通类,本科提前批A段,综合,30,4,,"（科学方向）（师范类）（天津市公费师范生,入学前须按照天津市相关规定签订协议,在校学习期间待遇及就业按照天津市相关政策执行）（主校区）（免学费）",不限
plan_79_3112_12_2022_3_本科提前批A段,79_3112,79,3112,天津,2022,学前教育,本科 (1),教育学 (6),教育学类 (45),普通类,本科提前批A段,综合,30,4,,"（师范类）（天津市公费师范生,入学前须按照天津市相关规定签订协议,在校学习期间待遇及就业按照天津市相关政策执行）（主校区）（免学费）",不限
plan_79_3100_12_2022_3_本科提前批A段,79_3100,79,3100,天津,2022,小学教育,本科 (1),教育学 (6),教育学类 (45),普通类,本科提前批A段,综合,30,4,,"（科学方向）（师范类）（天津市公费师范生,入学前须按照天津市相关规定签订协议,在校学习期间待遇及就业按照天津市相关政策执行）（主校区）（免学费）",不限
plan_79_3112_12_2022_3_本科提前批A段,79_3112,79,3112,天津,2022,学前教育,本科 (1),教育学 (6),教育学类 (45),普通类,本科提前批A段,综合,30,4,,"（师范类）（天津市公费师范生,入学前须按照天津市相关规定签订协议,在校学习期间待遇及就业按照天津市相关政策执行）（主校区）（免学费）",不限
plan_79_1129767_12_2022_3_本科提前批A段,79_1129767,79,1129767,天津,2022,马克思主义理论,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,综合,10,4,4400,（主校区）,思想政治必选
plan_79_1129767_12_2022_3_本科提前批A段,79_1129767,79,1129767,天津,2022,马克思主义理论,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,综合,10,4,4400,（主校区）,思想政治必选
plan_79_3122_12_2022_3_本科提前批B段,79_3122,79,3122,天津,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批B段,综合,8,4,5400,（师范类）（主校区）,不限
plan_79_3062_12_2022_3_本科提前批B段,79_3062,79,3062,天津,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科提前批B段,综合,8,4,5400,（师范类）（主校区）,物理必选
plan_79_3097_12_2022_3_本科提前批B段,79_3097,79,3097,天津,2022,物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科提前批B段,综合,8,4,5400,（师范类）（主校区）,物理必选
plan_79_3122_12_2022_3_本科提前批B段,79_3122,79,3122,天津,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批B段,综合,8,4,5400,（师范类）（主校区）,不限
plan_79_3124_12_2022_3_本科提前批B段,79_3124,79,3124,天津,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科提前批B段,综合,8,4,4400,（师范类）（主校区）,生/政/史(3选1)
plan_79_3093_12_2022_3_本科提前批B段,79_3093,79,3093,天津,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科提前批B段,综合,7,4,5400,（师范类）（主校区）,物理必选
plan_79_3124_12_2022_3_本科提前批B段,79_3124,79,3124,天津,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科提前批B段,综合,8,4,4400,（师范类）（主校区）,生/政/史(3选1)
plan_79_3062_12_2022_3_本科提前批B段,79_3062,79,3062,天津,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科提前批B段,综合,8,4,5400,（师范类）（主校区）,物理必选
plan_79_3097_12_2022_3_本科提前批B段,79_3097,79,3097,天津,2022,物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科提前批B段,综合,8,4,5400,（师范类）（主校区）,物理必选
plan_79_3093_12_2022_3_本科提前批B段,79_3093,79,3093,天津,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科提前批B段,综合,7,4,5400,（师范类）（主校区）,物理必选
plan_79_3079_13_2022_2074_本科批,79_3079,79,3079,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,7,四年,4400,,
plan_79_3073_13_2022_2074_本科批,79_3073,79,3073,河北,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,4,四年,4400,,
plan_79_3102_13_2022_2074_本科批,79_3102,79,3102,河北,2022,行政管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科批,历史类,3,四年,4400,,
plan_79_3103_13_2022_2074_本科批,79_3103,79,3103,河北,2022,政治学与行政学,本科 (1),法学 (5),政治学类 (40),普通类,本科批,历史类,3,四年,4400,,
plan_79_3072_13_2022_2074_本科批,79_3072,79,3072,河北,2022,市场营销,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,2,四年,4400,,
plan_79_3106_13_2022_2074_本科批,79_3106,79,3106,河北,2022,文物与博物馆学,本科 (1),历史学 (8),历史学类 (50),普通类,本科批,历史类,2,四年,4400,,
plan_79_3129_13_2022_2074_本科批,79_3129,79,3129,河北,2022,广播电视学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,2,四年,4400,,
plan_79_3130_13_2022_2074_本科批,79_3130,79,3130,河北,2022,广告学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,2,四年,4400,,
plan_79_3131_13_2022_2074_本科批,79_3131,79,3131,河北,2022,新闻学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,2,四年,4400,,
plan_79_3069_13_2022_2074_本科批,79_3069,79,3069,河北,2022,档案学,本科 (1),管理学 (13),图书情报与档案管理类 (116),普通类,本科批,历史类,1,四年,4400,,
plan_79_3070_13_2022_2074_本科批,79_3070,79,3070,河北,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,1,四年,4400,,
plan_79_3109_13_2022_2074_本科批,79_3109,79,3109,河北,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科批,历史类,1,四年,4400,,
plan_79_3095_13_2022_2073_本科批,79_3095,79,3095,河北,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,35,四年,8000,,
