plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_81_3221_11_2022_3_本科批,81_3221,81,3221,北京,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,2,四年,5400,,不限
plan_81_108750_11_2022_3_本科批,81_108750,81,108750,北京,2022,安全工程,本科 (1),工学 (10),安全科学与工程类 (91),普通类,本科批,综合,4,四年,5400,,物理必选
plan_81_1026615_11_2022_3_本科批,81_1026615,81,1026615,北京,2022,机械工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,3,四年,5400,,物理必选
plan_81_3221_11_2022_3_本科批,81_3221,81,3221,北京,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,2,四年,5400,,不限
plan_81_3229_11_2022_3_本科批,81_3229,81,3229,北京,2022,环境工程,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科批,综合,2,四年,5400,,物理必选
plan_81_315065_11_2022_3_本科批,81_315065,81,315065,北京,2022,工程管理,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,2,四年,4400,,物理必选
plan_81_566220_11_2022_3_本科批,81_566220,81,566220,北京,2022,工程造价,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,2,四年,4400,,物理必选
plan_81_108750_11_2022_3_本科批,81_108750,81,108750,北京,2022,安全工程,本科 (1),工学 (10),安全科学与工程类 (91),普通类,本科批,综合,4,四年,5400,,物理必选
plan_81_1026615_11_2022_3_本科批,81_1026615,81,1026615,北京,2022,机械工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,3,四年,5400,,物理必选
plan_81_3229_11_2022_3_本科批,81_3229,81,3229,北京,2022,环境工程,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科批,综合,2,四年,5400,,物理必选
plan_81_315065_11_2022_3_本科批,81_315065,81,315065,北京,2022,工程管理,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,2,四年,4400,,物理必选
plan_81_566220_11_2022_3_本科批,81_566220,81,566220,北京,2022,工程造价,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,2,四年,4400,,物理必选
plan_81_3266_12_2022_3_本科提前批A段,81_3266,81,3266,天津,2022,轮机工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,9,4,5400,"（只招男生,体检满足《船员健康检查要求》（30035-2021）关于海船轮机部值班船员的各项健康要求,包括:身高不低于155cm,无红绿色盲,双眼裸视力均能达到4.6及以上,或双眼裸视力均能达到4.0及以上、且矫正视力均能达到4.6及以上等）（天津理工大学）",物理必选
plan_81_3267_12_2022_3_本科提前批A段,81_3267,81,3267,天津,2022,航海技术,本科 (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,9,4,5400,"（只招男生,体检满足《船员健康检查要求》（30035-2021）关于海船船长和海船甲板部值班船员的各项健康要求,包括:身高不低于160cm,辨色力正常,双眼裸视力均能达到4.7及以上,或双眼裸视力均能达到4.0及以上、且矫正视力均能达到4.8及以上等）（天津理工大学）",物理必选
plan_81_3265_12_2022_3_本科提前批A段,81_3265,81,3265,天津,2022,船舶电子电气工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,4,4,5400,"（只招男生,体检满足《船员健康检查要求》（30035-2021）关于海船其他船员的各项健康要求,包括:身高不低于150cm,无红绿色盲,双眼裸视力均能达到4.6及以上,或双眼裸视力均能达到4.0及以上、且矫正视力均能达到4.6及以上等）（天津理工大学）",物理必选
plan_81_3266_12_2022_3_本科提前批A段,81_3266,81,3266,天津,2022,轮机工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,9,4,5400,"（只招男生,体检满足《船员健康检查要求》（30035-2021）关于海船轮机部值班船员的各项健康要求,包括:身高不低于155cm,无红绿色盲,双眼裸视力均能达到4.6及以上,或双眼裸视力均能达到4.0及以上、且矫正视力均能达到4.6及以上等）（天津理工大学）",物理必选
plan_81_3267_12_2022_3_本科提前批A段,81_3267,81,3267,天津,2022,航海技术,本科 (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,9,4,5400,"（只招男生,体检满足《船员健康检查要求》（30035-2021）关于海船船长和海船甲板部值班船员的各项健康要求,包括:身高不低于160cm,辨色力正常,双眼裸视力均能达到4.7及以上,或双眼裸视力均能达到4.0及以上、且矫正视力均能达到4.8及以上等）（天津理工大学）",物理必选
plan_81_3265_12_2022_3_本科提前批A段,81_3265,81,3265,天津,2022,船舶电子电气工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,4,4,5400,"（只招男生,体检满足《船员健康检查要求》（30035-2021）关于海船其他船员的各项健康要求,包括:身高不低于150cm,无红绿色盲,双眼裸视力均能达到4.6及以上,或双眼裸视力均能达到4.0及以上、且矫正视力均能达到4.6及以上等）（天津理工大学）",物理必选
plan_81_3252_12_2022_3_本科提前批B段,81_3252,81,3252,天津,2022,制药工程,本科 (1),工学 (10),化工与制药类 (75),普通类,本科提前批B段,综合,4,4,5400,,化学必选
plan_81_3219_12_2022_3_本科提前批B段,81_3219,81,3219,天津,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科提前批B段,综合,4,4,5400,,物理必选
plan_81_3222_12_2022_3_本科提前批B段,81_3222,81,3222,天津,2022,信息安全,本科 (1),工学 (10),计算机类 (71),普通类,本科提前批B段,综合,4,4,5400,,物理必选
plan_81_3235_12_2022_3_本科提前批B段,81_3235,81,3235,天津,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科提前批B段,综合,4,4,5400,,物理必选
plan_81_3239_12_2022_3_本科提前批B段,81_3239,81,3239,天津,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科提前批B段,综合,4,4,5400,,物理必选
plan_81_3240_12_2022_3_本科提前批B段,81_3240,81,3240,天津,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科提前批B段,综合,4,4,5400,,物理必选
plan_81_3242_12_2022_3_本科提前批B段,81_3242,81,3242,天津,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科提前批B段,综合,4,4,5400,,物理必选
plan_81_3252_12_2022_3_本科提前批B段,81_3252,81,3252,天津,2022,制药工程,本科 (1),工学 (10),化工与制药类 (75),普通类,本科提前批B段,综合,4,4,5400,,化学必选
plan_81_1129764_12_2022_3_本科提前批B段,81_1129764,81,1129764,天津,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科提前批B段,综合,4,4,4400,,物理必选
plan_81_3262_12_2022_3_本科提前批B段,81_3262,81,3262,天津,2022,机械电子工程,本科 (1),工学 (10),机械类 (64),普通类,本科提前批B段,综合,3,4,5400,,物理必选
