plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_82_3282_11_2022_3_本科批,82_3282,82,3282,北京,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,2,四年,4400,,不限
plan_82_3283_11_2022_3_本科批,82_3283,82,3283,北京,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,1,四年,4400,,不限
plan_82_3317_11_2022_3_本科批,82_3317,82,3317,北京,2022,翻译,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,1,四年,5400,,不限
plan_82_3337_11_2022_3_本科批,82_3337,82,3337,北京,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,1,四年,5400,,不限
plan_82_3282_11_2022_3_本科批,82_3282,82,3282,北京,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,2,四年,4400,,不限
plan_82_3303_11_2022_3_本科批,82_3303,82,3303,北京,2022,食品科学与工程,本科 (1),工学 (10),食品科学与工程类 (89),普通类,本科批,综合,2,四年,5400,,化学/生物(2选1)
plan_82_3331_11_2022_3_本科批,82_3331,82,3331,北京,2022,物联网工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,2,四年,5400,,物理必选
plan_82_3335_11_2022_3_本科批,82_3335,82,3335,北京,2022,食品质量与安全,本科 (1),工学 (10),食品科学与工程类 (89),普通类,本科批,综合,2,四年,5400,,化学/生物(2选1)
plan_82_3283_11_2022_3_本科批,82_3283,82,3283,北京,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,1,四年,4400,,不限
plan_82_3299_11_2022_3_本科批,82_3299,82,3299,北京,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科批,综合,1,四年,5400,,物理必选
plan_82_3305_11_2022_3_本科批,82_3305,82,3305,北京,2022,生物工程,本科 (1),工学 (10),生物工程类 (92),普通类,本科批,综合,1,四年,5400,,物/化/生(3选1)
plan_82_3317_11_2022_3_本科批,82_3317,82,3317,北京,2022,翻译,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,1,四年,5400,,不限
plan_82_3337_11_2022_3_本科批,82_3337,82,3337,北京,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,1,四年,5400,,不限
plan_82_169095_11_2022_3_本科批,82_169095,82,169095,北京,2022,机器人工程,本科 (1),工学 (10),自动化类 (70),普通类,本科批,综合,1,四年,5400,,物理必选
