plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_90_3765_11_2022_3_本科批,90_3765,90,3765,北京,2022,材料成型及控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,1,四年,5400,,物理必选
plan_90_3766_11_2022_3_本科批,90_3766,90,3766,北京,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,1,四年,5400,,物理必选
plan_90_3765_11_2022_3_本科批,90_3765,90,3765,北京,2022,材料成型及控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,1,四年,5400,,物理必选
plan_90_3766_11_2022_3_本科批,90_3766,90,3766,北京,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,1,四年,5400,,物理必选
plan_90_3779_13_2022_2074_本科批,90_3779,90,3779,河北,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,3,四年,5400,,
plan_90_111592_13_2022_2074_本科批,90_111592,90,111592,河北,2022,人力资源管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,1,四年,4400,,
plan_90_658506_13_2022_2074_本科批,90_658506,90,658506,河北,2022,劳动与社会保障,本科 (1),管理学 (13),公共管理类 (115),普通类,本科批,历史类,1,四年,4400,,
plan_90_3711_13_2022_2073_本科批,90_3711,90,3711,河北,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,10,四年,22000,,
plan_90_3775_13_2022_2073_本科批,90_3775,90,3775,河北,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,5,四年,8000,,
plan_90_315263_13_2022_2073_本科批,90_315263,90,315263,河北,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,3,四年,5400,,
plan_90_3776_13_2022_2073_本科批,90_3776,90,3776,河北,2022,车辆工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,2,四年,5400,,
plan_90_3779_13_2022_2073_本科批,90_3779,90,3779,河北,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,物理类,2,四年,5400,,
plan_90_3782_13_2022_2073_本科批,90_3782,90,3782,河北,2022,电子科学与技术,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,2,四年,5400,,
plan_90_111607_13_2022_2073_本科批,90_111607,90,111607,河北,2022,测控技术与仪器,本科 (1),工学 (10),仪器类 (65),普通类,本科批,物理类,2,四年,5400,,
plan_90_3715_13_2022_2073_本科批,90_3715,90,3715,河北,2022,信用管理,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,1,四年,4400,,
plan_90_3769_13_2022_2073_本科批,90_3769,90,3769,河北,2022,工业设计,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,1,四年,5400,,
plan_90_111590_13_2022_2073_本科批,90_111590,90,111590,河北,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,1,四年,4400,,
plan_90_111592_13_2022_2073_本科批,90_111592,90,111592,河北,2022,人力资源管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,1,四年,4400,,
plan_90_658506_13_2022_2073_本科批,90_658506,90,658506,河北,2022,劳动与社会保障,本科 (1),管理学 (13),公共管理类 (115),普通类,本科批,物理类,1,四年,4400,,
plan_90_3718_14_2022_2_本科一批B段,90_3718,90,3718,山西,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科一批B段,文科,1,-,4400,,
plan_90_111590_14_2022_2_本科一批B段,90_111590,90,111590,山西,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批B段,文科,1,-,4400,,
plan_90_3774_14_2022_1_本科一批B段,90_3774,90,3774,山西,2022,网络工程,本科 (1),工学 (10),计算机类 (71),普通类,本科一批B段,理科,6,-,5400,,
plan_90_111616_14_2022_1_本科一批B段,90_111616,90,111616,山西,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批B段,理科,4,-,5400,,
plan_90_3779_14_2022_2_本科二批A段,90_3779,90,3779,山西,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科二批A段,文科,3,-,5400,,
plan_90_111590_14_2022_2_本科二批A段,90_111590,90,111590,山西,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科二批A段,文科,3,-,4400,,
plan_90_3769_14_2022_2_本科二批A段,90_3769,90,3769,山西,2022,工业设计,本科 (1),工学 (10),机械类 (64),普通类,本科二批A段,文科,2,-,5400,,
plan_90_3715_14_2022_2_本科二批A段,90_3715,90,3715,山西,2022,信用管理,本科 (1),经济学 (4),金融学类 (37),普通类,本科二批A段,文科,1,-,4400,,
plan_90_658506_14_2022_2_本科二批A段,90_658506,90,658506,山西,2022,劳动与社会保障,本科 (1),管理学 (13),公共管理类 (115),普通类,本科二批A段,文科,1,-,4400,,
