plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_84_3398_11_2022_3_本科批,84_3398,84,3398,北京,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,8,四年,4400,,不限
plan_84_98535_11_2022_3_本科批,84_98535,84,98535,北京,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,5,四年,4400,,不限
plan_84_3398_11_2022_3_本科批,84_3398,84,3398,北京,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,8,四年,4400,,不限
plan_84_98535_11_2022_3_本科批,84_98535,84,98535,北京,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,5,四年,4400,,不限
plan_84_3419_11_2022_3_本科批,84_3419,84,3419,北京,2022,经济统计学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,综合,2,四年,4400,,物/生/地(3选1)
plan_84_3419_11_2022_3_本科批,84_3419,84,3419,北京,2022,经济统计学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,综合,2,四年,4400,,物/生/地(3选1)
plan_84_3398_12_2022_3_本科提前批B段,84_3398,84,3398,天津,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科提前批B段,综合,6,4,4400,（校本部）,不限
plan_84_3398_12_2022_3_本科提前批B段,84_3398,84,3398,天津,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科提前批B段,综合,6,4,4400,（校本部）,不限
plan_84_1036404_12_2022_3_本科提前批B段,84_1036404,84,1036404,天津,2022,应用统计学,本科 (1),理学 (9),统计学类 (62),普通类,本科提前批B段,综合,6,4,5400,（校本部）,物/化/生(3选1)
plan_84_1036404_12_2022_3_本科提前批B段,84_1036404,84,1036404,天津,2022,应用统计学,本科 (1),理学 (9),统计学类 (62),普通类,本科提前批B段,综合,6,4,5400,（校本部）,物/化/生(3选1)
plan_84_3382_13_2022_2074_本科批,84_3382,84,3382,河北,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,历史类,4,四年,4400,,
plan_84_3386_13_2022_2074_本科批,84_3386,84,3386,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,3,四年,4400,,
plan_84_3399_13_2022_2074_本科批,84_3399,84,3399,河北,2022,财务管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,3,四年,4400,,
plan_84_98535_13_2022_2074_本科批,84_98535,84,98535,河北,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,3,四年,4400,,
plan_84_3398_13_2022_2074_本科批,84_3398,84,3398,河北,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,2,四年,4400,,
plan_84_98535_13_2022_2073_本科批,84_98535,84,98535,河北,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,6,四年,4400,,
plan_84_3398_13_2022_2073_本科批,84_3398,84,3398,河北,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,5,四年,4400,,
plan_84_3401_13_2022_2073_本科批,84_3401,84,3401,河北,2022,电子商务,本科 (1),管理学 (13),电子商务类 (119),普通类,本科批,物理类,4,四年,4400,,
plan_84_3416_13_2022_2073_本科批,84_3416,84,3416,河北,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,4,四年,5400,,
plan_84_1036403_13_2022_2073_本科批,84_1036403,84,1036403,河北,2022,经济统计学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,物理类,4,四年,4400,,
plan_84_3393_13_2022_2073_本科批,84_3393,84,3393,河北,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,3,四年,5400,,
plan_84_3409_13_2022_2073_本科批,84_3409,84,3409,河北,2022,审计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,3,四年,4400,,
plan_84_169102_13_2022_2073_本科批,84_169102,84,169102,河北,2022,金融数学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,3,四年,4400,,
plan_84_1036405_13_2022_2073_本科批,84_1036405,84,1036405,河北,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,3,四年,5400,,
plan_84_3386_13_2022_2073_本科批,84_3386,84,3386,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,物理类,2,四年,4400,,
plan_84_3382_14_2022_2_本科一批B段,84_3382,84,3382,山西,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科一批B段,文科,3,-,4400,,
plan_84_3386_14_2022_2_本科一批B段,84_3386,84,3386,山西,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批B段,文科,3,-,4400,,
plan_84_3422_14_2022_2_本科一批B段,84_3422,84,3422,山西,2022,商务英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批B段,文科,3,-,5400,,
plan_84_3389_14_2022_2_本科一批B段,84_3389,84,3389,山西,2022,广告学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科一批B段,文科,2,-,4400,,
plan_84_3405_14_2022_2_本科一批B段,84_3405,84,3405,山西,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批B段,文科,2,-,5400,,
plan_84_3398_14_2022_2_本科一批B段,84_3398,84,3398,山西,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批B段,文科,1,-,4400,,
plan_84_3393_14_2022_1_本科一批B段,84_3393,84,3393,山西,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科一批B段,理科,5,-,5400,,
plan_84_3424_14_2022_1_本科一批B段,84_3424,84,3424,山西,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科一批B段,理科,4,-,5400,,
plan_84_1036404_14_2022_1_本科一批B段,84_1036404,84,1036404,山西,2022,应用统计学,本科 (1),理学 (9),统计学类 (62),普通类,本科一批B段,理科,4,-,5400,,
plan_84_3371_14_2022_1_本科一批B段,84_3371,84,3371,山西,2022,信息资源管理,本科 (1),管理学 (13),图书情报与档案管理类 (116),普通类,本科一批B段,理科,3,-,4400,,
plan_84_3380_14_2022_1_本科一批B段,84_3380,84,3380,山西,2022,国际商务,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批B段,理科,2,-,4400,,
plan_84_3381_14_2022_1_本科一批B段,84_3381,84,3381,山西,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科一批B段,理科,2,-,4400,,
plan_84_3398_14_2022_1_本科一批B段,84_3398,84,3398,山西,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批B段,理科,2,-,4400,,
plan_84_3399_14_2022_1_本科一批B段,84_3399,84,3399,山西,2022,财务管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批B段,理科,2,-,4400,,
plan_84_3393_15_2022_1_本科一批,84_3393,84,3393,内蒙古,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科一批,理科,3,四年,5400,（校本部）,
plan_84_3416_15_2022_1_本科一批,84_3416,84,3416,内蒙古,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科一批,理科,3,四年,5400,（校本部）,
plan_84_1036404_15_2022_1_本科一批,84_1036404,84,1036404,内蒙古,2022,应用统计学,本科 (1),理学 (9),统计学类 (62),普通类,本科一批,理科,3,四年,5400,（校本部）,
plan_84_3401_15_2022_1_本科一批,84_3401,84,3401,内蒙古,2022,电子商务,本科 (1),管理学 (13),电子商务类 (119),普通类,本科一批,理科,2,四年,4400,（校本部）,
plan_84_98535_15_2022_1_本科一批,84_98535,84,98535,内蒙古,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批,理科,1,四年,4400,（校本部）,
plan_84_3380_15_2022_2_本科一批,84_3380,84,3380,内蒙古,2022,国际商务,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批,文科,3,四年,4400,（校本部）,
plan_84_3422_15_2022_2_本科一批,84_3422,84,3422,内蒙古,2022,商务英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,文科,3,四年,5400,（校本部）,
plan_84_3386_15_2022_2_本科一批,84_3386,84,3386,内蒙古,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,文科,2,四年,4400,（校本部）,
