plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_70_2520_11_2022_3_本科批,70_2520,70,2520,北京,2022,茶学,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,综合,2,四年,5720,,物/化/生(3选1)
plan_70_2520_11_2022_3_本科批,70_2520,70,2520,北京,2022,茶学,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,综合,2,四年,5720,,物/化/生(3选1)
plan_70_2523_13_2022_2074_本科批,70_2523,70,2523,河北,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,历史类,2,四年,4900,,
plan_70_2539_13_2022_2074_本科批,70_2539,70,2539,河北,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批,历史类,2,四年,5200,,
plan_70_2540_13_2022_2074_本科批,70_2540,70,2540,河北,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,2,四年,5390,,
plan_70_2541_13_2022_2074_本科批,70_2541,70,2541,河北,2022,农林经济管理,本科 (1),管理学 (13),农业经济管理类 (114),普通类,本科批,历史类,2,四年,4900,,
plan_70_2542_13_2022_2074_本科批,70_2542,70,2542,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,2,四年,5390,,
plan_70_2543_13_2022_2074_本科批,70_2543,70,2543,河北,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科批,历史类,2,四年,4900,,
plan_70_2552_13_2022_2074_本科批,70_2552,70,2552,河北,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,2,四年,5390,,
plan_70_2558_13_2022_2074_本科批,70_2558,70,2558,河北,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,历史类,2,四年,5390,,
plan_70_2561_13_2022_2074_本科批,70_2561,70,2561,河北,2022,园艺,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,历史类,2,四年,5200,,
plan_70_2562_13_2022_2074_本科批,70_2562,70,2562,河北,2022,园林,本科 (1),农学 (11),林学类 (98),普通类,本科批,历史类,2,四年,5720,,
plan_70_2567_13_2022_2074_本科批,70_2567,70,2567,河北,2022,农学,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,历史类,2,四年,5200,,
plan_70_2581_13_2022_2074_本科批,70_2581,70,2581,河北,2022,植物保护,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,历史类,2,四年,5200,,
plan_70_2583_13_2022_2074_本科批,70_2583,70,2583,河北,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,历史类,2,四年,4900,,
plan_70_150565_13_2022_2074_本科批,70_150565,70,150565,河北,2022,电子商务,本科 (1),管理学 (13),电子商务类 (119),普通类,本科批,历史类,2,四年,4900,,
plan_70_1535503_13_2022_2074_本科批,70_1535503,70,1535503,河北,2022,智慧农业,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,历史类,2,四年,5200,,
plan_70_169631_13_2022_2073_本科批,70_169631,70,169631,河北,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,4,四年,5720,,
plan_70_2550_13_2022_2073_本科批,70_2550,70,2550,河北,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,3,四年,5720,,
plan_70_2556_13_2022_2073_本科批,70_2556,70,2556,河北,2022,动物医学,本科 (1),农学 (11),动物医学类 (97),普通类,本科批,物理类,3,五年,5720,,
plan_70_2520_13_2022_2073_本科批,70_2520,70,2520,河北,2022,茶学,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,物理类,2,四年,5720,,
plan_70_2523_13_2022_2073_本科批,70_2523,70,2523,河北,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,物理类,2,四年,4900,,
plan_70_2531_13_2022_2073_本科批,70_2531,70,2531,河北,2022,应用化学,本科 (1),理学 (9),化学类 (53),普通类,本科批,物理类,2,四年,5200,,
plan_70_2541_13_2022_2073_本科批,70_2541,70,2541,河北,2022,农林经济管理,本科 (1),管理学 (13),农业经济管理类 (114),普通类,本科批,物理类,2,四年,4900,,
plan_70_2551_13_2022_2073_本科批,70_2551,70,2551,河北,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,2,四年,5720,,
plan_70_2555_13_2022_2073_本科批,70_2555,70,2555,河北,2022,材料科学与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,2,四年,5200,,
plan_70_2562_13_2022_2073_本科批,70_2562,70,2562,河北,2022,园林,本科 (1),农学 (11),林学类 (98),普通类,本科批,物理类,2,四年,5720,,
plan_70_2563_13_2022_2073_本科批,70_2563,70,2563,河北,2022,林学,本科 (1),农学 (11),林学类 (98),普通类,本科批,物理类,2,四年,5200,,
plan_70_2564_13_2022_2073_本科批,70_2564,70,2564,河北,2022,城乡规划,本科 (1),工学 (10),建筑类 (90),普通类,本科批,物理类,2,五年,5200,,
plan_70_2576_13_2022_2073_本科批,70_2576,70,2576,河北,2022,农业机械化及其自动化,本科 (1),工学 (10),农业工程类 (85),普通类,本科批,物理类,2,四年,5200,,
plan_70_2579_13_2022_2073_本科批,70_2579,70,2579,河北,2022,农业水利工程,本科 (1),工学 (10),农业工程类 (85),普通类,本科批,物理类,2,四年,5200,,
plan_70_2580_13_2022_2073_本科批,70_2580,70,2580,河北,2022,物流工程,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科批,物理类,2,四年,5200,,
plan_70_2585_13_2022_2073_本科批,70_2585,70,2585,河北,2022,生态学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,2,四年,5200,,
plan_70_150565_13_2022_2073_本科批,70_150565,70,150565,河北,2022,电子商务,本科 (1),管理学 (13),电子商务类 (119),普通类,本科批,物理类,2,四年,4900,,
plan_70_150572_13_2022_2073_本科批,70_150572,70,150572,河北,2022,应用统计学,本科 (1),理学 (9),统计学类 (62),普通类,本科批,物理类,2,四年,5200,,
plan_70_150573_13_2022_2073_本科批,70_150573,70,150573,河北,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,2,四年,5200,,
plan_70_150574_13_2022_2073_本科批,70_150574,70,150574,河北,2022,生物制药,本科 (1),工学 (10),生物工程类 (92),普通类,本科批,物理类,2,四年,5200,,
plan_70_150575_13_2022_2073_本科批,70_150575,70,150575,河北,2022,食品卫生与营养学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,物理类,2,四年,5200,,
plan_70_169632_13_2022_2073_本科批,70_169632,70,169632,河北,2022,智能科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,2,四年,5720,,
plan_70_1800820_13_2022_2073_本科批,70_1800820,70,1800820,河北,2022,智能制造工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,2,四年,5200,,
plan_70_1801782_13_2022_2073_本科批,70_1801782,70,1801782,河北,2022,网络空间安全,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,2,四年,5200,,
plan_70_2541_14_2022_2_本科一批B段,70_2541,70,2541,山西,2022,农林经济管理,本科 (1),管理学 (13),农业经济管理类 (114),普通类,本科一批B段,文科,4,-,4900,,
plan_70_2542_14_2022_2_本科一批B段,70_2542,70,2542,山西,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批B段,文科,2,-,5390,,
plan_70_2558_14_2022_1_本科一批B段,70_2558,70,2558,山西,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批B段,理科,3,-,5390,,
plan_70_2541_14_2022_1_本科一批B段,70_2541,70,2541,山西,2022,农林经济管理,本科 (1),管理学 (13),农业经济管理类 (114),普通类,本科一批B段,理科,2,-,4900,,
plan_70_2546_14_2022_1_本科一批B段,70_2546,70,2546,山西,2022,动物科学,本科 (1),农学 (11),动物生产类 (96),普通类,本科一批B段,理科,2,-,5200,,
plan_70_2562_14_2022_1_本科一批B段,70_2562,70,2562,山西,2022,园林,本科 (1),农学 (11),林学类 (98),普通类,本科一批B段,理科,2,-,5720,,
plan_70_2566_14_2022_1_本科一批B段,70_2566,70,2566,山西,2022,木材科学与工程,本科 (1),工学 (10),林业工程类 (86),普通类,本科一批B段,理科,2,-,5200,,
plan_70_2561_14_2022_1_本科二批A段,70_2561,70,2561,山西,2022,园艺,本科 (1),农学 (11),植物生产类 (94),普通类,本科二批A段,理科,5,-,5200,,
plan_70_2556_14_2022_1_本科二批A段,70_2556,70,2556,山西,2022,动物医学,本科 (1),农学 (11),动物医学类 (97),普通类,本科二批A段,理科,4,五年,5720,,
plan_70_2581_14_2022_1_本科二批A段,70_2581,70,2581,山西,2022,植物保护,本科 (1),农学 (11),植物生产类 (94),普通类,本科二批A段,理科,4,-,5200,,
plan_70_150573_14_2022_1_本科二批A段,70_150573,70,150573,山西,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科二批A段,理科,4,-,5200,,
plan_70_2531_14_2022_1_本科二批A段,70_2531,70,2531,山西,2022,应用化学,本科 (1),理学 (9),化学类 (53),普通类,本科二批A段,理科,2,-,5200,,
plan_70_2564_14_2022_1_本科二批A段,70_2564,70,2564,山西,2022,城乡规划,本科 (1),工学 (10),建筑类 (90),普通类,本科二批A段,理科,2,五年,5200,,
plan_70_2567_14_2022_1_本科二批A段,70_2567,70,2567,山西,2022,农学,本科 (1),农学 (11),植物生产类 (94),普通类,本科二批A段,理科,2,-,5200,,
plan_70_2573_14_2022_1_本科二批A段,70_2573,70,2573,山西,2022,农业资源与环境,本科 (1),农学 (11),自然保护与环境生态类 (95),普通类,本科二批A段,理科,2,-,5720,,
plan_70_2580_14_2022_1_本科二批A段,70_2580,70,2580,山西,2022,物流工程,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科二批A段,理科,2,-,5200,,
plan_70_150574_14_2022_1_本科二批A段,70_150574,70,150574,山西,2022,生物制药,本科 (1),工学 (10),生物工程类 (92),普通类,本科二批A段,理科,2,-,5200,,
plan_70_1800820_14_2022_1_本科二批A段,70_1800820,70,1800820,山西,2022,智能制造工程,本科 (1),工学 (10),机械类 (64),普通类,本科二批A段,理科,2,-,5200,,
plan_70_2520_14_2022_1_本科二批A段,70_2520,70,2520,山西,2022,茶学,本科 (1),农学 (11),植物生产类 (94),普通类,本科二批A段,理科,1,-,5720,,
plan_70_2579_14_2022_1_本科二批A段,70_2579,70,2579,山西,2022,农业水利工程,本科 (1),工学 (10),农业工程类 (85),普通类,本科二批A段,理科,1,-,5200,,
plan_70_2546_15_2022_1_本科二批,70_2546,70,2546,内蒙古,2022,动物科学,本科 (1),农学 (11),动物生产类 (96),普通类,本科二批,理科,4,四年,5200,（校本部）,
plan_70_2520_15_2022_1_本科二批,70_2520,70,2520,内蒙古,2022,茶学,本科 (1),农学 (11),植物生产类 (94),普通类,本科二批,理科,2,四年,5720,（校本部）,
plan_70_2550_15_2022_1_本科二批,70_2550,70,2550,内蒙古,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科二批,理科,2,四年,5720,（校本部）,
plan_70_150573_15_2022_1_本科二批,70_150573,70,150573,内蒙古,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科二批,理科,2,四年,5200,（校本部）,
plan_70_2543_21_2022_2074_本科批,70_2543,70,2543,辽宁,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科批,历史类,2,四年,4900,,
plan_70_2552_21_2022_2074_本科批,70_2552,70,2552,辽宁,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,2,四年,5390,,
plan_70_2541_21_2022_2074_本科批,70_2541,70,2541,辽宁,2022,农林经济管理,本科 (1),管理学 (13),农业经济管理类 (114),普通类,本科批,历史类,1,四年,4900,,
plan_70_2542_21_2022_2074_本科批,70_2542,70,2542,辽宁,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,1,四年,5390,,
plan_70_2558_21_2022_2074_本科批,70_2558,70,2558,辽宁,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,历史类,1,四年,5390,,
plan_70_2561_21_2022_2074_本科批,70_2561,70,2561,辽宁,2022,园艺,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,历史类,1,四年,5200,,
plan_70_2567_21_2022_2074_本科批,70_2567,70,2567,辽宁,2022,农学,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,历史类,1,四年,5200,,
plan_70_2581_21_2022_2074_本科批,70_2581,70,2581,辽宁,2022,植物保护,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,历史类,1,四年,5200,,
plan_70_2520_21_2022_2073_本科批,70_2520,70,2520,辽宁,2022,茶学,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,物理类,2,四年,5720,,
plan_70_169631_21_2022_2073_本科批,70_169631,70,169631,辽宁,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,2,四年,5720,,
plan_70_2546_21_2022_2073_本科批,70_2546,70,2546,辽宁,2022,动物科学,本科 (1),农学 (11),动物生产类 (96),普通类,本科批,物理类,1,四年,5200,,
plan_70_2551_21_2022_2073_本科批,70_2551,70,2551,辽宁,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,1,四年,5720,,
plan_70_2539_22_2022_2_本科二批A段,70_2539,70,2539,吉林,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科二批A段,文科,3,-,5200,,
plan_70_2552_22_2022_2_本科二批A段,70_2552,70,2552,吉林,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科二批A段,文科,2,-,5390,,
plan_70_2563_22_2022_1_本科二批A段,70_2563,70,2563,吉林,2022,林学,本科 (1),农学 (11),林学类 (98),普通类,本科二批A段,理科,4,-,5200,,
plan_70_2561_22_2022_1_本科二批A段,70_2561,70,2561,吉林,2022,园艺,本科 (1),农学 (11),植物生产类 (94),普通类,本科二批A段,理科,2,-,5200,,
plan_70_2520_22_2022_1_本科二批A段,70_2520,70,2520,吉林,2022,茶学,本科 (1),农学 (11),植物生产类 (94),普通类,本科二批A段,理科,1,-,5720,,
plan_70_2543_23_2022_2_本科二批A段,70_2543,70,2543,黑龙江,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科二批A段,文科,2,四年,4900,,
plan_70_2583_23_2022_2_本科二批A段,70_2583,70,2583,黑龙江,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科二批A段,文科,1,四年,4900,,
plan_70_2561_23_2022_1_本科二批A段,70_2561,70,2561,黑龙江,2022,园艺,本科 (1),农学 (11),植物生产类 (94),普通类,本科二批A段,理科,3,四年,5200,,
plan_70_2581_23_2022_1_本科二批A段,70_2581,70,2581,黑龙江,2022,植物保护,本科 (1),农学 (11),植物生产类 (94),普通类,本科二批A段,理科,2,四年,5200,,
plan_70_2520_23_2022_1_本科二批A段,70_2520,70,2520,黑龙江,2022,茶学,本科 (1),农学 (11),植物生产类 (94),普通类,本科二批A段,理科,1,四年,5720,,
plan_70_2546_23_2022_1_本科二批A段,70_2546,70,2546,黑龙江,2022,动物科学,本科 (1),农学 (11),动物生产类 (96),普通类,本科二批A段,理科,1,四年,5200,,
plan_70_2551_23_2022_1_本科二批A段,70_2551,70,2551,黑龙江,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科二批A段,理科,1,四年,5720,,
plan_70_2567_23_2022_1_本科二批A段,70_2567,70,2567,黑龙江,2022,农学,本科 (1),农学 (11),植物生产类 (94),普通类,本科二批A段,理科,1,四年,5200,,
plan_70_2576_23_2022_1_本科二批A段,70_2576,70,2576,黑龙江,2022,农业机械化及其自动化,本科 (1),工学 (10),农业工程类 (85),普通类,本科二批A段,理科,1,四年,5200,,
plan_70_2539_31_2022_3_本科批,70_2539,70,2539,上海,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批,综合,2,四年,5200,（办学点:校本部）,不限
plan_70_2540_31_2022_3_本科批,70_2540,70,2540,上海,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,2,四年,5390,（办学点:校本部）,不限
plan_70_2543_31_2022_3_本科批,70_2543,70,2543,上海,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科批,综合,2,四年,4900,（办学点:校本部）,不限
plan_70_2552_31_2022_3_本科批,70_2552,70,2552,上海,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,1,四年,5390,（办学点:校本部）,不限
plan_70_2556_31_2022_3_本科批,70_2556,70,2556,上海,2022,动物医学,本科 (1),农学 (11),动物医学类 (97),普通类,本科批,综合,4,五年,5720,（办学点:校本部）,物/化/生(3选1)
plan_70_2561_31_2022_3_本科批,70_2561,70,2561,上海,2022,园艺,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,综合,4,四年,5200,（办学点:校本部）,物/化/生(3选1)
plan_70_2576_31_2022_3_本科批,70_2576,70,2576,上海,2022,农业机械化及其自动化,本科 (1),工学 (10),农业工程类 (85),普通类,本科批,综合,3,四年,5200,（办学点:校本部）,物/化/生(3选1)
plan_70_2520_31_2022_3_本科批,70_2520,70,2520,上海,2022,茶学,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,综合,2,四年,5720,（办学点:校本部）,物/化/生(3选1)
plan_70_2539_31_2022_3_本科批,70_2539,70,2539,上海,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批,综合,2,四年,5200,（办学点:校本部）,不限
plan_70_2540_31_2022_3_本科批,70_2540,70,2540,上海,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,2,四年,5390,（办学点:校本部）,不限
plan_70_2543_31_2022_3_本科批,70_2543,70,2543,上海,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科批,综合,2,四年,4900,（办学点:校本部）,不限
plan_70_2567_31_2022_3_本科批,70_2567,70,2567,上海,2022,农学,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,综合,2,四年,5200,（办学点:校本部）,物/化/生(3选1)
plan_70_2581_31_2022_3_本科批,70_2581,70,2581,上海,2022,植物保护,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,综合,2,四年,5200,（办学点:校本部）,物/化/生(3选1)
plan_70_150575_31_2022_3_本科批,70_150575,70,150575,上海,2022,食品卫生与营养学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,综合,2,四年,5200,（办学点:校本部）,物/化/生(3选1)
plan_70_2552_31_2022_3_本科批,70_2552,70,2552,上海,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,1,四年,5390,（办学点:校本部）,不限
plan_70_2556_31_2022_3_本科批,70_2556,70,2556,上海,2022,动物医学,本科 (1),农学 (11),动物医学类 (97),普通类,本科批,综合,4,五年,5720,（办学点:校本部）,物/化/生(3选1)
plan_70_2561_31_2022_3_本科批,70_2561,70,2561,上海,2022,园艺,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,综合,4,四年,5200,（办学点:校本部）,物/化/生(3选1)
plan_70_2576_31_2022_3_本科批,70_2576,70,2576,上海,2022,农业机械化及其自动化,本科 (1),工学 (10),农业工程类 (85),普通类,本科批,综合,3,四年,5200,（办学点:校本部）,物/化/生(3选1)
plan_70_2520_31_2022_3_本科批,70_2520,70,2520,上海,2022,茶学,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,综合,2,四年,5720,（办学点:校本部）,物/化/生(3选1)
plan_70_2567_31_2022_3_本科批,70_2567,70,2567,上海,2022,农学,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,综合,2,四年,5200,（办学点:校本部）,物/化/生(3选1)
plan_70_2581_31_2022_3_本科批,70_2581,70,2581,上海,2022,植物保护,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,综合,2,四年,5200,（办学点:校本部）,物/化/生(3选1)
plan_70_150575_31_2022_3_本科批,70_150575,70,150575,上海,2022,食品卫生与营养学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,综合,2,四年,5200,（办学点:校本部）,物/化/生(3选1)
plan_70_2540_32_2022_2074_本科批,70_2540,70,2540,江苏,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,2,四年,5390,,首选历史，再选不限
plan_70_2542_32_2022_2074_本科批,70_2542,70,2542,江苏,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,2,四年,5390,,首选历史，再选不限
plan_70_2543_32_2022_2074_本科批,70_2543,70,2543,江苏,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科批,历史类,2,四年,4900,,首选历史，再选不限
plan_70_2574_32_2022_2074_本科批,70_2574,70,2574,江苏,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,2,四年,4900,,首选历史，再选不限
plan_70_2562_32_2022_2074_本科批,70_2562,70,2562,江苏,2022,园林,本科 (1),农学 (11),林学类 (98),普通类,本科批,历史类,1,四年,5720,,首选历史，再选不限
plan_70_2571_32_2022_2074_本科批,70_2571,70,2571,江苏,2022,法语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,1,四年,4900,,首选历史，再选不限
plan_70_2583_32_2022_2074_本科批,70_2583,70,2583,江苏,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,历史类,1,四年,4900,,首选历史，再选不限
plan_70_2540_32_2022_2074_本科批,70_2540,70,2540,江苏,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,2,四年,5390,,首选历史，再选不限
plan_70_2542_32_2022_2074_本科批,70_2542,70,2542,江苏,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,2,四年,5390,,首选历史，再选不限
plan_70_2543_32_2022_2074_本科批,70_2543,70,2543,江苏,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科批,历史类,2,四年,4900,,首选历史，再选不限
plan_70_2561_32_2022_2074_本科批,70_2561,70,2561,江苏,2022,园艺,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,历史类,2,四年,5200,,首选历史，再选化学/生物(2选1)
plan_70_2567_32_2022_2074_本科批,70_2567,70,2567,江苏,2022,农学,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,历史类,2,四年,5200,,首选历史，再选化学/生物(2选1)
plan_70_2574_32_2022_2074_本科批,70_2574,70,2574,江苏,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,2,四年,4900,,首选历史，再选不限
plan_70_2581_32_2022_2074_本科批,70_2581,70,2581,江苏,2022,植物保护,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,历史类,2,四年,5200,,首选历史，再选化学/生物(2选1)
plan_70_1535503_32_2022_2074_本科批,70_1535503,70,1535503,江苏,2022,智慧农业,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,历史类,2,四年,5200,,首选历史，再选化学/生物(2选1)
plan_70_2562_32_2022_2074_本科批,70_2562,70,2562,江苏,2022,园林,本科 (1),农学 (11),林学类 (98),普通类,本科批,历史类,1,四年,5720,,首选历史，再选不限
plan_70_2571_32_2022_2074_本科批,70_2571,70,2571,江苏,2022,法语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,1,四年,4900,,首选历史，再选不限
plan_70_2583_32_2022_2074_本科批,70_2583,70,2583,江苏,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,历史类,1,四年,4900,,首选历史，再选不限
plan_70_2561_32_2022_2074_本科批,70_2561,70,2561,江苏,2022,园艺,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,历史类,2,四年,5200,,首选历史，再选化学/生物(2选1)
plan_70_2567_32_2022_2074_本科批,70_2567,70,2567,江苏,2022,农学,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,历史类,2,四年,5200,,首选历史，再选化学/生物(2选1)
plan_70_2581_32_2022_2074_本科批,70_2581,70,2581,江苏,2022,植物保护,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,历史类,2,四年,5200,,首选历史，再选化学/生物(2选1)
plan_70_1535503_32_2022_2074_本科批,70_1535503,70,1535503,江苏,2022,智慧农业,本科 (1),农学 (11),植物生产类 (94),普通类,本科批,历史类,2,四年,5200,,首选历史，再选化学/生物(2选1)
plan_70_2564_32_2022_2073_本科批,70_2564,70,2564,江苏,2022,城乡规划,本科 (1),工学 (10),建筑类 (90),普通类,本科批,物理类,2,五年,5200,,首选物理，再选不限
plan_70_2576_32_2022_2073_本科批,70_2576,70,2576,江苏,2022,农业机械化及其自动化,本科 (1),工学 (10),农业工程类 (85),普通类,本科批,物理类,2,四年,5200,,首选物理，再选不限
