plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_72_2712_11_2022_3_本科批,72_2712,72,2712,北京,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科批,综合,3,四年,5500,,化学、生物(2科必选)
plan_72_2712_11_2022_3_本科批,72_2712,72,2712,北京,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科批,综合,3,四年,5500,,化学、生物(2科必选)
plan_72_2708_14_2022_1_本科二批A段,72_2708,72,2708,山西,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科二批A段,理科,7,五年,6050,,
plan_72_2693_15_2022_1_本科一批,72_2693,72,2693,内蒙古,2022,医学检验技术,本科 (1),医学 (12),医学技术类 (110),普通类,本科一批,理科,3,四年,5500,（梅山路校区）（不招收色盲色弱考生）,
plan_72_2708_15_2022_1_本科一批,72_2708,72,2708,内蒙古,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批,理科,2,五年,6050,（梅山路校区）（不招收色盲色弱考生）,
plan_72_2711_15_2022_1_本科二批,72_2711,72,2711,内蒙古,2022,妇幼保健医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科二批,理科,3,五年,5500,（梅山路校区）（不招收色盲色弱考生）,
plan_72_2708_23_2022_1_本科一批A段,72_2708,72,2708,黑龙江,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科一批A段,理科,3,五年,6050,,
plan_72_2713_23_2022_1_本科一批A段,72_2713,72,2713,黑龙江,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科一批A段,理科,2,五年,5500,,
plan_72_2708_33_2022_3_普通类平行录取,72_2708,72,2708,浙江,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,普通类平行录取,综合,7,五年,6050,（梅山路校区）,
plan_72_2717_33_2022_3_普通类平行录取,72_2717,72,2717,浙江,2022,临床药学,本科 (1),医学 (12),药学类 (107),普通类,普通类平行录取,综合,3,五年,5500,（梅山路校区）,
plan_72_2694_33_2022_3_普通类平行录取,72_2694,72,2694,浙江,2022,护理学,本科 (1),医学 (12),护理学类 (111),普通类,普通类平行录取,综合,2,四年,5500,（翡翠路校区）,
plan_72_2712_33_2022_3_普通类平行录取,72_2712,72,2712,浙江,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,普通类平行录取,综合,2,四年,5500,（梅山路校区）,
plan_72_2713_33_2022_3_普通类平行录取,72_2713,72,2713,浙江,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,普通类平行录取,综合,2,五年,5500,（梅山路校区）,
plan_72_2714_33_2022_3_普通类平行录取,72_2714,72,2714,浙江,2022,麻醉学,本科 (1),医学 (12),临床医学类 (102),普通类,普通类平行录取,综合,2,五年,6050,（梅山路校区）,
plan_72_107233_34_2022_2_本科一批,72_107233,72,107233,安徽,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,文科,90,-,4900,,
