plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_67_2338_11_2022_3_本科批,67_2338,67,2338,北京,2022,,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,3,四年,5000,,不限
plan_67_2338_11_2022_3_本科批,67_2338,67,2338,北京,2022,,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,3,四年,5000,,不限
plan_67_2356_11_2022_3_本科批,67_2356,67,2356,北京,2022,,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,3,四年,6480,,物理必选
plan_67_2356_11_2022_3_本科批,67_2356,67,2356,北京,2022,,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,3,四年,6480,,物理必选
plan_67_2335_13_2022_2074_本科批,67_2335,67,2335,河北,2022,,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,历史类,5,四年,5000,,
plan_67_2338_13_2022_2074_本科批,67_2338,67,2338,河北,2022,,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,历史类,5,四年,5000,,
plan_67_2356_13_2022_2073_本科批,67_2356,67,2356,河北,2022,,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,7,四年,6480,,
plan_67_2385_13_2022_2073_本科批,67_2385,67,2385,河北,2022,,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,6,四年,5400,,
plan_67_2391_13_2022_2073_本科批,67_2391,67,2391,河北,2022,,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,6,四年,6480,,
plan_67_1130205_13_2022_2073_本科批,67_1130205,67,1130205,河北,2022,,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,6,四年,6480,,
plan_67_1130206_13_2022_2073_本科批,67_1130206,67,1130206,河北,2022,,本科 (1),工学 (10),自动化类 (70),普通类,本科批,物理类,6,四年,5400,,
plan_67_2340_13_2022_2073_本科批,67_2340,67,2340,河北,2022,,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,物理类,5,四年,5000,,
plan_67_2384_13_2022_2073_本科批,67_2384,67,2384,河北,2022,,本科 (1),工学 (10),自动化类 (70),普通类,本科批,物理类,4,四年,5400,,
plan_67_2389_13_2022_2073_本科批,67_2389,67,2389,河北,2022,,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,4,四年,6480,,
plan_67_2354_13_2022_2073_本科批,67_2354,67,2354,河北,2022,,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,3,四年,6480,,
plan_67_2324_14_2022_2_本科一批A段,67_2324,67,2324,山西,2022,,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,3,-,5000,,
plan_67_2336_14_2022_2_本科一批A段,67_2336,67,2336,山西,2022,,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科一批A段,文科,3,-,5000,,
plan_67_657329_14_2022_2_本科一批A段,67_657329,67,657329,山西,2022,,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科一批A段,文科,3,-,5000,,
plan_67_2369_14_2022_2_本科一批A段,67_2369,67,2369,山西,2022,,本科 (1),哲学 (3),哲学类 (34),普通类,本科一批A段,文科,2,-,5000,,
plan_67_657353_14_2022_2_本科一批A段,67_657353,67,657353,山西,2022,,本科 (1),管理学 (13),旅游管理类 (120),普通类,本科一批A段,文科,2,-,5000,,
plan_67_1026277_14_2022_2_本科一批A段,67_1026277,67,1026277,山西,2022,,本科 (1),管理学 (13),公共管理类 (115),普通类,本科一批A段,文科,2,-,5000,,
plan_67_1378136_14_2022_2_本科一批A段,67_1378136,67,1378136,山西,2022,,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科一批A段,文科,2,-,5000,,
plan_67_316144_14_2022_1_本科一批A段,67_316144,67,316144,山西,2022,,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,4,-,5400,,
plan_67_2329_14_2022_1_本科一批A段,67_2329,67,2329,山西,2022,,本科 (1),工学 (10),材料类 (66),普通类,本科一批A段,理科,3,-,6480,,
plan_67_1471202_14_2022_1_本科一批A段,67_1471202,67,1471202,山西,2022,,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,3,-,6480,,
plan_67_2356_14_2022_1_本科一批A段,67_2356,67,2356,山西,2022,,本科 (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,2,-,6480,,
plan_67_2376_14_2022_1_本科一批A段,67_2376,67,2376,山西,2022,,本科 (1),理学 (9),地理科学类 (55),普通类,本科一批A段,理科,2,-,5400,,
plan_67_2382_14_2022_1_本科一批A段,67_2382,67,2382,山西,2022,,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科一批A段,理科,2,-,5400,,
plan_67_575417_14_2022_1_本科一批A段,67_575417,67,575417,山西,2022,,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科一批A段,理科,2,-,5000,,
plan_67_2320_15_2022_2_本科一批,67_2320,67,2320,内蒙古,2022,,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,文科,3,四年,5000,（蜀山校区）,
plan_67_1026277_15_2022_2_本科一批,67_1026277,67,1026277,内蒙古,2022,,本科 (1),管理学 (13),公共管理类 (115),普通类,本科一批,文科,3,四年,5000,（蜀山校区）,
plan_67_2339_15_2022_2_本科一批,67_2339,67,2339,内蒙古,2022,,本科 (1),经济学 (4),财政学类 (36),普通类,本科一批,文科,2,四年,5000,（蜀山校区）,
