plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_53_1519_11_2022_3_本科批,53_1519,53,1519,北京,2022,经济统计学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,综合,6,四年,5000,,不限
plan_53_1509_11_2022_3_本科批,53_1509,53,1509,北京,2022,精算学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,7,四年,5500,,物理必选
plan_53_1519_11_2022_3_本科批,53_1519,53,1519,北京,2022,经济统计学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,综合,6,四年,5000,,不限
plan_53_1482_11_2022_3_本科批,53_1482,53,1482,北京,2022,金融工程,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,5,四年,5000,,物理必选
plan_53_97432_11_2022_3_本科批,53_97432,53,97432,北京,2022,金融工程,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,5,四年,5000,,物理必选
plan_53_1800226_11_2022_3_本科批,53_1800226,53,1800226,北京,2022,金融科技,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,5,四年,5000,,物理必选
plan_53_1520_11_2022_3_本科批,53_1520,53,1520,北京,2022,金融数学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,4,四年,5000,,物理必选
plan_53_1511182_11_2022_3_本科批,53_1511182,53,1511182,北京,2022,统计学,本科 (1),理学 (9),统计学类 (62),普通类,本科批,综合,3,四年,5500,,物理必选
plan_53_1800227_11_2022_3_本科批,53_1800227,53,1800227,北京,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,2,四年,5500,,物理必选
plan_53_1509_11_2022_3_本科批,53_1509,53,1509,北京,2022,精算学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,7,四年,5500,,物理必选
plan_53_1482_11_2022_3_本科批,53_1482,53,1482,北京,2022,金融工程,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,5,四年,5000,,物理必选
plan_53_97432_11_2022_3_本科批,53_97432,53,97432,北京,2022,金融工程,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,5,四年,5000,,物理必选
plan_53_1800226_11_2022_3_本科批,53_1800226,53,1800226,北京,2022,金融科技,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,5,四年,5000,,物理必选
plan_53_1520_11_2022_3_本科批,53_1520,53,1520,北京,2022,金融数学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,4,四年,5000,,物理必选
plan_53_1511182_11_2022_3_本科批,53_1511182,53,1511182,北京,2022,统计学,本科 (1),理学 (9),统计学类 (62),普通类,本科批,综合,3,四年,5500,,物理必选
plan_53_1800227_11_2022_3_本科批,53_1800227,53,1800227,北京,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,2,四年,5500,,物理必选
plan_53_1500_11_2022_3_本科提前批A段,53_1500,53,1500,北京,2022,德语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,4,4,6000,,不限
plan_53_1502_11_2022_3_本科提前批A段,53_1502,53,1502,北京,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,3,4,6000,,不限
plan_53_1514_11_2022_3_本科提前批A段,53_1514,53,1514,北京,2022,西班牙语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,3,4,6000,,不限
plan_53_1516_11_2022_3_本科提前批A段,53_1516,53,1516,北京,2022,意大利语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,3,4,6000,,不限
plan_53_1517_11_2022_3_本科提前批A段,53_1517,53,1517,北京,2022,葡萄牙语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,2,4,6000,,不限
plan_53_1500_11_2022_3_本科提前批A段,53_1500,53,1500,北京,2022,德语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,4,4,6000,,不限
plan_53_1502_11_2022_3_本科提前批A段,53_1502,53,1502,北京,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,3,4,6000,,不限
plan_53_1514_11_2022_3_本科提前批A段,53_1514,53,1514,北京,2022,西班牙语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,3,4,6000,,不限
plan_53_1516_11_2022_3_本科提前批A段,53_1516,53,1516,北京,2022,意大利语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,3,4,6000,,不限
plan_53_1517_11_2022_3_本科提前批A段,53_1517,53,1517,北京,2022,葡萄牙语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,2,4,6000,,不限
plan_53_1502_12_2022_3_本科提前批A段,53_1502,53,1502,天津,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,4,4,6000,（北京）,不限
plan_53_1500_12_2022_3_本科提前批A段,53_1500,53,1500,天津,2022,德语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,3,4,6000,（北京）,不限
plan_53_1514_12_2022_3_本科提前批A段,53_1514,53,1514,天津,2022,西班牙语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,3,4,6000,（北京）,不限
plan_53_1502_12_2022_3_本科提前批A段,53_1502,53,1502,天津,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,4,4,6000,（北京）,不限
plan_53_1500_12_2022_3_本科提前批A段,53_1500,53,1500,天津,2022,德语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,3,4,6000,（北京）,不限
plan_53_1514_12_2022_3_本科提前批A段,53_1514,53,1514,天津,2022,西班牙语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,综合,3,4,6000,（北京）,不限
plan_53_1478_13_2022_2074_本科批,53_1478,53,1478,河北,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,历史类,3,四年,5000,,
plan_53_1482_13_2022_2073_本科批,53_1482,53,1482,河北,2022,金融工程,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,4,四年,5000,,
plan_53_1509_13_2022_2073_本科批,53_1509,53,1509,河北,2022,精算学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,4,四年,5500,,
plan_53_1800227_13_2022_2073_本科批,53_1800227,53,1800227,河北,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,4,四年,5500,,
plan_53_1491_13_2022_2073_本科批,53_1491,53,1491,河北,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,3,四年,5500,,
plan_53_1519_13_2022_2073_本科批,53_1519,53,1519,河北,2022,经济统计学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,物理类,3,四年,5000,,
plan_53_1520_13_2022_2073_本科批,53_1520,53,1520,河北,2022,金融数学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,3,四年,5000,,
plan_53_1800226_13_2022_2073_本科批,53_1800226,53,1800226,河北,2022,金融科技,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,3,四年,5000,,
plan_53_1500_13_2022_2073_本科提前批A段,53_1500,53,1500,河北,2022,德语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,物理类,1,4,6000,（北京市）（只招英语语种考生）,
plan_53_1514_13_2022_2073_本科提前批A段,53_1514,53,1514,河北,2022,西班牙语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,物理类,1,4,6000,（北京市）（只招英语语种考生）,
plan_53_575931_13_2022_2073_本科提前批B段,53_575931,53,575931,河北,2022,物流管理,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科提前批B段,物理类,1,4,5000,（国家专项计划）,
plan_53_1500_13_2022_2074_本科提前批A段,53_1500,53,1500,河北,2022,德语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批A段,历史类,1,4,6000,（只招英语语种考生）,
plan_53_575931_13_2022_2074_本科提前批B段,53_575931,53,575931,河北,2022,物流管理,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科提前批B段,历史类,1,4,5000,（国家专项计划）,
plan_53_1885937_14_2022_2_本科一批A段,53_1885937,53,1885937,山西,2022,国际商务,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,文科,3,-,5000,,
plan_53_1129605_14_2022_2_本科一批A段,53_1129605,53,1129605,山西,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科一批A段,文科,2,-,5000,,
plan_53_1509_14_2022_1_本科一批A段,53_1509,53,1509,山西,2022,精算学,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批A段,理科,4,-,5500,,
plan_53_1482_14_2022_1_本科一批A段,53_1482,53,1482,山西,2022,金融工程,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批A段,理科,3,-,5000,,
plan_53_1800227_14_2022_1_本科一批A段,53_1800227,53,1800227,山西,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,3,-,5500,,
plan_53_1502_14_2022_2_提前一批本科,53_1502,53,1502,山西,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,提前一批本科,文科,2,4,6000,（外语语种英语）,
plan_53_1516_14_2022_2_提前一批本科,53_1516,53,1516,山西,2022,意大利语,本科 (1),文学 (7),外国语言文学类 (48),普通类,提前一批本科,文科,2,4,6000,（外语语种英语）,
plan_53_1517_14_2022_2_提前一批本科,53_1517,53,1517,山西,2022,葡萄牙语,本科 (1),文学 (7),外国语言文学类 (48),普通类,提前一批本科,文科,2,4,6000,（外语语种英语）,
plan_53_1129605_14_2022_2_提前一批本科,53_1129605,53,1129605,山西,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,提前一批本科,文科,2,4,5000,（国家专项计划院校）,
plan_53_1500_14_2022_2_提前一批本科,53_1500,53,1500,山西,2022,德语,本科 (1),文学 (7),外国语言文学类 (48),普通类,提前一批本科,文科,1,4,6000,（外语语种英语）,
plan_53_1500_14_2022_1_提前一批本科,53_1500,53,1500,山西,2022,德语,本科 (1),文学 (7),外国语言文学类 (48),普通类,提前一批本科,理科,1,4,6000,（外语语种英语）,
plan_53_1502_14_2022_1_提前一批本科,53_1502,53,1502,山西,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,提前一批本科,理科,1,4,6000,（外语语种英语）,
plan_53_1514_14_2022_1_提前一批本科,53_1514,53,1514,山西,2022,西班牙语,本科 (1),文学 (7),外国语言文学类 (48),普通类,提前一批本科,理科,1,4,6000,（外语语种英语）,
plan_53_1800227_15_2022_1_本科一批,53_1800227,53,1800227,内蒙古,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批,理科,3,四年,5500,（北京）,
plan_53_1509_15_2022_1_本科一批,53_1509,53,1509,内蒙古,2022,精算学,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批,理科,2,四年,5500,（北京）,
plan_53_1520_15_2022_1_本科一批,53_1520,53,1520,内蒙古,2022,金融数学,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批,理科,2,四年,5000,（北京）,
plan_53_575931_15_2022_1_本科提前批B段,53_575931,53,575931,内蒙古,2022,物流管理,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科提前批B段,理科,2,4,5000,,
plan_53_1509_21_2022_2073_本科批,53_1509,53,1509,辽宁,2022,精算学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,4,四年,5500,,
plan_53_1800226_21_2022_2073_本科批,53_1800226,53,1800226,辽宁,2022,金融科技,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,4,四年,5000,,
plan_53_1519_21_2022_2073_本科批,53_1519,53,1519,辽宁,2022,经济统计学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,物理类,3,四年,5000,,
plan_53_1520_21_2022_2073_本科批,53_1520,53,1520,辽宁,2022,金融数学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,3,四年,5000,,
plan_53_1800227_21_2022_2073_本科批,53_1800227,53,1800227,辽宁,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,3,四年,5500,,
plan_53_1509_22_2022_1_本科一批A段,53_1509,53,1509,吉林,2022,精算学,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批A段,理科,3,-,5500,,
plan_53_97432_22_2022_1_本科一批A段,53_97432,53,97432,吉林,2022,金融工程,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批A段,理科,3,-,5000,,
plan_53_1520_22_2022_1_本科一批A段,53_1520,53,1520,吉林,2022,金融数学,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批A段,理科,2,-,5000,,
plan_53_1509_23_2022_1_本科一批A段,53_1509,53,1509,黑龙江,2022,精算学,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批A段,理科,4,四年,5500,,
plan_53_1482_23_2022_1_本科一批A段,53_1482,53,1482,黑龙江,2022,金融工程,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批A段,理科,3,四年,5000,,
plan_53_1800227_23_2022_1_本科一批A段,53_1800227,53,1800227,黑龙江,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,3,四年,5500,,
plan_53_1520_23_2022_1_本科一批A段,53_1520,53,1520,黑龙江,2022,金融数学,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批A段,理科,2,四年,5000,,
plan_53_1500_23_2022_1_本科提前批,53_1500,53,1500,黑龙江,2022,德语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批,理科,1,4,6000,(该校在省普通本科一批录取控制分数线上招生，招英语考生。),
plan_53_1516_23_2022_1_本科提前批,53_1516,53,1516,黑龙江,2022,意大利语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批,理科,1,4,6000,(该校在省普通本科一批录取控制分数线上招生，招英语考生。),
plan_53_1500_23_2022_2_本科提前批,53_1500,53,1500,黑龙江,2022,德语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批,文科,2,4,6000,(该校在省普通本科一批录取控制分数线上招生，招英语考生。),
plan_53_1514_23_2022_2_本科提前批,53_1514,53,1514,黑龙江,2022,西班牙语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批,文科,1,4,6000,(该校在省普通本科一批录取控制分数线上招生，招英语考生。),
plan_53_1800226_31_2022_3_本科批,53_1800226,53,1800226,上海,2022,金融科技,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,3,四年,5000,（办学点:北京）,物理必选
plan_53_1800226_31_2022_3_本科批,53_1800226,53,1800226,上海,2022,金融科技,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,3,四年,5000,（办学点:北京）,物理必选
plan_53_1500_31_2022_3_本科提前批,53_1500,53,1500,上海,2022,德语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批,综合,1,4,6000,（办学点：北京）（语种要求：英语）,不限
plan_53_1514_31_2022_3_本科提前批,53_1514,53,1514,上海,2022,西班牙语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批,综合,1,4,6000,（办学点：北京）（语种要求：英语）,不限
plan_53_1500_31_2022_3_本科提前批,53_1500,53,1500,上海,2022,德语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批,综合,1,4,6000,（办学点：北京）（语种要求：英语）,不限
plan_53_1514_31_2022_3_本科提前批,53_1514,53,1514,上海,2022,西班牙语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科提前批,综合,1,4,6000,（办学点：北京）（语种要求：英语）,不限
plan_53_1519_32_2022_2074_本科批,53_1519,53,1519,江苏,2022,经济统计学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,历史类,2,四年,5000,,首选历史，再选不限
plan_53_1519_32_2022_2074_本科批,53_1519,53,1519,江苏,2022,经济统计学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,历史类,2,四年,5000,,首选历史，再选不限
plan_53_97432_32_2022_2073_本科批,53_97432,53,97432,江苏,2022,金融工程,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,4,四年,5000,,首选物理，再选不限
plan_53_1511182_32_2022_2073_本科批,53_1511182,53,1511182,江苏,2022,统计学,本科 (1),理学 (9),统计学类 (62),普通类,本科批,物理类,4,四年,5500,,首选物理，再选不限
plan_53_1482_32_2022_2073_本科批,53_1482,53,1482,江苏,2022,金融工程,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,3,四年,5000,,首选物理，再选不限
plan_53_1491_32_2022_2073_本科批,53_1491,53,1491,江苏,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,3,四年,5500,,首选物理，再选不限
plan_53_1509_32_2022_2073_本科批,53_1509,53,1509,江苏,2022,精算学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,3,四年,5500,,首选物理，再选不限
plan_53_1800227_32_2022_2073_本科批,53_1800227,53,1800227,江苏,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,3,四年,5500,,首选物理，再选不限
plan_53_1520_32_2022_2073_本科批,53_1520,53,1520,江苏,2022,金融数学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,2,四年,5000,,首选物理，再选不限
plan_53_97432_32_2022_2073_本科批,53_97432,53,97432,江苏,2022,金融工程,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,4,四年,5000,,首选物理，再选不限
