plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_126_6277_11_2022_3_本科批,126_6277,126,6277,北京,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,2,四年,6000,,物理必选
plan_126_170763_11_2022_3_本科批,126_170763,126,170763,北京,2022,网络空间安全,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,2,四年,6000,,物理必选
plan_126_6277_11_2022_3_本科批,126_6277,126,6277,北京,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,2,四年,6000,,物理必选
plan_126_170763_11_2022_3_本科批,126_170763,126,170763,北京,2022,网络空间安全,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,2,四年,6000,,物理必选
plan_126_198570_11_2022_3_本科提前批A段,126_198570,126,198570,北京,2022,马克思主义理论,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,综合,3,4,5000,,思想政治必选
plan_126_198570_11_2022_3_本科提前批A段,126_198570,126,198570,北京,2022,马克思主义理论,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,综合,3,4,5000,,思想政治必选
plan_126_6277_13_2022_2073_本科批,126_6277,126,6277,河北,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,13,四年,6000,,
plan_126_1801719_13_2022_2073_本科批,126_1801719,126,1801719,河北,2022,智能建造与智慧交通,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,4,四年,6000,,
plan_126_1800290_13_2022_2073_本科批,126_1800290,126,1800290,河北,2022,生物医药数据科学,本科 (1),医学 (12),医学技术类 (110),普通类,本科批,物理类,2,四年,6000,,
plan_126_6277_13_2022_2073_本科提前批B段,126_6277,126,6277,河北,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科提前批B段,物理类,2,4,6000,（国家专项计划）,
plan_126_6259_13_2022_2073_本科提前批B段,126_6259,126,6259,河北,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科提前批B段,物理类,1,5,7500,（五年制）（国家专项计划）（不招收色弱、色盲考生）,
plan_126_6259_13_2022_2073_本科提前批C段,126_6259,126,6259,河北,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科提前批C段,物理类,1,5,7500,（五年制）（不招收色弱、色盲考生）（高校专项计划）,
plan_126_198570_13_2022_2074_本科提前批A段,126_198570,126,198570,河北,2022,马克思主义理论,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,历史类,2,4,5000,,
plan_126_6280_14_2022_2_本科一批A段,126_6280,126,6280,山西,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科一批A段,文科,2,-,5100,,
