plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_96_3940_13_2022_2073_本科批,96_3940,96,3940,河北,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,16,四年,5963,,
plan_96_3975_13_2022_2073_本科提前批C段,96_3975,96,3975,河北,2022,电子科学与技术,本科 (1),工学 (10),电子信息类 (69),普通类,本科提前批C段,物理类,1,4,5965,（高校专项计划）,
plan_96_3933_14_2022_1_本科一批A段,96_3933,96,3933,山西,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科一批A段,理科,5,-,5965,,
plan_96_3940_14_2022_1_本科一批A段,96_3940,96,3940,山西,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科一批A段,理科,5,-,5963,,
plan_96_3945_14_2022_1_本科一批A段,96_3945,96,3945,山西,2022,化学工程与工艺,本科 (1),工学 (10),化工与制药类 (75),普通类,本科一批A段,理科,5,-,5965,,
plan_96_3948_14_2022_1_本科一批A段,96_3948,96,3948,山西,2022,食品科学与工程,本科 (1),工学 (10),食品科学与工程类 (89),普通类,本科一批A段,理科,5,-,5965,,
plan_96_3972_14_2022_1_本科一批A段,96_3972,96,3972,山西,2022,物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科一批A段,理科,5,-,5965,,
plan_96_3933_15_2022_1_本科一批,96_3933,96,3933,内蒙古,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科一批,理科,2,四年,5965,（校本部）,
plan_96_3945_15_2022_1_本科一批,96_3945,96,3945,内蒙古,2022,化学工程与工艺,本科 (1),工学 (10),化工与制药类 (75),普通类,本科一批,理科,2,四年,5965,（校本部）,
plan_96_3975_15_2022_1_本科一批,96_3975,96,3975,内蒙古,2022,电子科学与技术,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批,理科,2,四年,5965,（校本部）,
plan_96_3940_21_2022_2073_本科批,96_3940,96,3940,辽宁,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,10,四年,5963,,
plan_96_3933_22_2022_1_本科一批A段,96_3933,96,3933,吉林,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科一批A段,理科,3,-,5965,,
plan_96_3940_22_2022_1_本科一批A段,96_3940,96,3940,吉林,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科一批A段,理科,3,-,5963,,
plan_96_3942_22_2022_1_本科一批A段,96_3942,96,3942,吉林,2022,水利水电工程,本科 (1),工学 (10),水利类 (73),普通类,本科一批A段,理科,3,-,5965,,
plan_96_3945_22_2022_1_本科一批A段,96_3945,96,3945,吉林,2022,化学工程与工艺,本科 (1),工学 (10),化工与制药类 (75),普通类,本科一批A段,理科,3,-,5965,,
plan_96_3940_23_2022_1_本科一批A段,96_3940,96,3940,黑龙江,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科一批A段,理科,4,四年,5963,,
plan_96_170288_23_2022_1_本科一批A段,96_170288,96,170288,黑龙江,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科一批A段,理科,4,四年,5965,,
plan_96_3933_23_2022_1_本科一批A段,96_3933,96,3933,黑龙江,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科一批A段,理科,3,四年,5965,,
plan_96_3942_23_2022_1_本科一批A段,96_3942,96,3942,黑龙江,2022,水利水电工程,本科 (1),工学 (10),水利类 (73),普通类,本科一批A段,理科,3,四年,5965,,
plan_96_3943_23_2022_1_本科一批A段,96_3943,96,3943,黑龙江,2022,环境工程,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科一批A段,理科,3,四年,5965,,
plan_96_3945_23_2022_1_本科一批A段,96_3945,96,3945,黑龙江,2022,化学工程与工艺,本科 (1),工学 (10),化工与制药类 (75),普通类,本科一批A段,理科,3,四年,5965,,
plan_96_3948_23_2022_1_本科一批A段,96_3948,96,3948,黑龙江,2022,食品科学与工程,本科 (1),工学 (10),食品科学与工程类 (89),普通类,本科一批A段,理科,3,四年,5965,,
