plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_129_6633_11_2022_3_本科批,129_6633,129,6633,北京,2022,朝鲜语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,2,四年,5060,,不限
plan_129_6633_11_2022_3_本科批,129_6633,129,6633,北京,2022,朝鲜语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,2,四年,5060,,不限
plan_129_6558_13_2022_2074_本科批,129_6558,129,6558,河北,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,2,四年,4620,,
plan_129_6638_13_2022_2073_本科批,129_6638,129,6638,河北,2022,护理学,本科(普通) (1),医学 (12),护理学类 (111),普通类,本科批,物理类,5,四年,5060,,
plan_129_1036494_13_2022_2073_本科批,129_1036494,129,1036494,河北,2022,高分子材料与工程,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,物理类,5,四年,3850,,
plan_129_1500069_13_2022_2073_本科批,129_1500069,129,1500069,河北,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,4,四年,4840,,
plan_129_6611_13_2022_2073_本科批,129_6611,129,6611,河北,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,3,五年,5060,,
plan_129_6615_13_2022_2073_本科批,129_6615,129,6615,河北,2022,中医学,本科(普通) (1),医学 (12),中医学类 (105),普通类,本科批,物理类,3,五年,5060,,
plan_129_6594_13_2022_2073_本科批,129_6594,129,6594,河北,2022,土木工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批,物理类,2,四年,4400,,
plan_129_6599_13_2022_2073_本科批,129_6599,129,6599,河北,2022,食品科学与工程,本科(普通) (1),工学 (10),食品科学与工程类 (89),普通类,本科批,物理类,2,四年,3850,,
plan_129_6612_13_2022_2073_本科批,129_6612,129,6612,河北,2022,预防医学,本科(普通) (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,物理类,2,五年,5060,,
plan_129_6613_13_2022_2073_本科批,129_6613,129,6613,河北,2022,麻醉学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,2,五年,5060,,
plan_129_6648_14_2022_2_本科一批A段,129_6648,129,6648,山西,2022,旅游管理,本科(普通) (1),管理学 (13),旅游管理类 (120),普通类,本科一批A段,文科,3,-,4180,,
plan_129_6558_14_2022_2_本科一批A段,129_6558,129,6558,山西,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,2,-,4620,,
plan_129_6629_14_2022_2_本科一批A段,129_6629,129,6629,山西,2022,日语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,2,-,5060,,
