plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_65_2275_13_2022_2073_本科批,65_2275,65,2275,河北,2022,制药工程,本科 (1),工学 (10),化工与制药类 (75),普通类,本科批,物理类,5,四年,4900,,
plan_65_2251_14_2022_1_本科二批B段,65_2251,65,2251,山西,2022,化学工程与工艺,本科 (1),工学 (10),化工与制药类 (75),普通类,本科二批B段,理科,5,-,4900,,
plan_65_2281_14_2022_1_本科二批B段,65_2281,65,2281,山西,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科二批B段,理科,5,-,4900,,
plan_65_2289_15_2022_2_本科二批,65_2289,65,2289,内蒙古,2022,俄语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科二批,文科,5,四年,4400,,
plan_65_2281_15_2022_1_本科二批,65_2281,65,2281,内蒙古,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科二批,理科,5,四年,4900,,
plan_65_2289_21_2022_2074_本科批,65_2289,65,2289,辽宁,2022,俄语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,2,四年,4400,,
plan_65_2251_21_2022_2073_本科批,65_2251,65,2251,辽宁,2022,化学工程与工艺,本科 (1),工学 (10),化工与制药类 (75),普通类,本科批,物理类,3,四年,4900,,
plan_65_2279_22_2022_1_本科二批A段,65_2279,65,2279,吉林,2022,人文地理与城乡规划,本科 (1),理学 (9),地理科学类 (55),普通类,本科二批A段,理科,2,-,4900,,
plan_65_2289_23_2022_2_本科二批A段,65_2289,65,2289,黑龙江,2022,俄语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科二批A段,文科,5,四年,4400,,
plan_65_2238_32_2022_2074_本科批,65_2238,65,2238,江苏,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,5,四年,4400,,首选历史，再选不限
plan_65_2238_32_2022_2074_本科批,65_2238,65,2238,江苏,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,5,四年,4400,,首选历史，再选不限
plan_65_2275_32_2022_2073_本科批,65_2275,65,2275,江苏,2022,制药工程,本科 (1),工学 (10),化工与制药类 (75),普通类,本科批,物理类,5,四年,4900,,首选物理，再选不限
plan_65_2275_32_2022_2073_本科批,65_2275,65,2275,江苏,2022,制药工程,本科 (1),工学 (10),化工与制药类 (75),普通类,本科批,物理类,5,四年,4900,,首选物理，再选不限
plan_65_2260_33_2022_3_普通类平行录取,65_2260,65,2260,浙江,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,普通类平行录取,综合,10,四年,4400,,
plan_65_2249_33_2022_3_普通类平行录取,65_2249,65,2249,浙江,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,普通类平行录取,综合,5,四年,4900,,
plan_65_2275_33_2022_3_普通类平行录取,65_2275,65,2275,浙江,2022,制药工程,本科 (1),工学 (10),化工与制药类 (75),普通类,普通类平行录取,综合,5,四年,4900,,
plan_65_2260_34_2022_2_本科二批,65_2260,65,2260,安徽,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科二批,文科,5,-,4400,,
plan_65_2251_34_2022_1_本科二批,65_2251,65,2251,安徽,2022,化学工程与工艺,本科 (1),工学 (10),化工与制药类 (75),普通类,本科二批,理科,6,-,4900,,
plan_65_2293_34_2022_1_本科二批,65_2293,65,2293,安徽,2022,物联网工程,本科 (1),工学 (10),计算机类 (71),普通类,本科二批,理科,6,-,4900,,
plan_65_2276_34_2022_1_本科二批,65_2276,65,2276,安徽,2022,食品质量与安全,本科 (1),工学 (10),食品科学与工程类 (89),普通类,本科二批,理科,5,-,4900,,
plan_65_2277_35_2022_2074_本科批,65_2277,65,2277,福建,2022,风景园林,本科 (1),工学 (10),建筑类 (90),普通类,本科批,历史类,5,四年,4900,,首选历史，再选不限
